date_obj,Bandos%20platelegs price
2015-03-26,41743
2015-03-27,41743
2015-03-28,41363
2015-03-29,40018
2015-03-30,40529
2015-03-31,40413
2015-04-01,40413
2015-04-02,40947
2015-04-03,40745
2015-04-04,41239
2015-04-05,41239
2015-04-06,40627
2015-04-07,39976
2015-04-08,39976
2015-04-09,39635
2015-04-10,38849
2015-04-11,38395
2015-04-12,38307
2015-04-13,39350
2015-04-14,39350
2015-04-15,39289
2015-04-16,39881
2015-04-17,40205
2015-04-18,40853
2015-04-19,40343
2015-04-20,40343
2015-04-21,40206
2015-04-22,40657
2015-04-23,42041
2015-04-24,42041
2015-04-25,43081
2015-04-26,43578
2015-04-27,42485
2015-04-28,41403
2015-04-29,41403
2015-04-30,40675
2015-05-01,40828
2015-05-02,40914
2015-05-03,40914
2015-05-04,40505
2015-05-05,39824
2015-05-06,39805
2015-05-07,40873
2015-05-08,42064
2015-05-09,42112
2015-05-10,41750
2015-05-11,41750
2015-05-12,41088
2015-05-13,39969
2015-05-14,39325
2015-05-15,39325
2015-05-16,38686
2015-05-17,38517
2015-05-18,38341
2015-05-19,39588
2015-05-20,39588
2015-05-21,39632
2015-05-22,39808
2015-05-23,39651
2015-05-24,38470
2015-05-25,38605
2015-05-26,40186
2015-05-27,40253
2015-05-28,41116
2015-05-29,41259
2015-05-30,40582
2015-05-31,40676
2015-06-01,40454
2015-06-02,40454
2015-06-03,40052
2015-06-04,40184
2015-06-05,40016
2015-06-06,39813
2015-06-07,39211
2015-06-08,39211
2015-06-09,39481
2015-06-10,40157
2015-06-11,40206
2015-06-12,40206
2015-06-13,40221
2015-06-14,40479
2015-06-15,40688
2015-06-16,39315
2015-06-17,40100
2015-06-18,39142
2015-06-19,39515
2015-06-20,39029
2015-06-21,39029
2015-06-22,39289
2015-06-23,39289
2015-06-24,38967
2015-06-25,38967
2015-06-26,37978
2015-06-27,37978
2015-06-28,38624
2015-06-29,38624
2015-06-30,39504
2015-07-01,40264
2015-07-02,40264
2015-07-03,39992
2015-07-04,39671
2015-07-05,39671
2015-07-06,39874
2015-07-07,40232
2015-07-08,39630
2015-07-09,39630
2015-07-10,40524
2015-07-11,40524
2015-07-12,40642
2015-07-13,41317
2015-07-14,41584
2015-07-15,41754
2015-07-16,41754
2015-07-17,41206
2015-07-18,41206
2015-07-19,40658
2015-07-20,40098
2015-07-21,40098
2015-07-22,40871
2015-07-23,40871
2015-07-24,40783
2015-07-25,40783
2015-07-26,41298
2015-07-27,41497
2015-07-28,41497
2015-07-29,40431
2015-07-30,40431
2015-07-31,40067
2015-08-01,40067
2015-08-02,40482
2015-08-03,40482
2015-08-04,40375
2015-08-05,40675
2015-08-06,40675
2015-08-07,41371
2015-08-08,41901
2015-08-09,41735
2015-08-10,41756
2015-08-11,41835
2015-08-12,41835
2015-08-13,41267
2015-08-14,40932
2015-08-15,40932
2015-08-16,41033
2015-08-17,40785
2015-08-18,40898
2015-08-19,40898
2015-08-20,40898
2015-08-21,40863
2015-08-22,41742
2015-08-23,41742
2015-08-24,41695
2015-08-25,41695
2015-08-26,40294
2015-08-27,40164
2015-08-28,40164
2015-08-29,40246
2015-08-30,40246
2015-08-31,40240
2015-09-01,41109
2015-09-02,41109
2015-09-03,41216
2015-09-04,41969
2015-09-05,41969
2015-09-06,41022
2015-09-07,39848
2015-09-08,39770
2015-09-09,39074
2015-09-10,39074
2015-09-11,39782
2015-09-12,40410
2015-09-13,38840
2015-09-14,38477
2015-09-15,38975
2015-09-16,38975
2015-09-17,39155
