date_obj,Ancestral%20robe%20bottom price
2017-09-27,67712604
2017-09-28,67526697
2017-09-29,67346660
2017-09-30,67196713
2017-10-01,67228644
2017-10-02,67340741
2017-10-03,67173702
2017-10-04,66906253
2017-10-05,66778895
2017-10-06,66595180
2017-10-07,66954666
2017-10-08,66823271
2017-10-09,66656241
2017-10-10,66553588
2017-10-11,66494915
2017-10-12,66589723
2017-10-13,66610076
2017-10-14,66588415
2017-10-15,66422457
2017-10-16,66217543
2017-10-17,66045804
2017-10-18,65499599
2017-10-19,65097671
2017-10-20,65416293
2017-10-21,66191435
2017-10-22,66065332
2017-10-23,66193692
2017-10-24,66334274
2017-10-25,66232224
2017-10-26,66233596
2017-10-27,66247848
2017-10-28,66327891
2017-10-29,66553358
2017-10-30,66780282
2017-10-31,66568306
2017-11-01,66334832
2017-11-02,66832171
2017-11-03,67192669
2017-11-04,66906034
2017-11-05,66822038
2017-11-06,66825610
2017-11-07,66742912
2017-11-08,66759597
2017-11-09,66559521
2017-11-10,66366466
2017-11-11,66733140
2017-11-12,66889477
2017-11-13,67099676
2017-11-14,67416553
2017-11-15,67713393
2017-11-16,68642417
2017-11-17,69884565
2017-11-18,71298965
2017-11-19,70368295
2017-11-20,68543653
2017-11-21,68333243
2017-11-22,68586183
2017-11-23,70202173
2017-11-24,72374634
2017-11-25,72437811
2017-11-26,71929141
2017-11-27,71337916
2017-11-28,70919466
2017-11-29,71033979
2017-11-30,71737982
2017-12-01,74821442
2017-12-02,78562236
2017-12-03,79445621
2017-12-04,77826269
2017-12-05,74808710
2017-12-06,74804005
2017-12-07,76066199
2017-12-08,76420306
2017-12-09,78100104
2017-12-10,80549739
2017-12-11,79881360
2017-12-12,79349803
2017-12-13,79211616
2017-12-14,79280304
2017-12-15,78999565
2017-12-16,78577392
2017-12-17,78017235
2017-12-18,77707534
2017-12-19,78006286
2017-12-20,78119591
2017-12-21,77912860
2017-12-22,78231057
2017-12-23,78447901
2017-12-24,78587655
2017-12-25,78491103
2017-12-26,77880296
2017-12-27,77727138
2017-12-28,77461460
2017-12-29,77041535
2017-12-30,77287328
2017-12-31,77538179
2018-01-01,77785531
2018-01-02,78112540
2018-01-03,79024771
2018-01-04,75255005
2018-01-05,74565055
2018-01-06,74744682
2018-01-07,75007413
2018-01-08,74711151
2018-01-09,74080726
2018-01-10,73260755
2018-01-11,74440731
2018-01-12,75172368
2018-01-13,75740858
2018-01-14,74853394
2018-01-15,73389505
2018-01-16,72106031
2018-01-17,70606051
2018-01-18,70803194
2018-01-19,71711093
2018-01-20,72550911
2018-01-21,72980678
2018-01-22,73089274
2018-01-23,72353228
2018-01-24,71784517
2018-01-25,71239746
2018-01-26,70909068
2018-01-27,71061493
2018-01-28,71788353
2018-01-29,71421080
2018-01-30,71183689
2018-01-31,70670565
2018-02-01,71846626
2018-02-02,73176480
2018-02-03,73975638
2018-02-04,74027520
2018-02-05,73762615
2018-02-06,72992996
2018-02-07,72399782
2018-02-08,72561033
2018-02-09,72717662
2018-02-10,72518482
2018-02-11,72092040
2018-02-12,71353568
2018-02-13,69746692
2018-02-14,69605015
2018-02-15,68793757
2018-02-16,69385538
2018-02-17,70025154
2018-02-18,70303002
2018-02-19,70873800
2018-02-20,71535506
2018-02-21,72529276
2018-02-22,74080487
2018-02-23,76382218
2018-02-24,77129177
2018-02-25,77987597
2018-02-26,79860350
2018-02-27,83069008
2018-02-28,79876946
2018-03-01,80087268
2018-03-02,80818129
2018-03-03,81015166
2018-03-04,80163196
2018-03-05,79793829
2018-03-06,79755692
2018-03-07,81124078
2018-03-08,81802040
2018-03-09,82346261
2018-03-10,82695862
2018-03-11,82732069
2018-03-12,82500907
2018-03-13,82211833
2018-03-14,81518093
2018-03-15,79542694
2018-03-16,79059153
2018-03-17,78797483
2018-03-18,79820763
2018-03-19,80266714
2018-03-20,80119243
2018-03-21,80361203
2018-03-22,81738830
2018-03-23,82447177
2018-03-24,84063038
2018-03-25,84288214
2018-03-26,82552081
2018-03-27,80284311
2018-03-28,80876184
2018-03-29,81103277
2018-03-30,81618376
2018-03-31,81965437
2018-04-01,81764835
2018-04-02,81894938
2018-04-03,81586165
2018-04-04,81614188
2018-04-05,82319283
2018-04-06,82496695
2018-04-07,82310127
2018-04-08,82721621
2018-04-09,83124710
2018-04-10,83398934
2018-04-11,83444321
2018-04-12,83590226
2018-04-13,83376196
2018-04-14,83152368
2018-04-15,82899237
2018-04-16,82820940
2018-04-17,82308997
2018-04-18,81697888
2018-04-19,81487435
2018-04-20,81506393
2018-04-21,83314551
2018-04-22,83794419
2018-04-23,83726387
2018-04-24,83756559
2018-04-25,83822544
2018-04-26,85218982
2018-04-27,85887623
2018-04-28,85476084
2018-04-29,85746178
2018-04-30,87507827
2018-05-01,88843607
2018-05-02,87928495
2018-05-03,88375980
2018-05-04,89304330
2018-05-05,91496894
2018-05-06,91184020
2018-05-07,90068866
2018-05-08,87660006
2018-05-09,87723370
2018-05-10,84484428
2018-05-11,83051238
2018-05-12,86530097
2018-05-13,86282193
2018-05-14,85359127
2018-05-15,83869963
2018-05-16,84118323
2018-05-17,85545296
2018-05-18,87756921
2018-05-19,88266574
2018-05-20,88215901
2018-05-21,87350512
2018-05-22,87284026
2018-05-23,87177974
2018-05-24,87415725
2018-05-25,88221298
2018-05-26,90711305
2018-05-27,92279076
2018-05-28,93238276
2018-05-29,90927705
2018-05-30,88780811
2018-05-31,87130346
2018-06-01,89338968
2018-06-02,90960824
2018-06-03,92021971
2018-06-04,91235550
2018-06-05,90656625
2018-06-06,91183193
2018-06-07,86624033
2018-06-08,82898478
2018-06-09,81966979
2018-06-10,80553050
2018-06-11,76621510
2018-06-12,73809603
2018-06-13,76872936
2018-06-14,78446491
2018-06-15,79266521
2018-06-16,79038967
2018-06-17,80057435
2018-06-18,82382877
2018-06-19,82354315
2018-06-20,82249777
2018-06-21,82512655
2018-06-22,82619326
2018-06-23,82788542
2018-06-24,82703755
2018-06-25,81946792
2018-06-26,81593293
2018-06-27,81629669
2018-06-28,81062617
2018-06-29,80636180
2018-06-30,80368538
2018-07-01,80043328
2018-07-02,78952703
2018-07-03,79051620
2018-07-04,78237087
2018-07-05,77723782
2018-07-06,77656697
2018-07-07,77723646
2018-07-08,77789700
2018-07-09,78076027
2018-07-10,77773549
2018-07-11,77296166
2018-07-12,76469914
2018-07-13,76587730
2018-07-14,77773575
2018-07-15,78548557
2018-07-16,79974113
2018-07-17,80710598
2018-07-18,81765038
2018-07-19,80604860
2018-07-20,78298096
2018-07-21,78150992
2018-07-22,78834674
2018-07-23,78624477
2018-07-24,78624697
2018-07-25,78174218
2018-07-26,76385352
2018-07-27,74492816
2018-07-28,74106972
2018-07-29,73645972
2018-07-30,72795441
2018-07-31,73153037
2018-08-01,73207385
2018-08-02,74187701
2018-08-03,73916773
2018-08-04,72767631
2018-08-05,71766693
2018-08-06,70384648
2018-08-07,69071707
2018-08-08,66139109
2018-08-09,66329640
2018-08-10,66276642
2018-08-11,66692033
2018-08-12,67608934
2018-08-14,62607389
2018-08-16,60378119
2018-08-17,62844839
2018-08-18,65987081
2018-08-19,68839100
2018-08-20,68168553
2018-08-21,69877603
2018-08-22,69966860
2018-08-23,69989442
2018-08-24,70631501
2018-08-25,71679061
2018-08-26,70876497
2018-08-27,70061535
2018-08-28,70427581
2018-08-29,70547919
2018-08-30,70876255
2018-08-31,71289030
2018-09-01,70060487
2018-09-02,69105266
2018-09-03,68312031
2018-09-04,67768461
2018-09-05,66833261
2018-09-06,66595248
2018-09-07,65746704
2018-09-08,65846673
2018-09-09,63993290
2018-09-10,64038822
2018-09-11,63460043
2018-09-12,63604253
2018-09-13,64947855
2018-09-14,66055954
2018-09-15,66627985
2018-09-16,66914357
2018-09-17,67310132
2018-09-18,66926009
2018-09-19,66006229
2018-09-20,65791027
2018-09-21,66238451
2018-09-22,66443363
2018-09-23,65966054
2018-09-24,66681404
2018-09-25,67115558
2018-09-26,68533785
2018-09-27,68840589
2018-09-28,70420227
2018-09-29,70654783
2018-09-30,70965740
2018-10-01,70077097
2018-10-02,69586495
2018-10-03,68969602
2018-10-04,68811862
2018-10-05,68820065
2018-10-06,69500558
2018-10-07,70441566
2018-10-08,70050919
2018-10-09,70102967
2018-10-10,70288376
2018-10-11,70477779
2018-10-12,70132725
2018-10-13,70128073
2018-10-14,72102434
2018-10-15,72645558
2018-10-16,72765244
2018-10-17,73297748
