date_obj,Dragon%20dagger price
2015-03-26,19891
2015-03-27,19891
2015-03-28,20161
2015-03-29,20448
2015-03-30,20162
2015-03-31,20736
2015-04-01,21449
2015-04-02,21708
2015-04-03,21159
2015-04-04,20303
2015-04-05,19751
2015-04-06,19478
2015-04-07,19718
2015-04-08,19718
2015-04-09,19880
2015-04-10,20020
2015-04-11,20304
2015-04-12,20353
2015-04-13,20193
2015-04-14,20193
2015-04-15,19258
2015-04-16,18314
2015-04-17,18450
2015-04-18,18448
2015-04-19,18657
2015-04-20,18657
2015-04-21,19192
2015-04-22,19192
2015-04-23,19337
2015-04-24,19717
2015-04-25,19860
2015-04-26,19807
2015-04-27,19825
2015-04-28,19424
2015-04-29,19424
2015-04-30,19582
2015-05-01,19971
2015-05-02,19932
2015-05-03,19932
2015-05-04,19515
2015-05-05,19387
2015-05-06,19017
2015-05-07,18637
2015-05-08,18647
2015-05-09,19119
2015-05-10,20016
2015-05-11,20016
2015-05-12,20897
2015-05-13,21635
2015-05-14,21999
2015-05-15,22433
2015-05-16,22564
2015-05-17,22666
2015-05-18,22283
2015-05-19,21391
2015-05-20,21391
2015-05-21,20532
2015-05-22,19926
2015-05-23,19581
2015-05-24,19061
2015-05-25,18983
2015-05-26,18944
2015-05-27,18823
2015-05-28,18718
2015-05-29,19002
2015-05-30,19340
2015-05-31,19435
2015-06-01,19358
2015-06-02,19358
2015-06-03,19723
2015-06-04,20002
2015-06-05,20161
2015-06-06,20563
2015-06-07,20760
2015-06-08,20371
2015-06-09,20640
2015-06-10,20089
2015-06-11,19860
2015-06-12,19874
2015-06-13,19746
2015-06-14,19621
2015-06-15,19669
2015-06-16,20019
2015-06-17,20011
2015-06-18,19996
2015-06-19,19785
2015-06-20,20068
2015-06-21,19970
2015-06-22,19928
2015-06-23,20144
2015-06-24,20040
2015-06-25,20040
2015-06-26,20082
2015-06-27,20082
2015-06-28,19858
2015-06-29,19355
2015-06-30,19409
2015-07-01,19309
2015-07-02,19309
2015-07-03,19732
2015-07-04,19965
2015-07-05,19896
2015-07-06,19247
2015-07-07,19340
2015-07-08,19855
2015-07-09,19855
2015-07-10,19806
2015-07-11,19332
2015-07-12,19139
2015-07-13,19162
2015-07-14,19033
2015-07-15,19224
2015-07-16,19122
2015-07-17,18979
2015-07-18,18812
2015-07-19,18844
2015-07-20,18693
2015-07-21,18951
2015-07-22,19373
2015-07-23,19373
2015-07-24,19308
2015-07-25,19412
2015-07-26,19932
2015-07-27,20701
2015-07-28,21210
2015-07-29,22015
2015-07-30,22544
2015-07-31,22777
2015-08-01,22410
2015-08-02,23100
2015-08-03,23507
2015-08-04,24255
2015-08-05,24767
2015-08-06,25480
2015-08-07,24859
2015-08-08,24393
2015-08-09,23970
2015-08-10,23053
2015-08-11,22412
2015-08-12,22412
2015-08-13,22139
2015-08-14,21906
2015-08-15,22403
2015-08-16,22897
2015-08-17,23113
2015-08-18,22559
2015-08-19,21774
2015-08-20,21108
2015-08-21,21191
2015-08-22,21825
2015-08-23,21759
2015-08-24,21084
2015-08-25,21084
2015-08-26,21146
2015-08-27,20819
2015-08-28,20028
2015-08-29,19438
2015-08-30,19337
