date_obj,Black%20d'hide%20chaps%20(g) price
2016-01-18,1883919
2016-01-19,1874451
2016-01-20,1840721
2016-01-21,1824318
2016-01-22,1773039
2016-01-23,1741015
2016-01-24,1729171
2016-01-25,1754081
2016-01-26,1774339
2016-01-27,1817028
2016-01-28,1817028
2016-01-29,1871716
2016-01-30,1867436
2016-01-31,1847177
2016-02-01,1810535
2016-02-02,1822397
2016-02-03,1833373
2016-02-04,1832792
2016-02-05,1819981
2016-02-06,1794150
2016-02-07,1769558
2016-02-08,1747837
2016-02-09,1704665
2016-02-10,1687539
2016-02-11,1667803
2016-02-12,1657515
2016-02-13,1693683
2016-02-14,1680019
2016-02-15,1650741
2016-02-16,1639318
2016-02-17,1624823
2016-02-18,1587936
2016-02-19,1576085
2016-02-20,1532792
2016-02-21,1525946
2016-02-22,1544996
2016-02-23,1599489
2016-02-24,1639608
2016-02-25,1598304
2016-02-26,1599971
2016-02-27,1578247
2016-02-28,1602336
2016-02-29,1576170
2016-03-01,1577219
2016-03-02,1587988
2016-03-03,1583607
2016-03-04,1576591
2016-03-05,1561616
2016-03-06,1619579
2016-03-07,1699788
2016-03-08,1777936
2016-03-09,1753023
2016-03-10,1703153
2016-03-11,1737118
2016-03-12,1806953
2016-03-13,1830073
2016-03-14,1813809
2016-03-15,1784353
2016-03-16,1798046
2016-03-17,1773213
2016-03-18,1765743
2016-03-19,1767451
2016-03-20,1758461
2016-03-21,1753312
2016-03-22,1708014
2016-03-23,1650759
2016-03-24,1709903
2016-03-25,1741872
2016-03-26,1742689
2016-03-27,1737173
2016-03-28,1715338
2016-03-29,1688395
2016-03-30,1685174
2016-03-31,1708011
2016-04-01,1690619
2016-04-02,1681469
2016-04-03,1645843
2016-04-04,1652864
2016-04-05,1651227
2016-04-06,1651025
2016-04-07,1645395
2016-04-08,1642300
2016-04-09,1624574
2016-04-10,1659272
2016-04-11,1659272
2016-04-12,1671757
2016-04-13,1667848
2016-04-14,1661265
2016-04-15,1629104
2016-04-16,1668122
2016-04-17,1696316
2016-04-18,1755709
2016-04-19,1827434
2016-04-20,1869067
2016-04-21,1882541
2016-04-22,1905382
2016-04-23,1875151
2016-04-24,1802882
2016-04-25,1734719
2016-04-26,1696888
2016-04-27,1662999
2016-04-28,1628792
2016-04-29,1614871
2016-04-30,1634921
2016-05-01,1625610
2016-05-02,1636122
2016-05-03,1627697
2016-05-04,1632019
2016-05-05,1658803
2016-05-06,1658803
2016-05-07,1660986
2016-05-08,1639255
2016-05-09,1643151
2016-05-10,1656264
2016-05-11,1646390
2016-05-12,1637560
2016-05-13,1615687
2016-05-14,1609629
2016-05-15,1611275
2016-05-16,1572601
2016-05-17,1588501
2016-05-18,1591062
2016-05-19,1534046
2016-05-22,1386890
2016-05-23,1374085
2016-05-24,1404729
2016-05-25,1378427
2016-05-26,1342929
2016-05-27,1366950
2016-05-28,1336288
2016-05-29,1303900
2016-05-30,1240135
2016-05-31,1187097
2016-06-01,1147874
2016-06-02,1139997
2016-06-03,1148037
2016-06-04,1153508
2016-06-05,1185350
2016-06-06,1216222
2016-06-07,1232422
2016-06-08,1236086
2016-06-09,1243479
2016-06-10,1209176
2016-06-11,1203067
2016-06-12,1195055
2016-06-13,1195173
2016-06-14,1190562
2016-06-15,1178264
2016-06-16,1181216
2016-06-17,1180974
2016-06-18,1175289
2016-06-19,1156648
2016-06-20,1120159
2016-06-21,1092456
2016-06-22,1100057
2016-06-23,1108513
2016-06-24,1116862
2016-06-25,1160664
2016-06-26,1201526
2016-06-27,1206589
2016-06-28,1197230
2016-06-29,1193102
2016-06-30,1174168
2016-07-01,1168107
2016-07-02,1155101
2016-07-03,1136141
2016-07-04,1105276
2016-07-05,1050012
2016-07-06,1001715
2016-07-07,982007
2016-07-08,1012626
2016-07-09,1052943
2016-07-10,1069596
2016-07-11,1098988
2016-07-12,1140071
2016-07-13,1197075
2016-07-14,1256929
2016-07-15,1319776
2016-07-16,1383740
2016-07-17,1448696
2016-07-18,1414563
2016-07-23,1096135
2016-07-24,1042487
2016-07-25,1027513
2016-07-26,1036066
2016-07-27,1069055
2016-07-28,1102078
2016-07-29,1105897
2016-07-30,1128905
2016-07-31,1148584
2016-08-01,1170945
2016-08-02,1144703
2016-08-03,1137293
2016-08-04,1130994
2016-08-05,1144504
2016-08-06,1195123
2016-08-07,1254880
2016-08-08,1303471
2016-08-09,1356524
2016-08-10,1395547
2016-08-11,1411911
2016-08-12,1434954
2016-08-13,1391080
2016-08-14,1338547
2016-08-15,1280283
2016-08-16,1216629
2016-08-17,1155797
2016-08-18,1098007
2016-08-19,1047532
2016-08-20,1015812
2016-08-21,1021675
2016-08-22,1060039
2016-08-23,1093976
2016-08-24,1118256
2016-08-25,1143081
2016-08-26,1096000
2016-08-28,1051552
2016-08-31,1084272
2016-09-01,1124418
2016-09-02,1124418
2016-09-03,1100309
2016-09-04,1095251
2016-09-05,1081688
2016-09-06,1114683
2016-09-07,1136385
2016-09-08,1115447
2016-09-09,1117926
2016-09-10,1118775
2016-09-11,1165773
2016-09-12,1182084
2016-09-13,1198659
2016-09-14,1196498
2016-09-15,1196473
2016-09-16,1213734
2016-09-17,1227428
2016-09-18,1193418
2016-09-19,1204987
2016-09-20,1184239
2016-09-21,1233803
2016-09-22,1278836
2016-09-23,1311474
2016-09-24,1311474
2016-09-25,1349227
2016-09-26,1400454
2016-09-27,1409001
2016-09-28,1418806
2016-09-29,1457557
2016-09-30,1500947
2016-10-01,1553438
2016-10-02,1540285
2016-10-03,1550225
2016-10-04,1535102
2016-10-05,1516492
2016-10-06,1474333
2016-10-07,1502446
2016-10-08,1487721
2016-10-09,1444914
2016-10-10,1394482
2016-10-11,1366537
2016-10-12,1348224
2016-10-13,1363336
2016-10-14,1420717
2016-10-15,1422910
2016-10-16,1396192
2016-10-17,1417246
2016-10-18,1457483
2016-10-19,1496730
2016-10-20,1502333
2016-10-21,1572241
2016-10-22,1607695
2016-10-23,1609678
2016-10-24,1596060
2016-10-25,1586830
2016-10-26,1576323
2016-10-27,1567926
2016-10-28,1543863
2016-10-29,1514032
2016-10-30,1486366
2016-10-31,1469276
2016-11-01,1448738
2016-11-02,1429836
2016-11-03,1394848
2016-11-04,1364202
2016-11-05,1339015
2016-11-06,1373322
2016-11-07,1408300
2016-11-08,1411436
2016-11-09,1459242
2016-11-10,1501860
2016-11-11,1520809
2016-11-12,1503302
2016-11-13,1516902
2016-11-14,1512361
2016-11-15,1492277
2016-12-07,1660319
2016-12-08,1698009
2016-12-09,1673688
2016-12-10,1639663
2016-12-11,1595924
2016-12-12,1551788
2016-12-13,1539751
2016-12-14,1530042
2016-12-15,1502239
2016-12-16,1486078
2016-12-17,1511770
2016-12-18,1535678
2016-12-19,1527253
2016-12-20,1486315
2016-12-21,1481348
2016-12-22,1474295
2016-12-23,1445076
2016-12-24,1445337
2016-12-25,1418572
2016-12-26,1405080
2016-12-27,1389954
2016-12-28,1406744
2016-12-29,1421596
2016-12-30,1430995
2016-12-31,1486197
2017-01-01,1534753
2017-01-02,1548941
2017-01-03,1551431
2017-01-04,1554479
2017-01-05,1497751
2017-01-06,1499683
2017-01-07,1462585
2017-01-08,1428298
2017-01-09,1393746
2017-01-10,1373629
2017-01-11,1349181
2017-01-12,1349177
2017-01-13,1366267
2017-01-14,1383585
2017-01-15,1402558
2017-01-16,1413150
2017-01-17,1431710
2017-01-18,1441198
2017-01-19,1409253
2017-01-20,1411435
2017-01-21,1431101
2017-01-22,1424669
2017-01-23,1402624
2017-01-27,1431665
2017-01-28,1442091
2017-01-29,1451464
2017-01-30,1431424
2017-01-31,1431860
2017-02-01,1444330
2017-02-02,1475704
2017-02-03,1472004
2017-02-04,1475270
2017-02-05,1445722
2017-02-06,1433524
2017-02-07,1437770
2017-02-08,1461978
2017-02-09,1510864
2017-02-10,1556571
