date_obj,Granite%20maul price
2015-03-26,33913
2015-03-27,34790
2015-03-28,35690
2015-03-29,35275
2015-03-30,34252
2015-03-31,34263
2015-04-01,33775
2015-04-02,34241
2015-04-03,35815
2015-04-04,36154
2015-04-05,36033
2015-04-06,35828
2015-04-07,35629
2015-04-08,35230
2015-04-09,34417
2015-04-10,34791
2015-04-11,34810
2015-04-12,34704
2015-04-13,34310
2015-04-14,34023
2015-04-15,34129
2015-04-16,33629
2015-04-17,33353
2015-04-18,33295
2015-04-19,34524
2015-04-20,34624
2015-04-21,34542
2015-04-22,34076
2015-04-23,33670
2015-04-24,33511
2015-04-25,33775
2015-04-26,34720
2015-04-27,34949
2015-04-28,35484
2015-04-29,36148
2015-04-30,35479
2015-05-01,34988
2015-05-02,33962
2015-05-03,32533
2015-05-04,32135
2015-05-05,31559
2015-05-06,32657
2015-05-07,33246
2015-05-08,33043
2015-05-09,33412
2015-05-10,34035
2015-05-11,33861
2015-05-12,34766
2015-05-13,34901
2015-05-14,35420
2015-05-15,35128
2015-05-16,34920
2015-05-17,34707
2015-05-18,33959
2015-05-19,33231
2015-05-20,32575
2015-05-21,32418
2015-05-22,32427
2015-05-23,33005
2015-05-24,33262
2015-05-25,33823
2015-05-26,33577
2015-05-27,33259
2015-05-28,33290
2015-05-29,33967
2015-05-30,34864
2015-05-31,36573
2015-06-01,38402
2015-06-02,40323
2015-06-03,42224
2015-06-04,44195
2015-06-05,43740
2015-06-06,41602
2015-06-07,39594
2015-06-08,37852
2015-06-09,36551
2015-06-10,35208
2015-06-11,34715
2015-06-12,35218
2015-06-13,34008
2015-06-14,32746
2015-06-15,33571
2015-06-16,34167
2015-06-17,33741
2015-06-18,33705
2015-06-19,33769
2015-06-20,33373
2015-06-21,33267
2015-06-22,33767
2015-06-23,34830
2015-06-24,35165
2015-06-25,34593
2015-06-26,34288
2015-06-27,34675
2015-06-28,34739
2015-06-29,34581
2015-06-30,33635
2015-07-01,33647
2015-07-02,34051
2015-07-03,33927
2015-07-04,33991
2015-07-05,33604
2015-07-06,33365
2015-07-07,33399
2015-07-08,33950
2015-07-09,33924
2015-07-10,34364
2015-07-11,35940
2015-07-12,36347
2015-07-13,37338
2015-07-14,37001
2015-07-15,36116
2015-07-16,35497
2015-07-17,34015
2015-07-18,32820
2015-07-19,32520
2015-07-20,33440
2015-07-21,33824
2015-07-22,34136
2015-07-23,33957
2015-07-24,34179
2015-07-25,34033
2015-07-26,34047
2015-07-27,33645
2015-07-28,33279
2015-07-29,33568
2015-07-30,34312
2015-07-31,34260
2015-08-01,34533
2015-08-02,34803
2015-08-03,34667
2015-08-04,35146
2015-08-05,35104
2015-08-06,35389
2015-08-07,35142
2015-08-08,34653
2015-08-09,34223
2015-08-10,34107
2015-08-11,33849
2015-08-12,33216
2015-08-13,32766
2015-08-14,33370
2015-08-15,33989
2015-08-16,34097
2015-08-17,34184
2015-08-18,34089
2015-08-19,33639
2015-08-20,34006
2015-08-21,34000
2015-08-22,33726
2015-08-23,33497
2015-08-24,33261
2015-08-25,33292
2015-08-26,33459
2015-08-27,33835
2015-08-28,33691
2015-08-29,33862
2015-08-30,33653
2015-08-31,33312
2015-09-01,33138
2015-09-02,33139
2015-09-03,33044
2015-09-04,32411
2015-09-05,32262
2015-09-06,32565
2015-09-07,33843
2015-09-08,34177
2015-09-09,33247
2015-09-10,32052
2015-09-11,32576
2015-09-12,33757
2015-09-13,35365
2015-09-14,34485
2015-09-15,33929
2015-09-16,34137
2015-09-17,34361
2015-09-18,34726
2015-09-19,35423
2015-09-20,36223
2015-09-21,36289
2015-09-22,37976
2015-09-23,39845
2015-09-24,40717
2015-09-25,40842
2015-09-27,38378
2015-09-28,36654
2015-09-29,35777
2015-09-30,35690
2015-10-05,33720
2015-10-06,34442
2015-10-07,34444
2015-10-08,34121
2015-10-09,34008
2015-10-10,33789
2015-10-11,34057
2015-10-12,33350
2015-10-13,32605
2015-10-14,33315
2015-10-15,34131
2015-10-16,34092
2015-10-17,34358
2015-10-18,33955
2015-10-19,33705
2015-10-20,33092
2015-10-22,32587
2015-10-23,33530
2015-10-24,34810
2015-10-25,36425
2015-10-26,38118
2015-10-27,39130
2015-10-29,37453
2015-10-30,37878
2015-10-31,39687
2015-11-01,39549
2015-11-02,39511
2015-11-03,39032
2015-11-04,38325
2015-11-05,37824
2015-11-06,36715
2015-11-07,36199
2015-11-08,36064
2015-11-09,35574
2015-11-10,36401
2015-11-11,36577
2015-11-12,35753
2015-11-13,35133
2015-11-14,34592
2015-11-15,34055
2015-11-16,34410
2015-11-17,34516
2015-11-18,34796
2015-11-19,34676
2015-11-20,34059
2015-11-21,33812
2015-11-22,33309
2015-11-23,32837
2015-11-24,33577
2015-11-25,34561
2015-11-26,34537
2015-11-27,34271
2015-11-28,33971
2015-11-29,33512
2015-11-30,33370
2015-12-01,33664
2015-12-02,33858
2015-12-03,34521
2015-12-04,34439
2015-12-05,34541
2015-12-06,34176
2015-12-07,33997
2015-12-08,33876
2015-12-09,34157
2015-12-10,33997
2015-12-11,34075
2015-12-12,33965
2015-12-13,33653
2015-12-14,33890
2015-12-15,33931
2015-12-16,33596
2015-12-17,34046
2015-12-18,35001
2015-12-19,34988
2015-12-20,35309
2015-12-21,35297
2015-12-22,35670
2015-12-23,35847
2015-12-24,35864
2015-12-25,35889
2015-12-26,35130
2015-12-27,34502
2015-12-28,33843
2015-12-29,34005
2015-12-30,34402
2015-12-31,34857
2016-01-01,35001
2016-01-02,34934
2016-01-03,34327
2016-01-04,34014
2016-01-05,33833
2016-01-06,33504
2016-01-07,33510
2016-01-08,33887
2016-01-09,34085
2016-01-10,33811
2016-01-11,34261
2016-01-12,34098
2016-01-13,34064
2016-01-14,34334
2016-01-15,35083
2016-01-16,35583
2016-01-17,35194
2016-01-18,34636
2016-01-19,34518
2016-01-20,35185
2016-01-21,35057
2016-01-22,35227
