date_obj,Ensouled%20demon%20head price
2016-01-08,5903
2016-01-09,6105
2016-01-10,6031
2016-01-11,5838
2016-01-12,5756
2016-01-13,5468
2016-01-14,5731
2016-01-15,6018
2016-01-16,6257
2016-01-17,6153
2016-01-18,6179
2016-01-19,6055
2016-01-20,5929
2016-01-21,6212
2016-01-22,5924
2016-01-23,5627
2016-01-24,5345
2016-01-25,5276
2016-01-26,5540
2016-01-27,5817
2016-01-28,5945
2016-01-29,5671
2016-01-30,5456
2016-01-31,5365
2016-02-01,5519
2016-02-02,5773
2016-02-03,6062
2016-02-04,6366
2016-02-05,6685
2016-02-06,7020
2016-02-07,7067
2016-02-08,7204
2016-02-09,6986
2016-02-10,6637
2016-02-11,6316
2016-02-12,6000
2016-02-13,5749
2016-02-14,5544
2016-02-15,5779
2016-02-16,5798
2016-02-17,6044
2016-02-18,6251
2016-02-19,6014
2016-02-20,5826
2016-02-21,5711
2016-02-22,5755
2016-02-23,5729
2016-02-24,5953
2016-02-25,6058
2016-02-26,5966
2016-02-27,6249
2016-02-28,6559
2016-02-29,6887
2016-03-01,7232
2016-03-02,7577
2016-03-03,7456
2016-03-04,7787
2016-03-05,7521
2016-03-06,7546
2016-03-07,7576
2016-03-08,7618
2016-03-09,7807
2016-03-10,8179
2016-03-11,8470
2016-03-12,8874
2016-03-13,9318
2016-03-14,9632
2016-03-15,9538
2016-03-16,9342
2016-03-17,8926
2016-03-18,8520
2016-03-19,8112
2016-03-20,7840
2016-03-21,7747
2016-03-22,7601
2016-03-23,7343
2016-03-24,7626
2016-03-25,7403
2016-03-26,7139
2016-03-27,7098
2016-03-28,6925
2016-03-29,6786
2016-03-30,6446
2016-03-31,6292
2016-04-01,6303
2016-04-02,6499
2016-04-03,6466
2016-04-04,6790
2016-04-05,6946
2016-04-06,6690
2016-04-07,6555
2016-04-08,6763
2016-04-09,6809
2016-04-10,6888
2016-04-11,7097
2016-04-12,6891
2016-04-13,6564
2016-04-14,6532
2016-04-15,6505
2016-04-16,6582
2016-04-17,6739
2016-04-18,6640
2016-04-19,6904
2016-04-20,6793
2016-04-21,6976
2016-04-22,6655
2016-04-23,6409
2016-04-24,6376
2016-04-25,6322
2016-04-26,6538
2016-04-27,6460
2016-04-28,6322
2016-04-29,6309
2016-04-30,6211
2016-05-01,6282
2016-05-02,6338
2016-05-03,6427
2016-05-04,6444
2016-05-05,6173
2016-05-06,6122
2016-05-07,6201
2016-05-08,6268
2016-05-09,6306
2016-05-10,6335
2016-05-11,6299
2016-05-12,6070
2016-05-13,5979
2016-05-14,6064
2016-05-15,5997
2016-05-16,5739
2016-05-17,5924
2016-05-18,5676
2016-05-19,5637
2016-05-22,5451
2016-05-23,5517
2016-05-24,5475
2016-05-25,5269
2016-05-26,5212
2016-05-27,5188
2016-05-28,5281
2016-05-29,5390
2016-05-30,5616
2016-05-31,5857
2016-06-01,6075
2016-06-02,5923
2016-06-03,5799
2016-06-04,5557
2016-06-05,5369
2016-06-06,5597
2016-06-07,5405
2016-06-08,5465
2016-06-09,5548
2016-06-10,5567
2016-06-11,5511
2016-06-12,5542
2016-06-13,5572
2016-06-14,5558
2016-06-15,5575
2016-06-16,5512
2016-06-17,5589
2016-06-18,5552
2016-06-19,5592
2016-06-20,5736
2016-06-21,5689
2016-06-22,5852
2016-06-23,5768
2016-06-24,5857
2016-06-25,5990
2016-06-26,6087
2016-06-27,6147
2016-06-28,6389
2016-06-29,6706
2016-06-30,6728
2016-07-01,6446
2016-07-02,6235
2016-07-03,6185
2016-07-04,6317
2016-07-05,6313
2016-07-06,6390
2016-07-07,6258
2016-07-08,6445
2016-07-09,6728
2016-07-10,6852
2016-07-11,6864
2016-07-12,6912
2016-07-13,6867
2016-07-14,6967
2016-07-15,7039
2016-07-16,7003
2016-07-17,6967
2016-07-18,7114
2016-07-23,6932
2016-07-24,6723
2016-07-25,6988
2016-07-26,7251
2016-07-27,7477
2016-07-28,7779
2016-07-29,7879
2016-07-30,7636
2016-07-31,7529
2016-08-01,7303
2016-08-02,7221
2016-08-03,7306
2016-08-04,7181
2016-08-05,7472
2016-08-06,7358
2016-08-07,7172
2016-08-08,7075
2016-08-09,6924
2016-08-10,6975
2016-08-11,7039
2016-08-12,7022
2016-08-13,7051
2016-08-14,6994
2016-08-15,6969
2016-08-16,6880
2016-08-17,6977
2016-08-18,6973
2016-08-19,7077
2016-08-20,7132
2016-08-21,7003
2016-08-22,7002
2016-08-23,7184
2016-08-24,6858
2016-08-25,6550
2016-08-26,6377
2016-08-28,6457
2016-08-31,6701
2016-09-01,6485
2016-09-02,6360
2016-09-03,6287
2016-09-04,6291
2016-09-05,6402
2016-09-06,6332
2016-09-07,6179
2016-09-08,6089
2016-09-09,6061
2016-09-10,6045
2016-09-11,5947
2016-09-12,5721
2016-09-13,5934
2016-09-14,6121
2016-09-15,6169
2016-09-16,6324
2016-09-17,6462
2016-09-18,6198
2016-09-19,6238
2016-09-20,6264
2016-09-21,6277
2016-09-22,6233
2016-09-23,6094
2016-09-24,5999
2016-09-25,6040
2016-09-26,6129
2016-09-27,6106
2016-09-28,5952
2016-09-29,5868
2016-09-30,5981
2016-10-01,6050
2016-10-02,5907
2016-10-03,6036
2016-10-04,5958
2016-10-05,5751
2016-10-06,5595
2016-10-07,5606
2016-10-08,5715
2016-10-09,5816
2016-10-10,5882
2016-10-11,5956
2016-10-12,6070
2016-10-13,5974
2016-10-14,5961
2016-10-15,5986
2016-10-16,6053
2016-10-17,5934
2016-10-18,5953
2016-10-19,5931
2016-10-20,5864
2016-10-21,5898
2016-10-22,5775
2016-10-23,5816
2016-10-24,5755
2016-10-25,5694
2016-10-26,5744
2016-10-27,5837
2016-10-28,5876
2016-10-29,6062
2016-10-30,5984
2016-10-31,5966
2016-11-01,6013
2016-11-02,5877
2016-11-03,5744
2016-11-04,5793
2016-11-05,5935
2016-11-06,5946
2016-11-07,6005
2016-11-08,6115
2016-11-09,6106
2016-11-10,6231
2016-11-11,5956
2016-11-12,5904
2016-11-13,6028
2016-11-14,6081
2016-11-15,5931
2016-12-07,7127
2016-12-08,7312
2016-12-09,7325
2016-12-10,7201
2016-12-11,7151
2016-12-12,7108
2016-12-13,6865
2016-12-14,6813
2016-12-15,6859
2016-12-16,6653
2016-12-17,6651
2016-12-18,6719
2016-12-19,6808
2016-12-20,6731
2016-12-21,7025
2016-12-22,7025
2016-12-23,7087
2016-12-24,7133
2016-12-25,7132
2016-12-26,7139
2016-12-27,7143
2016-12-28,7096
2016-12-29,7018
2016-12-30,6868
2016-12-31,6853
2017-01-01,6899
2017-01-02,7007
2017-01-03,7066
2017-01-04,7190
2017-01-05,7110
2017-01-06,6941
2017-01-07,6684
2017-01-08,6514
2017-01-09,6403
2017-01-10,6224
2017-01-11,6097
2017-01-12,6179
2017-01-13,6035
2017-01-14,5953
2017-01-15,5941
2017-01-16,6005
2017-01-17,6198
2017-01-18,6174
2017-01-19,6235
2017-01-20,6278
2017-01-21,6288
2017-01-22,6171
2017-01-23,6097
2017-01-27,6847
2017-01-28,6729
2017-01-29,6706
2017-01-30,6704
2017-01-31,6610
2017-02-01,6543
2017-02-02,6525
2017-02-03,6613
2017-02-04,6784
2017-02-05,6863
2017-02-06,6984
2017-02-07,7017
2017-02-08,7159
2017-02-09,7113
2017-02-10,7237
2017-02-11,7455
2017-02-12,7415
2017-02-13,7612
2017-02-14,7710
2017-02-15,7481
2017-02-16,7330
2017-02-18,7169
2017-02-19,7074
2017-02-20,6852
2017-02-21,6991
2017-02-22,7190
2017-02-23,6981
2017-02-24,7294
2017-02-25,7475
2017-02-26,7447
2017-02-27,7391
2017-02-28,7221
2017-03-01,6993
2017-03-02,6882
2017-03-03,7178
2017-03-04,6986
2017-03-05,6764
2017-03-06,6662
2017-03-07,6582
2017-03-08,6612
2017-03-09,6580
2017-03-10,6519
2017-03-11,6672
2017-03-12,6674
2017-03-13,6512
2017-03-14,6587
2017-03-15,6412
2017-03-16,6404
2017-03-17,6391
2017-03-18,6466
2017-03-19,6322
2017-03-20,6482
2017-03-21,6457
2017-03-22,6295
2017-03-23,6147
2017-03-24,6092
2017-03-25,5976
2017-03-26,6012
2017-03-27,5913
2017-03-28,5994
2017-03-29,6003
2017-03-30,6041
2017-03-31,5989
2017-04-01,5847
2017-04-02,5906
2017-04-03,5878
2017-04-04,5907
2017-04-12,5941
2017-04-13,6139
2017-04-14,6137
2017-04-15,6196
2017-04-16,6170
2017-04-17,6141
2017-04-18,6208
2017-04-19,6042
2017-04-20,6011
2017-04-21,6015
2017-04-22,5959
2017-04-23,5912
2017-04-24,5832
2017-04-25,5705
2017-04-26,5558
2017-04-27,5615
2017-04-28,5703
2017-04-29,5864
2017-04-30,5963
2017-05-01,5996
2017-05-02,6071
2017-05-03,6075
2017-05-04,6086
2017-05-05,6147
2017-05-06,6143
2017-05-07,6166
2017-05-08,6146
2017-05-09,6086
2017-05-10,5977
2017-05-11,5872
2017-05-12,5630
2017-05-13,5701
2017-05-14,5866
2017-05-15,5884
2017-05-16,5794
2017-05-17,5809
2017-05-18,5880
2017-05-19,5902
2017-05-20,5910
2017-05-21,5968
2017-05-22,5760
2017-05-23,5824
2017-05-24,5963
2017-05-25,5974
2017-05-26,6123
2017-05-27,5961
2017-05-28,6035
2017-05-29,6212
2017-05-30,6045
2017-05-31,6023
2017-06-01,5928
2017-06-02,5791
2017-06-03,5802
2017-06-04,5794
2017-06-05,5668
2017-06-06,5760
2017-06-07,5715
2017-06-08,5863
2017-06-09,5867
2017-06-10,5864
2017-06-11,5772
2017-06-12,5588
2017-06-13,5680
2017-06-14,5735
2017-06-15,5934
2017-06-16,5904
2017-06-17,5921
2017-06-18,6037
2017-06-19,6036
2017-06-20,6041
2017-06-21,5974
2017-06-22,5769
2017-06-23,5676
2017-06-24,5668
2017-06-25,5717
2017-06-26,5938
2017-06-27,5828
2017-06-28,5938
2017-06-29,5760
2017-06-30,5754
2017-07-01,5736
2017-07-02,5804
2017-07-03,5846
2017-07-04,5938
2017-07-05,5892
2017-07-06,5894
2017-07-07,5852
2017-07-08,5918
2017-07-13,5750
2017-07-14,5866
2017-07-15,5938
2017-07-16,5944
2017-07-17,5877
2017-07-18,5873
2017-07-19,5846
2017-07-20,5991
2017-07-21,6243
2017-07-22,6543
2017-07-23,6412
2017-07-24,6455
2017-07-25,6637
2017-07-26,6630
2017-07-27,6361
2017-07-28,6191
2017-07-29,6171
2017-07-30,6142
2017-07-31,6286
2017-08-01,6287
2017-08-02,6190
2017-08-03,6336
2017-08-04,6371
