date_obj,Rune%20boots price
2015-03-26,9724
2015-03-27,10047
2015-03-28,10404
2015-03-29,10888
2015-03-30,11358
2015-03-31,11682
2015-04-01,11632
2015-04-02,11455
2015-04-03,11875
2015-04-04,11933
2015-04-05,11825
2015-04-06,12079
2015-04-07,12439
2015-04-08,12779
2015-04-09,13236
2015-04-10,13823
2015-04-11,14492
2015-04-12,15187
2015-04-13,15333
2015-04-14,15803
2015-04-15,15583
2015-04-16,15533
2015-04-17,15868
2015-04-18,15805
2015-04-19,15947
2015-04-20,15779
2015-04-21,15802
2015-04-22,15527
2015-04-23,15372
2015-04-24,14993
2015-04-25,14557
2015-04-26,14040
2015-04-27,13392
2015-04-28,13191
2015-04-29,12898
2015-04-30,12946
2015-05-01,13375
2015-05-02,13341
2015-05-03,13216
2015-05-04,12941
2015-05-05,12781
2015-05-06,13036
2015-05-07,13416
2015-05-08,13624
2015-05-09,13727
2015-05-10,13547
2015-05-11,13281
2015-05-12,13191
2015-05-13,13313
2015-05-14,13235
2015-05-15,13520
2015-05-16,13358
2015-05-17,13392
2015-05-18,13161
2015-05-19,13185
2015-05-20,13115
2015-05-21,13218
2015-05-22,13194
2015-05-23,12988
2015-05-24,12848
2015-05-25,12670
2015-05-26,12669
2015-05-27,12392
2015-05-28,12512
2015-05-29,12604
2015-05-30,12612
2015-05-31,12767
2015-06-01,12451
2015-06-02,12817
2015-06-03,12655
2015-06-04,12599
2015-06-05,12460
2015-06-06,12614
2015-06-07,12789
2015-06-08,12721
2015-06-09,12829
2015-06-10,13183
2015-06-11,13400
2015-06-12,13448
2015-06-13,13299
2015-06-14,13083
2015-06-15,12952
2015-06-16,12911
2015-06-17,13163
2015-06-18,13204
2015-06-19,13348
2015-06-20,13231
2015-06-21,13416
2015-06-22,13318
2015-06-23,13055
2015-06-24,12853
2015-06-25,12676
2015-06-26,12276
2015-06-27,12261
2015-06-28,12324
2015-06-29,12938
2015-06-30,12833
2015-07-01,12439
2015-07-02,11984
2015-07-03,11666
2015-07-04,11211
2015-07-05,10859
2015-07-06,10726
2015-07-07,10444
2015-07-08,10183
2015-07-09,10006
2015-07-10,9760
2015-07-11,9386
2015-07-12,9119
2015-07-13,8987
2015-07-14,8733
2015-07-15,8464
2015-07-16,8361
2015-07-17,8420
2015-07-18,8734
2015-07-19,8785
2015-07-20,9046
2015-07-21,8810
2015-07-22,8481
2015-07-23,8637
2015-07-24,8524
2015-07-25,8541
2015-07-26,8737
2015-07-27,9068
2015-07-28,9265
2015-07-29,9353
2015-07-30,9339
2015-07-31,9456
2015-08-01,9501
2015-08-02,9607
2015-08-03,9809
2015-08-04,9836
2015-08-05,10071
2015-08-06,10432
2015-08-07,10935
2015-08-08,11415
2015-08-09,11649
2015-08-10,11958
2015-08-11,12283
2015-08-12,11952
2015-08-13,11662
2015-08-14,11442
2015-08-15,11054
2015-08-16,10501
2015-08-17,10290
2015-08-18,10306
2015-08-19,10316
2015-08-20,10705
2015-08-21,10983
2015-08-22,10710
2015-08-23,10249
2015-08-24,10146
2015-08-25,9928
2015-08-26,9886
2015-08-27,9989
2015-08-28,9775
2015-08-29,9674
2015-08-30,9289
2015-08-31,9041
2015-09-01,8841
2015-09-02,8708
2015-09-03,8680
2015-09-04,8460
2015-09-05,8086
2015-09-06,7953
2015-09-07,7780
2015-09-08,7775
2015-09-09,7691
2015-09-10,7617
2015-09-11,7777
2015-09-12,7816
