date_obj,Dagon'hai%20robes%20set price
2019-11-06,11400000
2019-11-07,20688997
2019-11-07,20688997
2019-11-08,21554998
2019-11-09,21554998
2019-11-10,22453075
2019-11-11,22453075
2019-11-12,23348625
2019-11-13,23348625
2019-11-14,23348625
2019-11-15,24362563
2019-11-16,24362563
2019-11-17,24362563
2019-11-18,25436384
2019-11-19,25436384
2019-11-20,25436384
2019-11-21,25436384
2019-11-22,26508780
2019-11-23,26508780
2019-11-24,27006963
2019-11-25,27006963
2019-11-26,27006963
2019-11-27,27006963
2019-11-28,27370039
2019-11-29,27370039
2019-11-30,27370039
2019-12-01,27370039
2019-12-02,26339231
2019-12-03,26339231
2019-12-04,26339231
2019-12-05,26339231
2019-12-06,25168358
2019-12-07,25168358
2019-12-08,25168358
2019-12-09,24179544
2019-12-10,24179544
2019-12-11,24179544
2019-12-12,24179544
2019-12-13,23108712
2019-12-14,23108712
2019-12-15,23108712
2019-12-16,22187317
2019-12-17,22187317
2019-12-18,22187317
2019-12-19,22187317
2019-12-20,21582861
2019-12-21,21582861
2019-12-22,21582861
2019-12-23,21256325
2019-12-24,21256325
2019-12-25,21256325
2019-12-26,21968558
2019-12-27,21968558
2019-12-28,22794345
2019-12-29,22794345
2019-12-30,22794345
2019-12-31,23657351
2020-01-01,23657351
2020-01-02,24428014
2020-01-03,24428014
2020-01-04,24428014
2020-01-05,24385891
2020-01-06,24385891
2020-01-07,25113255
2020-01-08,25113255
2020-01-09,25113255
2020-01-10,25527371
2020-01-11,25527371
2020-01-12,26088790
2020-01-13,26088790
2020-01-14,26088790
2020-01-15,25866537
2020-01-16,25866537
2020-01-17,25866537
2020-01-18,25591891
2020-01-19,25591891
2020-01-20,25388093
2020-01-21,25388093
2020-01-22,25388093
2020-01-23,24667862
2020-01-24,24667862
2020-01-25,23612016
2020-01-26,23612016
2020-01-27,22524249
2020-01-28,22524249
2020-01-29,21465645
2020-01-30,21465645
2020-01-31,21465645
2020-02-01,20392362
2020-02-02,20392362
2020-02-03,19373155
2020-02-04,19373155
2020-02-05,18499939
2020-02-06,18499939
2020-02-07,17663542
2020-02-08,17663542
2020-02-09,16780364
2020-02-10,16780364
2020-02-11,15946187
2020-02-12,15946187
2020-02-13,15220049
2020-02-14,15220049
2020-02-15,14852738
2020-02-16,14852738
2020-02-17,15008219
2020-02-18,15008219
2020-02-19,14830334
2020-02-20,14830334
2020-02-21,15250430
2020-02-22,15250430
2020-02-23,15735951
2020-02-24,15735951
2020-02-25,16456342
2020-02-26,16456342
2020-02-27,17141518
2020-02-28,17141518
2020-02-29,17845535
2020-03-01,17845535
2020-03-02,18105261
2020-03-03,18105261
2020-03-04,18105261
2020-03-05,17841163
2020-03-06,17841163
2020-03-07,17610874
2020-03-08,17610874
2020-03-09,17715218
2020-03-10,17715218
2020-03-11,17995415
2020-03-12,17995415
2020-03-13,17888572
2020-03-14,17888572
2020-03-15,17540230
2020-03-16,17540230
2020-03-17,17277949
2020-03-18,17277949
2020-03-19,17111303
2020-03-20,17111303
2020-03-21,17057497
2020-03-22,17057497
2020-03-23,17098845
2020-03-24,17098845
2020-03-25,17074303
2020-03-26,17074303
2020-03-27,17215781
2020-03-28,17215781
2020-03-29,17476016
2020-03-30,17476016
2020-03-31,17289750
2020-04-01,17289750
2020-04-02,17155769
2020-04-03,17155769
2020-04-04,16697884
2020-04-05,16697884
2020-04-06,16284793
2020-04-07,16284793
2020-04-08,15925862
2020-04-09,15925862
2020-04-10,15389124
2020-04-11,14955764
2020-04-12,14955764
2020-04-13,14487405
2020-04-14,14487405
2020-04-15,14187893
2020-04-16,14187893
2020-04-17,14357957
2020-04-18,14566107
2020-04-19,14566107
2020-04-20,14744532
2020-04-21,14744532
2020-04-22,15416568
2020-04-23,15416568
2020-04-24,15486243
2020-04-25,15486243
2020-04-26,15289418
2020-04-27,15289418
2020-04-28,14991823
2020-04-29,14991823
2020-04-30,14790354
2020-05-01,14790354
2020-05-02,14692119
2020-05-03,14537248
2020-05-04,14537248
2020-05-05,14421324
2020-05-06,14421324
2020-05-07,14323228
2020-05-08,14323228
2020-05-09,14404417
2020-05-10,14404417
2020-05-11,14320957
2020-05-12,14320957
2020-05-13,14427554
