date_obj,Pineapple%20pizza price
2015-03-26,749
2015-03-27,749
2015-03-28,764
2015-03-29,798
2015-03-30,834
2015-03-31,855
2015-04-01,855
2015-04-02,886
2015-04-03,923
2015-04-04,909
2015-04-05,870
2015-04-06,858
2015-04-07,872
2015-04-08,877
2015-04-09,905
2015-04-10,923
2015-04-11,902
2015-04-12,908
2015-04-13,921
2015-04-14,913
2015-04-15,896
2015-04-16,894
2015-04-17,914
2015-04-18,934
2015-04-19,893
2015-04-20,893
2015-04-21,900
2015-04-22,900
2015-04-23,916
2015-04-24,932
2015-04-25,955
2015-04-26,955
2015-04-27,948
2015-04-28,961
2015-04-29,961
2015-04-30,960
2015-05-01,927
2015-05-02,912
2015-05-03,912
2015-05-04,897
2015-05-05,897
2015-05-06,923
2015-05-07,948
2015-05-08,948
2015-05-09,967
2015-05-10,961
2015-05-11,961
2015-05-12,937
2015-05-13,937
2015-05-14,895
2015-05-15,895
2015-05-16,868
2015-05-17,886
2015-05-18,917
2015-05-19,917
2015-05-20,891
2015-05-21,891
2015-05-22,887
2015-05-23,887
2015-05-24,911
2015-05-25,894
2015-05-26,885
2015-05-27,885
2015-05-28,872
2015-05-29,885
2015-05-30,887
2015-05-31,856
2015-06-01,896
2015-06-02,910
2015-06-03,951
2015-06-04,999
2015-06-05,1022
2015-06-06,1038
2015-06-07,1023
2015-06-08,1006
2015-06-09,973
2015-06-10,948
2015-06-11,955
2015-06-12,964
2015-06-13,960
2015-06-14,934
2015-06-15,918
2015-06-16,940
2015-06-17,978
2015-06-18,1006
2015-06-19,1000
2015-06-20,977
2015-06-21,973
2015-06-22,1009
2015-06-23,1035
2015-06-24,1012
2015-06-25,1012
2015-06-26,1037
2015-06-27,1038
2015-06-28,1021
2015-06-29,1017
2015-06-30,1025
2015-07-01,1011
2015-07-02,1011
2015-07-03,1023
2015-07-04,977
2015-07-05,928
2015-07-06,884
2015-07-07,893
2015-07-08,903
2015-07-09,903
2015-07-10,913
2015-07-11,926
2015-07-12,917
2015-07-13,910
2015-07-14,889
2015-07-15,859
2015-07-16,839
2015-07-17,863
2015-07-18,882
2015-07-19,881
2015-07-20,883
2015-07-21,877
2015-07-22,912
2015-07-23,912
2015-07-24,916
2015-07-25,916
2015-07-26,899
2015-07-27,887
2015-07-28,870
2015-07-29,895
2015-07-30,895
2015-07-31,904
2015-08-01,907
2015-08-02,892
2015-08-03,893
2015-08-04,897
2015-08-05,884
2015-08-06,880
2015-08-07,891
2015-08-08,887
2015-08-09,878
2015-08-10,884
2015-08-11,888
2015-08-12,888
2015-08-13,869
2015-08-14,857
2015-08-15,857
2015-08-16,852
2015-08-17,867
2015-08-18,907
2015-08-19,947
2015-08-20,947
2015-08-21,972
2015-08-22,977
2015-08-23,977
2015-08-24,955
2015-08-25,955
2015-08-26,930
2015-08-27,928
2015-08-28,962
2015-08-29,984
2015-08-30,984
2015-08-31,1010
2015-09-01,1028
2015-09-02,1028
2015-09-03,1039
2015-09-04,1000
2015-09-05,1000
2015-09-06,967
2015-09-07,948
2015-09-08,969
2015-09-09,969
2015-09-10,945
2015-09-11,919
2015-09-12,919
2015-09-13,913
2015-09-14,913
2015-09-15,916
2015-09-16,916
2015-09-17,911
2015-09-18,911
2015-09-19,887
2015-09-20,887
2015-09-21,883
2015-09-22,879
2015-09-23,904
2015-09-24,904
2015-09-25,908
2015-09-27,874
2015-09-28,874
2015-09-29,874
2015-09-30,887
2015-10-05,977
2015-10-06,969
2015-10-07,969
2015-10-08,937
2015-10-09,921
2015-10-10,921
2015-10-11,930
2015-10-12,931
2015-10-13,931
2015-10-14,926
2015-10-15,940
2015-10-16,956
2015-10-17,956
2015-10-18,953
2015-10-19,957
2015-10-20,952
2015-10-22,933
2015-10-23,923
2015-10-24,923
2015-10-25,924
2015-10-26,901
2015-10-27,901
2015-10-29,878
2015-10-30,899
2015-10-31,918
2015-11-01,918
2015-11-02,946
2015-11-03,946
2015-11-04,942
2015-11-05,933
2015-11-06,933
2015-11-07,916
2015-11-08,916
2015-11-09,921
2015-11-10,921
2015-11-11,934
2015-11-12,934
2015-11-13,931
2015-11-14,931
2015-11-15,912
2015-11-16,912
2015-11-17,948
2015-11-18,948
2015-11-19,989
2015-11-20,992
2015-11-21,992
2015-11-22,978
2015-11-23,978
2015-11-24,987
2015-11-25,984
2015-11-26,984
2015-11-27,969
2015-11-28,966
2015-11-29,978
2015-11-30,1018
2015-12-01,1018
2015-12-02,1046
2015-12-03,1062
2015-12-04,1062
2015-12-05,1093
2015-12-06,1107
2015-12-07,1107
2015-12-08,1086
2015-12-09,1052
2015-12-10,1050
2015-12-11,1033
2015-12-12,1017
2015-12-13,995
2015-12-14,995
2015-12-15,1021
2015-12-16,1027
2015-12-17,1027
2015-12-18,1010
2015-12-19,994
2015-12-20,988
2015-12-21,976
2015-12-22,960
2015-12-23,938
2015-12-24,938
2015-12-25,945
2015-12-26,948
2015-12-27,941
2015-12-28,934
2015-12-29,923
2015-12-30,931
2015-12-31,926
2016-01-01,909
2016-01-02,897
2016-01-03,915
2016-01-04,936
2016-01-05,929
2016-01-06,923
2016-01-07,912
2016-01-08,927
2016-01-09,934
2016-01-10,921
2016-01-11,914
2016-01-12,913
2016-01-13,913
2016-01-14,909
2016-01-15,951
2016-01-16,994
2016-01-17,1035
2016-01-18,1043
2016-01-19,1043
2016-01-20,1087
2016-01-21,1087
2016-01-22,1126
2016-01-23,1076
2016-01-24,1042
2016-01-25,996
2016-01-26,996
2016-01-27,952
2016-01-28,952
2016-01-29,936
2016-01-30,936
2016-01-31,931
2016-02-01,977
2016-02-02,1023
2016-02-03,1075
2016-02-04,1075
2016-02-05,1129
2016-02-06,1153
2016-02-07,1153
2016-02-08,1095
2016-02-09,1041
2016-02-10,1014
2016-02-11,1025
2016-02-12,1025
2016-02-13,1038
2016-02-14,1038
2016-02-15,994
2016-02-16,976
2016-02-17,942
2016-02-18,942
2016-02-19,912
2016-02-20,897
2016-02-21,897
2016-02-22,897
2016-02-23,924
2016-02-24,937
2016-02-25,937
2016-02-26,937
2016-02-27,968
2016-02-28,945
2016-02-29,953
2016-03-01,955
2016-03-02,909
2016-03-03,875
2016-03-04,888
2016-03-05,884
2016-03-06,891
2016-03-07,892
2016-03-08,892
2016-03-09,910
2016-03-10,948
2016-03-11,959
2016-03-12,987
2016-03-13,981
2016-03-14,972
2016-03-15,941
2016-03-16,939
2016-03-17,925
2016-03-18,921
2016-03-19,927
2016-03-20,922
2016-03-21,915
2016-03-22,915
2016-03-23,918
2016-03-24,918
2016-03-25,911
2016-03-26,918
2016-03-27,926
2016-03-28,958
2016-03-29,943
2016-03-30,943
2016-03-31,926
2016-04-01,922
2016-04-02,933
2016-04-03,970
2016-04-04,986
2016-04-05,1033
2016-04-06,1070
2016-04-07,1030
2016-04-08,1008
2016-04-09,1008
2016-04-10,991
2016-04-11,991
2016-04-12,974
2016-04-14,1023
2016-04-15,1073
2016-04-16,1121
2016-04-17,1137
2016-04-18,1118
2016-04-19,1087
2016-04-20,1065
2016-04-21,1021
2016-04-22,1019
2016-04-23,998
2016-04-24,989
2016-04-25,995
2016-04-26,1041
2016-04-27,1055
2016-04-28,1105
2016-04-29,1146
2016-04-30,1102
2016-05-01,1058
2016-05-02,1005
2016-05-03,979
2016-05-04,973
2016-05-05,977
2016-05-06,970
2016-05-07,994
2016-05-08,964
2016-05-09,959
2016-05-10,967
2016-05-11,969
2016-05-12,987
2016-05-13,1003
2016-05-14,983
2016-05-15,985
2016-05-16,989
2016-05-17,978
2016-05-18,986
2016-05-19,1005
2016-05-22,941
2016-05-23,920
2016-05-24,895
2016-05-25,881
2016-05-26,842
2016-05-27,883
2016-05-28,901
2016-05-29,866
2016-05-30,890
2016-05-31,883
2016-06-01,862
2016-06-02,868
2016-06-03,872
2016-06-04,848
2016-06-05,834
2016-06-06,851
2016-06-07,839
2016-06-08,829
2016-06-09,822
2016-06-10,816
2016-06-11,856
2016-06-12,899
2016-06-13,937
2016-06-14,975
2016-06-15,1014
2016-06-16,1065
2016-06-17,1115
2016-06-18,1080
2016-06-19,1026
2016-06-20,976
2016-06-21,948
2016-06-22,946
2016-06-23,947
2016-06-24,940
2016-06-25,902
2016-06-26,904
2016-06-27,950
2016-06-28,997
2016-06-29,1033
2016-06-30,1081
2016-07-01,1132
2016-07-02,1127
2016-07-03,1070
2016-07-04,1055
2016-07-05,1100
2016-07-06,1145
2016-07-07,1188
2016-07-08,1246
2016-07-09,1229
2016-07-10,1167
2016-07-11,1108
2016-07-12,1137
2016-07-13,1159
2016-07-14,1106
2016-07-15,1112
2016-07-16,1138
2016-07-17,1087
2016-07-18,1070
2016-07-23,1154
2016-07-24,1108
2016-07-25,1109
2016-07-26,1120
2016-07-27,1092
2016-07-28,1078
2016-07-29,1112
2016-07-30,1103
2016-07-31,1066
2016-08-01,1078
2016-08-02,1077
2016-08-03,1107
2016-08-04,1163
2016-08-05,1201
2016-08-06,1146
2016-08-07,1145
2016-08-08,1087
2016-08-09,1051
2016-08-10,1014
2016-08-11,1023
2016-08-12,1034
2016-08-13,1081
2016-08-14,1133
2016-08-15,1180
2016-08-16,1142
2016-08-17,1091
2016-08-18,1060
2016-08-19,1098
2016-08-20,1091
2016-08-21,1060
2016-08-22,1061
2016-08-23,1055
2016-08-24,1084
2016-08-25,1042
2016-08-26,1042
2016-08-28,967
2016-08-31,988
2016-09-01,1003
