date_obj,Emerald%20bolts%20(e) price
2015-03-26,190
2015-03-27,190
2015-03-28,197
2015-03-29,207
2015-03-30,213
2015-03-31,223
2015-04-01,223
2015-04-02,234
2015-04-03,243
2015-04-04,255
2015-04-05,255
2015-04-06,264
2015-04-07,274
2015-04-08,274
2015-04-09,265
2015-04-10,273
2015-04-11,284
2015-04-12,280
2015-04-13,272
2015-04-14,272
2015-04-15,274
2015-04-16,269
2015-04-17,261
2015-04-18,258
2015-04-19,258
2015-04-20,258
2015-04-21,255
2015-04-22,255
2015-04-23,251
2015-04-24,251
2015-04-25,243
2015-04-26,231
2015-04-27,228
2015-04-28,222
2015-04-29,222
2015-04-30,224
2015-05-01,222
2015-05-02,228
2015-05-03,228
2015-05-04,230
2015-05-05,238
2015-05-06,243
2015-05-07,251
2015-05-08,257
2015-05-09,265
2015-05-10,271
2015-05-11,271
2015-05-12,270
2015-05-13,270
2015-05-14,261
2015-05-15,261
2015-05-16,262
2015-05-17,270
2015-05-18,263
2015-05-19,263
2015-05-20,259
2015-05-21,259
2015-05-22,264
2015-05-23,264
2015-05-24,259
2015-05-25,258
2015-05-26,265
2015-05-27,265
2015-05-28,263
2015-05-29,271
2015-05-30,280
2015-05-31,278
2015-06-01,277
2015-06-02,277
2015-06-03,279
2015-06-04,286
2015-06-05,288
2015-06-06,299
2015-06-07,309
2015-06-08,311
2015-06-09,303
2015-06-10,303
2015-06-11,289
2015-06-12,287
2015-06-13,294
2015-06-14,297
2015-06-15,302
2015-06-16,293
2015-06-17,283
2015-06-18,285
2015-06-19,294
2015-06-20,301
2015-06-21,290
2015-06-22,293
2015-06-23,295
2015-06-24,308
2015-06-25,308
2015-06-26,304
2015-06-27,313
2015-06-28,321
2015-06-29,324
2015-06-30,334
2015-07-01,329
2015-07-02,329
2015-07-03,320
2015-07-04,311
2015-07-05,302
2015-07-06,299
2015-07-07,296
2015-07-08,295
2015-07-09,294
2015-07-10,295
2015-07-11,300
2015-07-12,299
2015-07-13,297
2015-07-14,295
2015-07-15,288
2015-07-16,287
2015-07-17,299
2015-07-18,302
2015-07-19,299
2015-07-20,292
2015-07-21,289
2015-07-22,283
2015-07-23,283
2015-07-24,289
2015-07-25,277
2015-07-26,275
2015-07-27,276
2015-07-28,276
2015-07-29,269
2015-07-30,260
2015-07-31,247
2015-08-01,247
2015-08-02,251
2015-08-03,248
2015-08-04,249
2015-08-05,255
2015-08-06,268
2015-08-07,278
2015-08-08,288
2015-08-09,289
2015-08-10,292
2015-08-11,298
2015-08-12,296
2015-08-13,290
2015-08-14,281
2015-08-15,268
2015-08-16,257
2015-08-17,248
2015-08-18,244
2015-08-19,242
2015-08-20,237
2015-08-21,229
2015-08-22,230
2015-08-23,230
2015-08-24,232
2015-08-25,232
2015-08-26,232
2015-08-27,225
2015-08-28,231
2015-08-29,237
2015-08-30,240
2015-08-31,237
2015-09-01,240
2015-09-02,240
2015-09-03,247
2015-09-04,258
2015-09-05,265
2015-09-06,271
2015-09-07,276
2015-09-08,284
2015-09-09,289
2015-09-10,277
2015-09-11,279
2015-09-12,279
2015-09-13,281
2015-09-14,295
2015-09-15,310
2015-09-16,317
2015-09-17,315
2015-09-18,305
2015-09-19,307
2015-09-20,291
2015-09-21,280
2015-09-22,268
2015-09-23,254
2015-09-24,244
2015-09-25,241
2015-09-27,242
2015-09-28,240
2015-09-29,239
2015-09-30,236
2015-10-05,241
2015-10-06,244
2015-10-07,241
2015-10-08,245
2015-10-09,243
2015-10-10,243
2015-10-11,247
2015-10-12,251
2015-10-13,252
2015-10-14,252
2015-10-15,252
2015-10-16,252
2015-10-17,252
2015-10-18,249
2015-10-19,253
2015-10-20,257
2015-10-22,257
2015-10-23,255
2015-10-24,257
2015-10-25,260
2015-10-26,264
2015-10-27,260
2015-10-29,257
2015-10-30,256
2015-10-31,255
2015-11-01,255
2015-11-02,260
2015-11-03,261
2015-11-04,261
2015-11-05,264
2015-11-06,259
2015-11-07,256
2015-11-08,256
2015-11-09,259
2015-11-10,256
2015-11-11,258
2015-11-12,259
2015-11-13,260
2015-11-14,257
2015-11-15,258
2015-11-16,264
2015-11-17,267
2015-11-18,262
2015-11-19,261
2015-11-20,261
2015-11-21,261
2015-11-22,264
2015-11-23,264
2015-11-24,255
2015-11-25,248
2015-11-26,248
