date_obj,Amulet%20of%20chemistry price
2017-02-01,11883
2017-02-02,11288
2017-02-03,10723
2017-02-04,10186
2017-02-05,9677
2017-02-06,9194
2017-02-07,9194
2017-02-08,8734
2017-02-09,8734
2017-02-10,8297
2017-02-11,7882
2017-02-12,7882
2017-02-13,7487
2017-02-14,7487
2017-02-15,7112
2017-02-16,6756
2017-02-17,6756
2017-02-18,6444
2017-02-19,6121
2017-02-20,6121
2017-02-21,5814
2017-02-22,5814
2017-02-23,5814
2017-02-24,5523
2017-02-25,5523
2017-02-26,5247
2017-02-27,5247
2017-02-28,4984
2017-03-01,4984
2017-03-02,4734
2017-03-03,4734
2017-03-04,4497
2017-03-05,4497
2017-03-06,4272
2017-03-07,4272
2017-03-08,4059
2017-03-09,4059
2017-03-10,3856
2017-03-11,3856
2017-03-12,3663
2017-03-13,3663
2017-03-14,3479
2017-03-15,3479
2017-03-16,3305
2017-03-17,3305
2017-03-18,3139
2017-03-19,2982
2017-03-20,2982
2017-03-21,2832
2017-03-22,2832
2017-03-23,2690
2017-03-24,2690
2017-03-25,2555
2017-03-26,2555
2017-03-27,2427
2017-03-28,2427
2017-03-29,2305
2017-03-30,2305
2017-03-31,2189
2017-04-01,2189
2017-04-02,2079
2017-04-03,1976
2017-04-04,1976
2017-04-05,1877
2017-04-12,1015
2017-04-13,964
2017-04-14,964
2017-04-15,915
2017-04-16,873
2017-04-17,873
2017-04-18,834
2017-04-19,834
2017-04-20,794
2017-04-21,794
2017-04-22,789
2017-04-23,789
2017-04-24,783
2017-04-25,747
2017-04-26,747
2017-04-27,726
2017-04-28,726
2017-04-29,727
2017-04-30,727
2017-05-01,733
2017-05-02,733
2017-05-03,753
2017-05-04,764
2017-05-05,764
2017-05-06,788
2017-05-07,788
2017-05-08,811
2017-05-09,814
2017-05-10,814
2017-05-11,818
2017-05-12,851
2017-05-13,894
2017-05-14,894
2017-05-15,939
2017-05-16,986
2017-05-17,986
2017-05-18,1032
2017-05-19,1032
2017-05-20,1084
2017-05-21,1084
2017-05-22,1138
2017-05-23,1138
2017-05-24,1161
2017-05-25,1161
2017-05-26,1173
2017-05-27,1173
2017-05-28,1216
2017-05-29,1216
2017-05-30,1175
2017-05-31,1231
2017-06-01,1231
2017-06-02,1287
2017-06-03,1287
2017-06-04,1283
2017-06-05,1283
2017-06-06,1289
2017-06-07,1289
2017-06-08,1288
2017-06-09,1288
2017-06-10,1274
2017-06-11,1275
2017-06-12,1275
2017-06-13,1279
2017-06-14,1279
2017-06-15,1255
2017-06-16,1255
2017-06-17,1263
2017-06-18,1316
2017-06-19,1316
2017-06-20,1307
2017-06-21,1307
2017-06-22,1249
2017-06-23,1249
2017-06-24,1204
2017-06-25,1204
2017-06-26,1202
2017-06-27,1202
2017-06-28,1206
2017-06-29,1206
2017-06-30,1243
2017-07-01,1243
2017-07-02,1243
2017-07-03,1246
2017-07-04,1246
2017-07-05,1299
2017-07-06,1310
2017-07-07,1310
2017-07-08,1314
2017-07-09,1349
2017-07-13,1441
2017-07-14,1471
2017-07-15,1471
2017-07-16,1458
2017-07-17,1403
2017-07-18,1403
2017-07-19,1348
2017-07-20,1348
2017-07-21,1353
2017-07-22,1353
2017-07-23,1291
2017-07-24,1291
2017-07-25,1265
2017-07-26,1277
2017-07-27,1275
2017-07-28,1275
2017-07-29,1264
2017-07-30,1231
2017-07-31,1231
2017-08-01,1184
2017-08-02,1128
2017-08-03,1128
2017-08-04,1074
2017-08-05,1020
2017-08-06,1020
2017-08-07,987
2017-08-08,987
2017-08-09,973
2017-08-10,931
2017-08-11,931
2017-08-12,940
2017-08-13,940
2017-08-14,983
2017-08-15,1030
2017-08-16,1030
2017-08-17,1081
2017-08-18,1081
2017-08-19,1127
2017-08-20,1173
2017-08-21,1173
2017-08-22,1176
2017-08-23,1176
2017-08-24,1205
2017-08-25,1205
2017-08-26,1250
2017-08-27,1250
2017-08-28,1298
2017-08-29,1298
2017-08-30,1249
2017-08-31,1249
2017-09-01,1245
2017-09-02,1298
2017-09-03,1298
2017-09-04,1325
2017-09-05,1322
2017-09-06,1322
2017-09-07,1375
2017-09-08,1375
2017-09-09,1394
2017-09-10,1440
2017-09-11,1440
2017-09-12,1442
2017-09-13,1442
2017-09-14,1490
