date_obj,Cadava%20berries price
2015-03-26,530
2015-03-27,530
2015-03-28,503
2015-03-29,479
2015-03-30,479
2015-03-31,455
2015-04-01,455
2015-04-02,432
2015-04-03,412
2015-04-04,393
2015-04-05,393
2015-04-06,373
2015-04-07,373
2015-04-08,354
2015-04-09,354
2015-04-10,336
2015-04-11,336
2015-04-12,319
2015-04-13,319
2015-04-14,305
2015-04-15,305
2015-04-16,289
2015-04-17,275
2015-04-18,262
2015-04-19,249
2015-04-20,249
2015-04-21,236
2015-04-22,236
2015-04-23,224
2015-04-24,224
2015-04-25,212
2015-04-26,212
2015-04-27,201
2015-04-28,190
2015-04-29,190
2015-04-30,180
2015-05-01,172
2015-05-02,164
2015-05-03,164
2015-05-04,157
2015-05-05,157
2015-05-06,154
2015-05-07,154
2015-05-08,155
2015-05-09,155
2015-05-10,150
2015-05-11,150
2015-05-12,150
2015-05-13,150
2015-05-14,149
2015-05-15,149
2015-05-16,146
2015-05-17,143
2015-05-18,143
2015-05-19,142
2015-05-20,142
2015-05-21,142
2015-05-22,137
2015-05-23,137
2015-05-24,135
2015-05-25,135
2015-05-26,137
2015-05-27,137
2015-05-28,138
2015-05-29,138
2015-05-30,137
2015-05-31,137
2015-06-01,135
2015-06-02,135
2015-06-03,134
2015-06-04,134
2015-06-05,133
2015-06-06,133
2015-06-07,131
2015-06-08,131
2015-06-09,127
2015-06-10,126
2015-06-11,126
2015-06-12,126
2015-06-13,126
2015-06-14,126
2015-06-15,125
2015-06-16,127
2015-06-17,127
2015-06-18,127
2015-06-19,127
2015-06-20,129
2015-06-21,129
2015-06-22,127
2015-06-23,127
2015-06-24,128
2015-06-25,128
2015-06-26,129
2015-06-27,129
2015-06-28,131
2015-06-29,131
2015-06-30,126
2015-07-01,129
2015-07-02,129
2015-07-03,132
2015-07-04,132
2015-07-05,131
2015-07-06,131
2015-07-07,129
2015-07-08,124
2015-07-09,124
2015-07-10,122
2015-07-11,122
2015-07-12,121
2015-07-13,122
2015-07-14,122
2015-07-15,122
2015-07-16,122
2015-07-17,118
2015-07-18,118
2015-07-19,112
2015-07-20,106
2015-07-21,106
2015-07-22,102
2015-07-23,102
2015-07-24,99
2015-07-25,99
2015-07-26,99
2015-07-27,100
2015-07-28,100
2015-07-29,102
2015-07-30,102
2015-07-31,100
2015-08-01,100
2015-08-02,101
2015-08-03,101
2015-08-04,103
2015-08-05,104
2015-08-06,104
2015-08-07,106
2015-08-08,105
2015-08-09,103
2015-08-10,103
2015-08-11,101
2015-08-12,101
2015-08-13,99
2015-08-14,99
2015-08-15,99
2015-08-16,99
2015-08-17,98
2015-08-18,98
2015-08-19,99
2015-08-20,99
2015-08-21,102
2015-08-22,104
2015-08-23,104
2015-08-24,105
2015-08-25,105
2015-08-26,105
2015-08-27,105
2015-08-28,105
2015-08-29,104
2015-08-30,104
2015-08-31,105
2015-09-01,105
2015-09-02,108
2015-09-03,108
2015-09-04,108
2015-09-05,108
2015-09-06,109
2015-09-07,109
2015-09-08,110
2015-09-09,110
2015-09-10,110
2015-09-11,110
2015-09-12,109
2015-09-13,109
2015-09-14,108
2015-09-15,106
2015-09-16,106
2015-09-17,104
2015-09-18,104
2015-09-19,104
2015-09-20,104
2015-09-21,104
2015-09-22,104
2015-09-23,101
2015-09-24,101
2015-09-25,99
2015-09-27,102
2015-09-28,102
2015-09-29,104
