date_obj,Armadyl%20rune%20armour%20set%20(sk) price
2015-03-26,230000
2015-03-27,230000
2015-03-28,230000
2015-03-29,230000
2015-03-30,230000
2015-03-31,230000
2015-04-01,230000
2015-04-02,230000
2015-04-03,230000
2015-04-04,230000
2015-04-05,230000
2015-04-06,230000
2015-04-07,230000
2015-04-08,230000
2015-04-09,230000
2015-04-10,230000
2015-04-11,230000
2015-04-12,230000
2015-04-13,230000
2015-04-14,230000
2015-04-15,230000
2015-04-16,230000
2015-04-17,230000
2015-04-18,230000
2015-04-19,230000
2015-04-20,230000
2015-04-21,230000
2015-04-22,230000
2015-04-23,230000
2015-04-24,230000
2015-04-25,230000
2015-04-26,230000
2015-04-27,230000
2015-04-28,230000
2015-04-29,230000
2015-04-30,230000
2015-05-01,230000
2015-05-02,230000
2015-05-03,230000
2015-05-04,230000
2015-05-05,230000
2015-05-06,230000
2015-05-07,230000
2015-05-08,230000
2015-05-09,230000
2015-05-10,230000
2015-05-11,230000
2015-05-12,230000
2015-05-13,230000
2015-05-14,230000
2015-05-15,230000
2015-05-16,230000
2015-05-17,236673
2015-05-18,236673
2015-05-19,236673
2015-05-20,236673
2015-05-21,236673
2015-05-22,236673
2015-05-23,236673
2015-05-24,236673
2015-05-25,236673
2015-05-26,236673
2015-05-27,236673
2015-05-28,236673
2015-05-29,236673
2015-05-30,236673
2015-05-31,236673
2015-06-01,236673
2015-06-02,236673
2015-06-03,236673
2015-06-04,236673
2015-06-05,236673
2015-06-06,236673
2015-06-07,236673
2015-06-08,236673
2015-06-09,236673
2015-06-10,236673
2015-06-11,236673
2015-06-12,236673
2015-06-13,236673
2015-06-14,236673
2015-06-15,236673
2015-06-16,236673
2015-06-17,236673
2015-06-18,236673
2015-06-19,236673
2015-06-20,236673
2015-06-21,236673
2015-06-22,236673
2015-06-23,236673
2015-06-24,236673
2015-06-25,236673
2015-06-26,236673
2015-06-27,236673
2015-06-28,236673
2015-06-29,236673
2015-06-30,236673
2015-07-01,236673
2015-07-02,236673
2015-07-03,236673
2015-07-04,236673
2015-07-05,236673
2015-07-06,236673
2015-07-07,236673
2015-07-08,236673
2015-07-09,236673
2015-07-10,236673
2015-07-11,236673
2015-07-12,236673
2015-07-13,242311
2015-07-14,242311
2015-07-15,242311
2015-07-16,242311
2015-07-17,242311
2015-07-18,242311
2015-07-19,242311
2015-07-20,242311
2015-07-21,242311
2015-07-22,242311
2015-07-23,242311
2015-07-24,242311
2015-07-25,242311
2015-07-26,242311
2015-07-27,242311
2015-07-28,242311
2015-07-29,242311
2015-07-30,242311
2015-07-31,242311
2015-08-01,242311
2015-08-02,242311
2015-08-03,242311
2015-08-04,242311
2015-08-05,242311
2015-08-06,242311
2015-08-07,242311
2015-08-08,242311
2015-08-09,242311
2015-08-10,242311
2015-08-11,242311
2015-08-12,242311
2015-08-13,242311
2015-08-14,242311
2015-08-15,242311
2015-08-16,242311
2015-08-17,242311
2015-08-18,242311
2015-08-19,242311
2015-08-20,242311
2015-08-21,242311
2015-08-22,242311
2015-08-23,242311
2015-08-24,242311
2015-08-25,242311
2015-08-26,242311
2015-08-27,242311
2015-08-28,242311
2015-08-29,242311
2015-08-30,242311
2015-08-31,242311
2015-09-01,251251
2015-09-02,251251
2015-09-03,251251
2015-09-04,251251
2015-09-05,251251
2015-09-06,251251
2015-09-07,251251
2015-09-08,251251
2015-09-09,251251
2015-09-10,251251
2015-09-11,251251
2015-09-12,251251
