date_obj,Black%20platebody price
2015-03-26,3164
2015-03-27,3164
2015-03-28,3140
2015-03-29,3200
2015-03-30,3145
2015-03-31,3158
2015-04-01,3250
2015-04-02,3244
2015-04-03,3278
2015-04-04,3231
2015-04-05,3222
2015-04-06,3178
2015-04-07,3198
2015-04-08,3198
2015-04-09,3331
2015-04-10,3390
2015-04-11,3381
2015-04-12,3519
2015-04-13,3627
2015-04-14,3627
2015-04-15,3798
2015-04-16,3988
2015-04-17,3986
2015-04-18,3948
2015-04-19,3940
2015-04-20,3940
2015-04-21,4040
2015-04-22,4234
2015-04-23,4446
2015-04-24,4590
2015-04-25,4747
2015-04-26,4783
2015-04-27,4745
2015-04-28,4872
2015-04-29,4872
2015-04-30,4975
2015-05-01,5129
2015-05-02,5241
2015-05-03,5241
2015-05-04,5214
2015-05-05,5094
2015-05-06,5076
2015-05-07,5054
2015-05-08,5156
2015-05-09,5110
2015-05-10,5062
2015-05-11,5062
2015-05-12,4917
2015-05-13,4869
2015-05-14,4844
2015-05-15,4818
2015-05-16,4720
2015-05-17,4543
2015-05-18,4342
2015-05-19,4152
2015-05-20,4152
2015-05-21,3967
2015-05-22,3798
2015-05-23,3712
2015-05-24,3608
2015-05-25,3536
2015-05-26,3445
2015-05-27,3380
2015-05-28,3321
2015-05-29,3255
2015-05-30,3209
2015-05-31,3150
2015-06-01,3124
2015-06-02,3124
2015-06-03,3135
2015-06-04,3158
2015-06-05,3260
2015-06-06,3280
2015-06-07,3286
2015-06-08,3323
2015-06-09,3471
2015-06-10,3552
2015-06-11,3617
2015-06-12,3735
2015-06-13,3859
2015-06-14,3863
2015-06-15,3812
2015-06-16,3959
2015-06-17,4134
2015-06-18,4258
2015-06-19,4469
2015-06-20,4658
2015-06-21,4800
2015-06-22,4759
2015-06-23,4694
2015-06-24,4586
2015-06-25,4586
2015-06-26,4380
2015-06-27,4169
2015-06-28,4032
2015-06-29,4070
2015-06-30,4093
2015-07-01,4173
2015-07-02,4173
2015-07-03,4092
2015-07-04,4170
2015-07-05,4217
2015-07-06,4302
2015-07-07,4362
2015-07-08,4438
2015-07-09,4628
2015-07-10,4860
2015-07-11,5098
2015-07-12,5152
2015-07-13,5033
2015-07-14,4955
2015-07-15,4808
2015-07-16,4684
2015-07-17,4680
2015-07-18,4598
2015-07-19,4502
2015-07-20,4546
2015-07-21,4458
2015-07-22,4474
2015-07-23,4474
2015-07-24,4529
2015-07-25,4540
2015-07-26,4625
2015-07-27,4746
2015-07-28,4979
2015-07-29,4984
2015-07-30,4955
2015-07-31,4881
2015-08-01,4795
2015-08-02,4722
2015-08-03,4689
2015-08-04,4594
2015-08-05,4648
2015-08-06,4753
2015-08-07,4740
2015-08-08,4779
2015-08-09,4795
2015-08-10,4873
2015-08-11,4979
2015-08-12,4979
2015-08-13,4920
2015-08-14,4853
2015-08-15,4789
2015-08-16,4678
2015-08-17,4636
2015-08-18,4510
2015-08-19,4461
2015-08-20,4462
2015-08-21,4438
2015-08-22,4463
2015-08-23,4436
2015-08-24,4441
2015-08-25,4441
2015-08-26,4516
2015-08-27,4570
2015-08-28,4680
2015-08-29,4914
2015-08-30,5116
2015-08-31,5188
2015-09-01,5427
2015-09-02,5427
2015-09-03,5688
2015-09-04,5745
2015-09-05,5745
2015-09-06,5576
2015-09-07,5389
2015-09-08,5221
2015-09-09,5025
2015-09-10,4887
2015-09-11,4863
2015-09-12,4961
2015-09-13,4829
2015-09-14,4945
2015-09-15,5050
2015-09-16,5050
2015-09-17,4977
2015-09-18,4977
2015-09-19,4787
2015-09-20,4549
2015-09-21,4390
2015-09-22,4253
2015-09-23,4124
2015-09-24,4124
2015-09-25,4076
2015-09-27,4083
2015-09-28,3941
2015-09-29,3911
2015-09-30,3961
2015-10-05,4029
2015-10-06,3961
2015-10-07,3959
2015-10-08,3943
2015-10-09,4101
2015-10-10,4101
2015-10-11,4183
2015-10-12,4226
2015-10-13,4226
2015-10-14,4214
2015-10-15,4228
2015-10-16,4242
2015-10-17,4242
2015-10-18,4359
2015-10-19,4577
2015-10-20,4806
2015-10-22,5021
2015-10-23,5147
2015-10-24,5016
2015-10-25,4939
2015-10-26,4842
2015-10-27,4842
2015-10-29,4871
2015-10-30,5010
2015-10-31,5063
2015-11-01,5063
2015-11-02,4992
2015-11-03,5079
2015-11-04,5012
2015-11-05,4829
2015-11-06,4805
2015-11-07,4743
2015-11-08,4743
2015-11-09,4561
2015-11-10,4468
2015-11-11,4378
2015-11-12,4301
2015-11-13,4231
2015-11-14,4299
2015-11-15,4308
2015-11-16,4365
2015-11-17,4290
2015-11-18,4216
2015-11-19,4149
2015-11-20,4072
2015-11-21,4072
2015-11-22,4223
2015-11-23,4223
2015-11-24,4363
2015-11-25,4257
2015-11-26,4257
2015-11-27,4289
2015-11-28,4429
2015-11-29,4446
2015-11-30,4510
2015-12-01,4654
2015-12-02,4824
2015-12-03,4883
2015-12-04,4730
2015-12-05,4743
2015-12-06,4683
2015-12-07,4557
2015-12-08,4517
2015-12-09,4425
2015-12-10,4216
2015-12-11,4199
2015-12-12,4143
2015-12-13,4059
2015-12-14,4059
2015-12-15,4035
2015-12-16,4050
2015-12-17,4055
2015-12-18,4067
2015-12-19,4113
2015-12-20,4177
2015-12-21,4227
2015-12-22,4293
2015-12-23,4456
2015-12-24,4403
2015-12-25,4331
2015-12-26,4345
2015-12-27,4277
2015-12-28,4355
2015-12-29,4239
2015-12-30,4322
2015-12-31,4201
2016-01-01,4205
2016-01-02,4084
2016-01-03,4050
2016-01-04,3998
2016-01-05,4057
2016-01-06,4024
2016-01-07,4066
2016-01-08,3971
2016-01-09,3939
2016-01-10,3919
2016-01-11,3896
2016-01-12,3950
2016-01-13,4013
2016-01-14,3938
2016-01-15,3835
2016-01-16,3829
2016-01-17,3950
2016-01-18,4084
2016-01-19,4208
2016-01-20,4207
2016-01-21,4092
2016-01-22,4009
2016-01-23,4130
2016-01-24,4216
2016-01-25,4359
2016-01-26,4486
2016-01-27,4367
2016-01-28,4367
2016-01-29,4378
2016-01-30,4346
2016-01-31,4454
2016-02-01,4515
2016-02-02,4366
2016-02-03,4346
2016-02-04,4499
2016-02-05,4638
2016-02-06,4808
2016-02-07,4936
2016-02-08,5040
2016-02-09,4966
2016-02-10,4768
2016-02-11,4723
2016-02-12,4792
2016-02-13,4749
2016-02-14,4642
2016-02-15,4823
2016-02-16,4868
2016-02-17,5000
2016-02-18,4840
2016-02-19,4759
2016-02-20,4740
2016-02-21,4535
2016-02-22,4535
2016-02-23,4440
2016-02-24,4494
2016-02-25,4487
2016-02-26,4419
2016-02-27,4421
2016-02-28,4551
2016-02-29,4619
2016-03-01,4649
2016-03-02,4736
2016-03-03,4782
2016-03-04,4923
2016-03-05,4981
2016-03-06,4939
2016-03-07,5062
2016-03-08,4994
2016-03-09,4801
2016-03-10,4560
2016-03-11,4335
2016-03-12,4300
2016-03-13,4333
2016-03-14,4446
2016-03-15,4522
2016-03-16,4705
2016-03-17,4758
2016-03-18,4689
2016-03-19,4594
2016-03-20,4423
2016-03-21,4437
2016-03-22,4452
2016-03-23,4402
2016-03-24,4269
2016-03-25,4241
2016-03-26,4271
2016-03-27,4267
2016-03-28,4280
2016-03-29,4160
2016-03-30,4160
2016-03-31,3995
2016-04-01,3901
2016-04-02,3919
2016-04-03,3991
2016-04-04,4047
2016-04-05,4091
2016-04-06,4223
2016-04-07,4427
2016-04-08,4526
2016-04-09,4439
2016-04-10,4231
2016-04-11,4231
2016-04-12,4030
2016-04-13,3923
2016-04-14,3844
2016-04-15,3763
2016-04-16,3728
2016-04-17,3737
2016-04-18,3753
2016-04-19,3844
2016-04-20,3900
2016-04-21,4065
2016-04-22,4065
2016-04-23,4153
2016-04-24,4110
2016-04-25,4279
2016-04-26,4298
2016-04-27,4213
2016-04-28,4354
2016-04-29,4376
2016-04-30,4520
2016-05-01,4424
2016-05-02,4381
2016-05-03,4312
2016-05-04,4414
2016-05-05,4367
2016-05-06,4400
2016-05-07,4330
2016-05-08,4358
2016-05-09,4369
2016-05-10,4283
2016-05-11,4282
2016-05-12,4123
2016-05-13,3980
2016-05-14,3859
2016-05-15,3778
2016-05-16,3799
2016-05-17,3851
2016-05-18,3948
2016-05-19,3907
2016-05-22,4054
2016-05-23,4141
2016-05-24,4254
2016-05-25,4312
2016-05-26,4374
