date_obj,Dragon%20harpoon price
2017-01-04,1036017
2017-01-05,1086772
2017-01-06,1141111
2017-01-07,1198167
2017-01-08,1258076
2017-01-09,1320980
2017-01-10,1387029
2017-01-11,1456381
2017-01-12,1529201
2017-01-13,1605662
2017-01-14,1685946
2017-01-15,1770244
2017-01-16,1858757
2017-01-17,1951695
2017-01-18,2049280
2017-01-19,2151744
2017-01-20,2259332
2017-01-21,2372299
2017-01-22,2490914
2017-01-23,2615460
2017-01-27,3179110
2017-01-28,3338066
2017-01-29,3504970
2017-01-30,3680219
2017-01-31,3864230
2017-02-01,4057442
2017-02-02,4260315
2017-02-03,4473331
2017-02-04,4696998
2017-02-05,4931848
2017-02-06,5178441
2017-02-07,5437364
2017-02-08,5709233
2017-02-09,5989495
2017-02-10,6288970
2017-02-11,6603419
2017-02-12,6933590
2017-02-13,7280270
2017-02-14,7644284
2017-02-15,8026499
2017-02-16,8427824
2017-02-18,9271381
2017-02-19,9734951
2017-02-20,10221699
2017-02-21,10732784
2017-02-22,11269424
2017-02-23,11831118
2017-02-24,12126148
2017-02-25,12250216
2017-02-26,12210745
2017-02-27,12022052
2017-02-28,12232581
2017-03-01,12810394
2017-03-02,12827306
2017-03-03,12665271
2017-03-04,12593033
2017-03-05,12419800
2017-03-06,12407943
2017-03-07,12641648
2017-03-08,12537706
2017-03-09,12594347
2017-03-10,12662702
2017-03-11,12508099
2017-03-12,12506501
2017-03-13,12292594
2017-03-14,11804976
2017-03-15,11239933
2017-03-16,10677936
2017-03-17,10144039
2017-03-18,9636837
2017-03-19,9157801
2017-03-20,8737072
2017-03-21,8586177
2017-03-22,8212589
2017-03-23,8005509
2017-03-24,8188719
2017-03-25,8255501
2017-03-26,8363974
2017-03-27,8372810
2017-03-28,8338499
2017-03-29,8228017
2017-03-30,8067884
2017-03-31,8110922
2017-04-01,7880767
2017-04-02,7883402
2017-04-03,7873754
2017-04-04,7876113
2017-04-12,7964419
2017-04-13,7753344
2017-04-14,7679166
2017-04-15,7615653
2017-04-16,7577877
2017-04-17,7421882
2017-04-18,7251333
2017-04-19,6934277
2017-04-20,6652369
2017-04-21,6436642
2017-04-22,6426549
2017-04-23,6546080
2017-04-24,6769313
2017-04-25,7052914
2017-04-26,7107169
2017-04-27,7088599
2017-04-28,7015645
2017-04-29,7066852
2017-04-30,7105717
2017-05-01,7213168
2017-05-02,7346177
2017-05-03,7337327
2017-05-04,7286538
2017-05-05,7246342
2017-05-06,7116343
2017-05-07,7097606
2017-05-08,7048120
2017-05-09,7328117
2017-05-10,7576942
2017-05-11,7954276
2017-05-12,8269960
2017-05-13,8208261
2017-05-14,8134396
2017-05-15,8099508
2017-05-16,7944165
2017-05-17,7877307
2017-05-18,8021574
2017-05-19,7990051
2017-05-20,8132884
2017-05-21,8379319
2017-05-22,8474535
2017-05-23,8396655
2017-05-24,8353529
2017-05-25,8771127
2017-05-26,9207162
2017-05-27,9667521
2017-05-28,9890768
