date_obj,Mystic%20set%20(light) price
2019-03-14,158437
2019-03-15,158437
2019-03-16,165088
2019-03-17,171102
2019-03-18,171102
2019-03-19,171102
2019-03-20,165947
2019-03-21,165947
2019-03-22,167904
2019-03-23,169420
2019-03-24,169420
2019-03-25,169883
2019-03-26,169883
2019-03-27,172697
2019-03-28,172697
2019-03-29,170540
2019-03-30,170540
2019-03-31,168999
2019-04-01,168999
2019-04-02,170467
2019-04-03,170467
2019-04-04,174606
2019-04-05,174606
2019-04-06,174606
2019-04-07,174155
2019-04-08,174155
2019-04-09,170102
2019-04-10,170102
2019-04-11,166209
2019-04-12,166209
2019-04-13,165757
2019-04-14,165757
2019-04-15,167732
2019-04-16,167732
2019-04-17,166945
2019-04-18,166945
2019-04-19,164959
2019-04-20,164959
2019-04-21,165690
2019-04-22,165690
2019-04-23,162340
2019-04-24,162340
2019-04-25,157676
2019-04-26,157676
2019-04-27,155746
2019-04-28,155746
2019-04-29,160085
2019-04-30,160085
2019-05-01,164557
2019-05-02,164557
2019-05-03,168614
2019-05-04,168614
2019-05-05,160917
2019-05-06,160917
2019-05-07,159587
2019-05-08,159587
2019-05-09,162992
2019-05-10,162992
2019-05-11,161248
2019-05-12,161248
2019-05-13,159326
2019-05-14,159326
2019-05-15,159326
2019-05-16,159528
2019-05-17,159528
2019-05-18,164656
2019-05-19,164656
2019-05-20,170528
2019-05-21,170528
2019-05-22,170528
2019-05-23,173045
2019-05-24,173045
2019-05-25,179134
2019-05-26,179134
2019-05-27,185988
2019-05-28,185988
2019-05-29,190887
2019-05-30,190887
2019-05-31,190887
2019-06-01,186264
2019-06-02,186264
2019-06-03,178460
2019-06-04,178460
2019-06-05,175203
2019-06-06,175203
2019-06-07,175203
2019-06-08,173331
2019-06-09,173331
2019-06-10,173331
2019-06-11,171099
2019-06-12,171099
2019-06-13,165973
2019-06-14,165973
2019-06-15,158814
2019-06-16,158814
2019-06-17,157685
2019-06-18,157685
2019-06-19,157685
2019-06-20,157464
2019-06-21,157464
2019-06-22,157464
2019-06-23,158092
2019-06-24,158092
2019-06-25,154573
2019-06-26,154573
2019-06-27,149905
2019-06-28,149905
2019-06-29,154951
2019-06-30,154951
2019-07-01,156022
2019-07-02,156022
2019-07-03,161087
2019-07-04,161087
2019-07-05,161087
2019-07-06,161183
2019-07-07,161183
2019-07-08,165554
2019-07-09,165554
2019-07-10,166214
2019-07-11,166214
2019-07-12,166432
2019-07-13,166432
2019-07-14,163832
2019-07-15,163832
2019-07-16,163832
2019-07-17,162242
2019-07-18,162242
2019-07-19,162242
2019-07-20,163149
2019-07-21,163149
2019-07-22,164302
2019-07-23,164302
2019-07-24,164302
2019-07-25,164363
2019-07-26,164363
2019-07-27,165347
2019-07-28,165347
2019-07-29,165347
2019-07-30,165698
2019-07-31,165698
2019-08-01,165698
2019-08-02,167286
2019-08-03,167286
2019-08-04,165720
2019-08-05,165720
2019-08-06,168500
2019-08-07,168500
2019-08-08,168547
2019-08-09,168547
2019-08-10,165817
2019-08-11,165817
2019-08-12,165817
2019-08-13,164145
2019-08-14,164145
2019-08-15,166109
2019-08-16,166109
2019-08-17,172735
2019-08-18,172735
2019-08-19,172512
2019-08-20,172512
2019-08-21,172512
2019-08-22,168457
2019-08-23,168457
2019-08-24,163185
2019-08-24,163185
2019-08-25,163185
2019-08-25,163185
2019-08-26,163185
2019-08-26,163185
2019-08-27,162819
2019-08-27,162819
2019-08-28,162819
2019-08-29,162819
2019-08-30,161012
2019-08-31,161012
2019-09-01,158822
2019-09-02,158822
2019-09-03,156190
2019-09-04,156190
2019-09-05,152783
2019-09-06,152783
2019-09-07,151651
2019-09-08,151651
2019-09-09,151651
2019-09-10,155469
2019-09-11,155469
2019-09-12,160408
2019-09-13,160408
2019-09-14,160408
2019-09-15,165354
2019-09-16,165354
2019-09-17,167392
2019-09-18,167392
2019-09-19,167392
2019-09-20,166182
2019-09-21,166182
2019-09-22,166182
2019-09-23,164561
2019-09-24,164561
2019-09-25,164561
2019-09-26,163267
2019-09-27,163267
2019-09-28,163267
2019-09-29,163267
2019-09-30,160025
2019-10-01,160025
2019-10-02,159321
2019-10-03,159321
2019-10-04,159321
2019-10-05,157916
2019-10-06,157916
2019-10-07,162473
2019-10-08,162473
2019-10-09,162473
2019-10-10,157187
2019-10-11,157187
2019-10-12,157187
2019-10-13,157025
2019-10-14,157025
2019-10-15,157025
2019-10-16,157534
2019-10-17,157534
2019-10-18,157534
2019-10-19,154663
2019-10-20,154663
2019-10-21,154663
2019-10-22,157506
2019-10-23,157506
2019-10-24,157506
2019-10-25,157265
2019-10-26,157265
2019-10-27,157265
2019-10-28,161354
2019-10-29,161354
2019-10-30,161354
2019-10-31,162209
2019-11-01,162209
2019-11-02,162209
2019-11-03,164743
2019-11-04,164743
2019-11-05,164743
2019-11-06,164743
2019-11-07,167678
2019-11-08,167678
2019-11-09,167678
2019-11-10,167715
2019-11-11,167715
2019-11-12,167715
2019-11-13,167715
2019-11-14,163980
2019-11-15,163980
2019-11-16,162586
2019-11-17,162586
2019-11-18,162586
2019-11-19,165456
2019-11-20,165456
2019-11-21,165456
2019-11-22,165456
2019-11-23,163273
2019-11-24,163273
2019-11-25,163273
2019-11-26,163641
2019-11-27,163641
2019-11-28,163641
2019-11-29,163641
2019-11-30,161163
2019-12-01,161163
2019-12-02,161163
2019-12-03,159063
2019-12-04,159063
2019-12-05,159063
