date_obj,Red%20gloves price
2015-03-04,9088
2015-03-05,8633
2015-03-06,8201
2015-03-07,8201
2015-03-08,7790
2015-03-09,7790
2015-03-10,7400
2015-03-11,7400
2015-03-12,7030
2015-03-13,7030
2015-03-14,6678
2015-03-15,6678
2015-03-16,6344
2015-03-17,6032
2015-03-18,6032
2015-03-19,5735
2015-03-20,5735
2015-03-21,5448
2015-03-22,5183
2015-03-23,5183
2015-03-24,4923
2015-03-25,4923
2015-03-26,4676
2015-03-27,4676
2015-03-28,4442
2015-03-29,4226
2015-03-30,4226
2015-03-31,4014
2015-04-01,4014
2015-04-02,3827
2015-04-03,3827
2015-04-04,3642
2015-04-05,3642
2015-04-06,3459
2015-04-07,3459
2015-04-08,3286
2015-04-09,3286
2015-04-10,3129
2015-04-11,3129
2015-04-12,2972
2015-04-13,2972
2015-04-14,2823
2015-04-15,2823
2015-04-16,2681
2015-04-17,2681
2015-04-18,2546
2015-04-19,2422
2015-04-20,2422
2015-04-21,2300
2015-04-22,2300
2015-04-23,2185
2015-04-24,2185
2015-04-25,2075
2015-04-26,2075
2015-04-27,1971
2015-04-28,1874
2015-04-29,1874
2015-04-30,1780
2015-05-01,1780
2015-05-02,1691
2015-05-03,1691
2015-05-04,1606
2015-05-05,1606
2015-05-06,1545
2015-05-07,1545
2015-05-08,1496
2015-05-09,1496
2015-05-10,1462
2015-05-11,1462
2015-05-12,1429
2015-05-13,1429
2015-05-14,1380
2015-05-15,1380
2015-05-16,1351
2015-05-17,1321
2015-05-18,1321
2015-05-19,1263
2015-05-20,1263
2015-05-21,1263
2015-05-22,1239
2015-05-23,1239
2015-05-24,1228
2015-05-25,1228
2015-05-26,1188
2015-05-27,1188
2015-05-28,1169
2015-05-29,1162
2015-05-30,1124
2015-05-31,1124
2015-06-01,1114
2015-06-02,1114
2015-06-03,1107
2015-06-04,1107
2015-06-05,1105
2015-06-06,1107
2015-06-07,1106
2015-06-08,1106
2015-06-09,1119
2015-06-10,1119
2015-06-11,1119
2015-06-12,1125
2015-06-13,1146
2015-06-14,1146
2015-06-15,1140
2015-06-16,1155
2015-06-17,1155
2015-06-18,1157
2015-06-19,1157
2015-06-20,1151
2015-06-21,1151
2015-06-22,1177
2015-06-23,1177
2015-06-24,1144
2015-06-25,1144
2015-06-26,1113
2015-06-27,1113
2015-06-28,1114
2015-06-29,1114
2015-06-30,1086
2015-07-01,1041
2015-07-02,1041
2015-07-03,1024
2015-07-04,1024
2015-07-05,1034
2015-07-06,1034
2015-07-07,1038
2015-07-08,1032
2015-07-09,1032
2015-07-10,1019
2015-07-11,1019
2015-07-12,1024
2015-07-13,1026
2015-07-14,1035
2015-07-15,1021
2015-07-16,1021
2015-07-17,1023
2015-07-18,1023
2015-07-19,1047
2015-07-20,1054
2015-07-21,1054
2015-07-22,1080
2015-07-23,1080
2015-07-24,1107
2015-07-25,1107
2015-07-26,1139
2015-07-27,1151
2015-07-28,1151
2015-07-29,1156
2015-07-30,1156
2015-07-31,1150
2015-08-01,1150
2015-08-02,1149
2015-08-03,1149
2015-08-04,1157
2015-08-05,1161
2015-08-06,1161
2015-08-07,1135
2015-08-08,1153
2015-08-09,1116
2015-08-10,1094
2015-08-11,1059
2015-08-12,1059
2015-08-13,1057
2015-08-14,1068
2015-08-15,1068
2015-08-16,1083
2015-08-17,1080
2015-08-18,1080
2015-08-19,1088
2015-08-20,1088
2015-08-21,1088
2015-08-22,1095
2015-08-23,1095
2015-08-24,1075
2015-08-25,1075
2015-08-26,1067
2015-08-27,1033
2015-08-28,1033
2015-08-29,1013
2015-08-30,1013
2015-08-31,998
2015-09-02,1040
2015-09-07,1029
2015-09-08,1025
2015-09-10,998
2015-09-14,984
2015-09-16,938
2015-09-22,924
2015-09-23,942
2015-09-24,942
2015-09-25,956
2015-09-27,980
2015-09-28,987
2015-09-29,987
2015-09-30,1020
2015-10-05,1068
2015-10-06,1069
2015-10-07,1069
2015-10-08,1084
2015-10-09,1071
2015-10-10,1071
2015-10-11,1058
2015-10-12,1058
2015-10-13,1042
2015-10-14,1042
2015-10-15,1008
2015-10-16,1008
2015-10-17,978
2015-10-18,979
2015-10-19,972
2015-10-20,972
2015-10-22,945
2015-10-23,926
2015-10-24,926
2015-10-25,915
2015-10-26,931
2015-10-27,931
2015-10-29,934
2015-10-30,944
2015-10-31,948
2015-11-01,948
2015-11-02,905
2015-11-03,905
2015-11-04,890
2015-11-05,906
2015-11-06,906
2015-11-07,908
2015-11-08,908
2015-11-09,902
2015-11-10,902
2015-11-11,923
2015-11-12,923
2015-11-13,959
2015-11-14,959
2015-11-15,1002
2015-11-16,1002
2015-11-17,1039
2015-11-18,1039
2015-11-19,1073
2015-11-20,1120
2015-11-21,1120
2015-11-22,1134
2015-11-23,1134
2015-11-24,1091
2015-11-25,1055
2015-11-26,1055
2015-11-27,1027
2015-11-28,1027
2015-11-29,1007
2015-11-30,994
2015-12-01,994
2015-12-02,976
2015-12-03,981
2015-12-04,981
2015-12-05,994
2015-12-06,1034
2015-12-07,1034
2015-12-08,1081
2015-12-09,1103
2015-12-10,1103
2015-12-11,1078
2015-12-12,1078
2015-12-13,1073
2015-12-14,1073
2015-12-15,1077
2015-12-16,1077
2015-12-17,1040
2015-12-18,1031
2015-12-19,1031
2015-12-20,1012
2015-12-21,1012
2015-12-22,1006
2015-12-23,976
2015-12-24,976
2015-12-25,965
2015-12-26,965
2015-12-27,968
2015-12-28,968
2015-12-29,981
2015-12-30,1025
2015-12-31,1025
2016-01-01,1036
2016-01-02,1036
2016-01-03,1021
2016-01-04,1039
2016-01-05,1039
2016-01-06,1056
2016-01-07,1056
2016-01-08,1031
2016-01-09,1031
2016-01-10,1016
2016-01-11,1016
2016-01-12,996
2016-01-13,996
2016-01-14,977
2016-01-15,977
2016-01-16,956
2016-01-17,944
2016-01-18,947
2016-01-19,947
