date_obj,Pearl%20dragon%20bolts price
2018-01-03,950
2018-01-04,950
2018-01-05,950
2018-01-06,950
2018-01-07,950
2018-01-08,950
2018-01-09,950
2018-01-10,950
2018-01-11,950
2018-01-12,950
2018-01-13,950
2018-01-14,950
2018-01-15,950
2018-01-16,950
2018-01-17,950
2018-01-18,950
2018-01-19,950
2018-01-20,950
2018-01-21,950
2018-01-22,950
2018-01-23,950
2018-01-24,933
2018-01-25,933
2018-01-26,933
2018-01-27,933
2018-01-28,933
2018-01-29,933
2018-01-31,933
2018-02-01,933
2018-02-02,933
2018-02-03,900
2018-02-04,900
2018-02-05,900
2018-02-06,900
2018-02-07,900
2018-02-08,900
2018-02-09,900
2018-02-10,900
2018-02-11,900
2018-02-12,900
2018-02-13,900
2018-02-14,900
2018-02-15,900
2018-02-16,900
2018-02-17,900
2018-02-18,900
2018-02-19,900
2018-02-20,900
2018-02-21,909
2018-02-22,909
2018-02-23,909
2018-02-24,909
2018-02-25,909
2018-02-26,909
2018-02-27,909
2018-03-01,909
2018-03-02,909
2018-03-03,909
2018-03-04,909
2018-03-05,946
2018-03-06,946
2018-03-07,946
2018-03-08,946
2018-03-09,946
2018-03-10,946
2018-03-11,946
2018-03-12,946
2018-03-13,946
2018-03-14,946
2018-03-15,946
2018-03-16,946
2018-03-17,946
2018-03-18,946
2018-03-19,946
2018-03-20,946
2018-03-21,987
2018-03-23,987
2018-03-24,987
2018-03-26,987
2018-03-27,987
2018-03-28,987
2018-03-29,987
2018-03-30,987
2018-03-31,987
2018-04-01,987
2018-04-02,987
2018-04-03,987
2018-04-04,987
2018-04-05,987
2018-04-06,987
2018-04-08,987
2018-04-09,1016
2018-04-10,1016
2018-04-11,1016
2018-04-12,1016
2018-04-13,1016
2018-04-14,1016
2018-04-15,1016
2018-04-16,1016
2018-04-17,1016
2018-04-18,1016
2018-04-19,1016
2018-04-20,1016
2018-04-21,1016
2018-04-22,1016
2018-04-23,1016
2018-04-24,1016
2018-04-25,1016
2018-04-26,1016
2018-04-27,1016
2018-04-28,1016
2018-04-29,1016
2018-04-30,1016
2018-05-01,1016
2018-05-02,1016
2018-05-03,1016
2018-05-04,1016
2018-05-05,1056
2018-05-06,1056
2018-05-07,1056
2018-05-08,1056
2018-05-09,1056
2018-05-10,1056
2018-05-11,1056
2018-05-12,1056
2018-05-13,1056
2018-05-14,1056
2018-05-15,1056
2018-05-16,1056
2018-05-17,1056
2018-05-18,1056
2018-05-19,1056
2018-05-20,1056
2018-05-21,1056
2018-05-22,1056
2018-05-23,1056
2018-05-24,1056
2018-05-25,1056
2018-05-26,1056
2018-05-27,1056
2018-05-28,1056
2018-05-29,1056
2018-05-30,1056
2018-05-31,1056
2018-06-01,1099
2018-06-02,1099
2018-06-03,1099
2018-06-04,1099
2018-06-05,1099
2018-06-06,1099
2018-06-07,1099
2018-06-08,1099
2018-06-09,1099
2018-06-10,1099
2018-06-11,1099
2018-06-12,1099
2018-06-13,1099
2018-06-14,1099
2018-06-15,1099
2018-06-16,1099
2018-06-17,1099
2018-06-18,1099
2018-06-19,1099
2018-06-20,1099
2018-06-21,1099
2018-06-22,1147
2018-06-23,1147
2018-06-24,1147
2018-06-25,1147
2018-06-26,1147
2018-06-27,1147
2018-06-28,1147
2018-06-29,1147
2018-06-30,1147
2018-07-01,1147
2018-07-02,1147
2018-07-03,1147
2018-07-04,1147
2018-07-05,1147
2018-07-06,1147
2018-07-07,1147
2018-07-08,1147
2018-07-09,1147
2018-07-10,1198
2018-07-11,1198
2018-07-12,1198
2018-07-13,1198
2018-07-14,1198
2018-07-15,1198
2018-07-16,1198
2018-07-17,1198
2018-07-18,1198
2018-07-19,1198
2018-07-20,1198
2018-07-21,1198
2018-07-22,1198
2018-07-23,1198
2018-07-24,1198
2018-07-25,1198
2018-07-26,1198
2018-07-27,1198
2018-07-28,1198
2018-07-29,1198
2018-07-30,1198
2018-07-31,1198
2018-08-01,1198
2018-08-02,1198
2018-08-03,1198
2018-08-04,1198
2018-08-05,1198
2018-08-06,1198
2018-08-07,1198
2018-08-08,1198
2018-08-09,1198
2018-08-10,1198
2018-08-11,1198
2018-08-12,1198
2018-08-14,1198
2018-08-16,1198
2018-08-17,1198
2018-08-18,1198
2018-08-19,1198
2018-08-20,1198
2018-08-21,1198
2018-08-22,1250
2018-08-23,1250
2018-08-24,1250
2018-08-25,1250
2018-08-26,1250
2018-08-27,1250
