date_obj,Yellow%20dye price
2015-03-26,2259
2015-03-27,2147
2015-03-28,2039
2015-03-29,1949
2015-03-30,1856
2015-03-31,1763
2015-04-01,1674
2015-04-02,1590
2015-04-03,1510
2015-04-04,1434
2015-04-05,1362
2015-04-06,1293
2015-04-07,1228
2015-04-08,1166
2015-04-09,1107
2015-04-10,1051
2015-04-11,998
2015-04-12,948
2015-04-13,900
2015-04-14,855
2015-04-15,833
2015-04-16,797
2015-04-17,771
2015-04-18,732
2015-04-19,695
2015-04-20,677
2015-04-21,656
2015-04-22,651
2015-04-23,647
2015-04-24,637
2015-04-25,633
2015-04-26,637
2015-04-27,626
2015-04-28,624
2015-04-29,624
2015-04-30,607
2015-05-01,591
2015-05-02,565
2015-05-03,536
2015-05-04,529
2015-05-05,523
2015-05-06,522
2015-05-07,530
2015-05-08,530
2015-05-09,522
2015-05-10,516
2015-05-11,525
2015-05-12,509
2015-05-13,483
2015-05-14,458
2015-05-15,442
2015-05-16,448
2015-05-17,450
2015-05-18,454
2015-05-19,462
2015-05-20,461
2015-05-21,466
2015-05-22,471
2015-05-23,482
2015-05-24,499
2015-05-25,519
2015-05-26,537
2015-05-27,557
2015-05-28,563
2015-05-29,568
2015-05-30,555
2015-05-31,567
2015-06-01,542
2015-06-02,514
2015-06-03,497
2015-06-04,498
2015-06-05,487
2015-06-06,493
2015-06-07,495
2015-06-08,498
2015-06-09,502
2015-06-10,510
2015-06-11,515
2015-06-12,526
2015-06-13,522
2015-06-14,512
2015-06-15,494
2015-06-16,491
2015-06-17,510
2015-06-18,518
2015-06-19,534
2015-06-20,550
2015-06-21,566
2015-06-22,582
2015-06-23,604
2015-06-24,617
2015-06-25,619
2015-06-26,639
2015-06-27,641
2015-06-28,641
2015-06-29,662
2015-06-30,676
2015-07-01,695
2015-07-02,667
2015-07-03,681
2015-07-04,704
2015-07-05,727
2015-07-06,724
2015-07-07,717
2015-07-08,699
2015-07-09,693
2015-07-10,684
2015-07-11,649
2015-07-12,616
2015-07-13,591
2015-07-14,603
2015-07-15,591
2015-07-16,575
2015-07-17,548
2015-07-18,526
2015-07-19,502
2015-07-20,508
2015-07-21,500
2015-07-22,492
2015-07-23,467
2015-07-24,446
2015-07-25,452
2015-07-26,465
2015-07-27,463
2015-07-28,460
2015-07-29,459
2015-07-30,469
2015-07-31,493
2015-08-01,507
2015-08-02,510
2015-08-03,489
2015-08-04,470
2015-08-05,461
2015-08-06,456
2015-08-07,461
2015-08-08,440
2015-08-09,436
2015-08-10,445
2015-08-11,446
2015-08-12,458
2015-08-13,452
2015-08-14,430
2015-08-15,424
2015-08-16,427
2015-08-17,433
2015-08-18,437
2015-08-19,440
2015-08-20,431
2015-08-21,409
2015-08-22,423
2015-08-23,415
2015-08-24,404
2015-08-25,420
2015-08-26,431
2015-08-27,440
2015-08-28,449
2015-08-29,426
2015-08-30,404
2015-08-31,404
2015-09-01,401
2015-09-02,397
2015-09-03,405
2015-09-04,411
2015-09-05,424
2015-09-06,443
2015-09-07,453
2015-09-08,469
2015-09-09,478
2015-09-10,495
2015-09-11,493
2015-09-12,501
2015-09-13,502
2015-09-14,514
2015-09-15,504
2015-09-16,488
2015-09-17,483
2015-09-18,503
2015-09-19,517
2015-09-20,533
2015-09-21,537
2015-09-22,534
2015-09-23,525
2015-09-24,540
2015-09-25,562
2015-09-27,549
2015-09-28,548
2015-09-29,533
2015-09-30,538
2015-10-05,486
2015-10-06,465
2015-10-07,442
2015-10-08,434
2015-10-09,430
2015-10-10,431
2015-10-11,427
2015-10-12,407
2015-10-13,386
2015-10-14,384
2015-10-15,368
2015-10-16,356
2015-10-17,358
2015-10-18,357
2015-10-19,352
2015-10-20,352
2015-10-22,356
2015-10-23,356
2015-10-24,367
2015-10-25,371
2015-10-26,376
2015-10-27,384
2015-10-29,414
2015-10-30,424
2015-10-31,435
2015-11-01,457
2015-11-02,480
2015-11-03,504
2015-11-05,542
2015-11-06,540
2015-11-07,544
2015-11-08,562
2015-11-09,563
2015-11-10,535
2015-11-11,511
2015-11-12,495
2015-11-13,489
2015-11-14,482
2015-11-15,470
2015-11-16,446
2015-11-17,435
2015-11-18,437
2015-11-19,451
2015-11-20,456
2015-11-21,458
2015-11-22,463
2015-11-23,463
2015-11-24,473
2015-11-25,484
2015-11-26,491
2015-11-27,500
2015-11-28,511
2015-11-29,526
2015-11-30,519
2015-12-01,535
2015-12-02,556
2015-12-03,572
2015-12-04,562
2015-12-05,563
2015-12-06,568
2015-12-07,563
2015-12-08,571
2015-12-09,587
2015-12-10,608
2015-12-11,623
2015-12-13,618
2015-12-14,589
2015-12-15,582
2015-12-16,576
2015-12-17,562
2015-12-18,569
2015-12-19,572
2015-12-20,574
2015-12-21,576
2015-12-22,595
2015-12-23,616
2015-12-24,616
2015-12-25,593
2015-12-26,564
2015-12-27,535
2015-12-28,508
2015-12-29,482
2015-12-30,457
2015-12-31,434
2016-01-01,412
2016-01-02,391
2016-01-03,371
2016-01-04,352
2016-01-05,334
2016-01-06,317
2016-01-07,301
2016-01-08,285
2016-01-09,272
2016-01-10,262
2016-01-11,260
2016-01-12,248
2016-01-13,235
2016-01-14,223
2016-01-15,211
2016-01-16,213
2016-01-17,215
2016-01-18,221
2016-01-19,230
2016-01-20,230
2016-01-21,235
2016-01-22,241
2016-01-23,251
2016-01-24,262
2016-01-25,271
2016-01-26,277
2016-01-27,282
2016-01-28,287
2016-01-29,292
2016-01-30,292
2016-01-31,298
2016-02-01,306
2016-02-02,310
2016-02-03,306
2016-02-04,290
2016-02-05,275
2016-02-06,261
2016-02-07,269
2016-02-08,276
2016-02-09,288
2016-02-10,302
2016-02-11,317
2016-02-12,327
2016-02-13,341
2016-02-14,359
2016-02-15,376
2016-02-16,381
2016-02-17,401
2016-02-18,422
2016-02-19,444
2016-02-20,467
2016-02-21,489
2016-02-22,506
2016-02-23,523
2016-02-24,541
2016-02-25,556
2016-02-26,582
2016-02-27,592
2016-02-28,614
2016-02-29,597
2016-03-01,580
2016-03-02,551
2016-03-03,523
2016-03-04,497
2016-03-05,500
2016-03-06,506
2016-03-07,516
2016-03-08,531
2016-03-09,550
2016-03-10,570
2016-03-11,589
2016-03-12,611
2016-03-13,619
2016-03-14,634
2016-03-15,615
2016-03-16,589
2016-03-17,559
2016-03-18,531
2016-03-19,504
2016-03-20,478
2016-03-21,454
2016-03-22,431
2016-03-23,409
2016-03-24,388
2016-03-25,368
2016-03-26,349
2016-03-27,331
2016-03-28,314
2016-03-29,298
2016-03-30,283
2016-03-31,268
2016-04-01,254
2016-04-02,246
2016-04-03,235
2016-04-04,228
2016-04-05,235
2016-04-06,237
2016-04-07,245
2016-04-08,247
2016-04-09,245
2016-04-10,239
2016-04-11,232
2016-04-12,240
2016-04-13,251
2016-04-14,264
2016-04-15,277
2016-04-16,284
2016-04-17,286
2016-04-18,301
2016-04-19,314
2016-04-20,326
2016-04-21,329
2016-04-22,329
2016-04-23,333
2016-04-24,341
2016-04-25,359
2016-04-26,365
2016-04-27,372
2016-04-28,391
2016-04-29,409
2016-04-30,428
2016-05-01,447
2016-05-02,461
2016-05-03,483
2016-05-04,505
2016-05-05,527
2016-05-06,545
2016-05-07,558
2016-05-08,581
2016-05-09,586
2016-05-10,614
2016-05-11,631
2016-05-12,639
2016-05-13,642
2016-05-14,633
2016-05-15,632
2016-05-16,610
2016-05-17,586
2016-05-18,567
2016-05-19,538
2016-05-22,479
2016-05-23,477
2016-05-24,480
2016-05-25,489
2016-05-26,499
2016-05-27,517
2016-05-28,535
2016-05-29,552
2016-05-30,573
2016-05-31,593
2016-06-01,612
2016-06-02,610
2016-06-03,606
2016-06-04,602
2016-06-05,626
2016-06-06,598
2016-06-07,602
2016-06-08,583
2016-06-09,580
2016-06-10,606
2016-06-11,622
2016-06-12,620
2016-06-13,594
2016-06-14,578
2016-06-15,552
2016-06-16,539
2016-06-17,541
2016-06-18,534
2016-06-19,511
2016-06-20,515
2016-06-21,525
2016-06-22,532
2016-06-23,551
2016-06-24,579
2016-06-25,603
2016-06-26,623
2016-06-27,624
2016-06-28,613
2016-06-29,602
2016-06-30,588
2016-07-01,584
2016-07-02,575
2016-07-03,579
2016-07-04,587
2016-07-05,596
2016-07-06,605
2016-07-07,616
2016-07-08,619
2016-07-09,607
2016-07-10,598
2016-07-11,608
2016-07-12,600
2016-07-13,607
2016-07-14,591
2016-07-15,589
2016-07-16,567
2016-07-17,583
2016-07-18,598
2016-07-24,641
2016-07-25,646
2016-07-26,614
2016-07-27,603
2016-07-28,584
2016-07-29,554
2016-07-30,526
2016-07-31,499
2016-08-01,492
2016-08-02,489
2016-08-03,483
2016-08-04,490
2016-08-05,481
2016-08-06,494
2016-08-07,511
2016-08-08,512
2016-08-09,537
2016-08-10,555
2016-08-11,583
2016-08-12,613
2016-08-13,632
2016-08-14,643
2016-08-15,622
2016-08-16,631
2016-08-17,610
2016-08-18,597
2016-08-19,610
2016-08-20,621
2016-08-21,639
2016-08-22,631
2016-08-23,619
2016-08-24,622
2016-08-25,623
2016-08-26,643
2016-08-28,641
2016-08-31,580
2016-09-01,599
2016-09-02,611
2016-09-03,601
2016-09-04,593
2016-09-05,574
2016-09-06,563
2016-09-07,580
2016-09-08,585
2016-09-09,569
2016-09-10,590
2016-09-11,604
2016-09-12,606
2016-09-13,577
2016-09-14,548
2016-09-15,520
2016-09-16,512
2016-09-17,518
2016-09-18,517
2016-09-19,521
2016-09-20,522
2016-09-21,545
2016-09-22,566
2016-09-23,575
2016-09-24,571
2016-09-25,597
2016-09-26,623
2016-09-27,630
2016-09-28,642
2016-09-29,648
2016-09-30,652
2016-10-01,656
2016-10-02,651
2016-10-03,671
2016-10-04,674
2016-10-05,645
2016-10-06,622
2016-10-07,624
2016-10-08,628
2016-10-09,647
2016-10-10,656
2016-10-11,663
2016-10-12,677
2016-10-13,678
2016-10-14,680
2016-10-15,677
2016-10-16,659
2016-10-17,632
2016-10-18,615
2016-10-19,613
2016-10-20,628
2016-10-21,624
2016-10-22,630
2016-10-23,642
2016-10-24,635
2016-10-25,615
2016-10-26,637
2016-10-27,632
2016-10-28,638
2016-10-29,670
2016-10-30,697
2016-10-31,712
2016-11-01,677
2016-11-02,658
2016-11-03,625
2016-11-04,593
2016-11-05,582
2016-11-06,575
2016-11-07,587
2016-11-08,581
2016-11-09,552
2016-11-10,541
2016-11-11,532
2016-11-12,506
2016-11-13,480
2016-11-14,456
2016-12-08,548
2016-12-09,522
2016-12-10,532
2016-12-11,546
2016-12-12,533
2016-12-13,510
2016-12-14,499
2016-12-15,474
2016-12-16,452
2016-12-17,451
2016-12-18,466
2016-12-19,489
2016-12-20,511
2016-12-21,521
2016-12-22,540
2016-12-23,542
2016-12-24,544
2016-12-25,526
2016-12-26,519
2016-12-27,496
2016-12-28,516
2016-12-29,507
2016-12-30,486
2016-12-31,461
2017-01-01,437
2017-01-02,429
2017-01-03,444
2017-01-04,453
2017-01-05,449
2017-01-06,456
2017-01-07,467
2017-01-08,452
