date_obj,Green%20elegant%20shirt price
2015-03-26,79352
2015-03-27,79352
2015-03-28,79352
2015-03-29,79074
2015-03-30,79074
2015-03-31,79669
2015-04-01,79669
2015-04-02,79539
2015-04-03,79539
2015-04-04,79502
2015-04-05,79502
2015-04-06,79976
2015-04-07,79976
2015-04-08,80097
2015-04-09,80097
2015-04-10,81047
2015-04-11,81047
2015-04-12,81454
2015-04-13,81454
2015-04-14,81714
2015-04-15,81714
2015-04-16,81960
2015-04-17,81960
2015-04-18,81922
2015-04-19,81922
2015-04-20,81480
2015-04-21,81480
2015-04-22,80873
2015-04-23,80873
2015-04-24,78588
2015-04-25,78588
2015-04-26,78780
2015-04-27,78780
2015-04-28,75640
2015-04-29,75640
2015-04-30,75604
2015-05-01,75604
2015-05-02,77591
2015-05-03,77591
2015-05-04,77516
2015-05-05,77516
2015-05-06,76677
2015-05-07,76677
2015-05-08,76364
2015-05-09,76364
2015-05-10,74658
2015-05-11,74658
2015-05-12,72815
2015-05-13,72815
2015-05-14,71885
2015-05-15,71885
2015-05-16,71885
2015-05-17,70028
2015-05-18,70028
2015-05-19,68794
2015-05-20,68794
2015-05-21,68794
2015-05-22,68114
2015-05-23,68114
2015-05-24,66346
2015-05-25,66346
2015-05-26,64024
2015-05-27,64024
2015-05-28,63749
2015-05-29,63749
2015-05-30,63041
2015-05-31,63041
2015-06-01,62794
2015-06-02,62794
2015-06-03,62794
2015-06-04,64381
2015-06-05,64381
2015-06-06,65521
2015-06-07,65521
2015-06-08,65616
2015-06-09,65616
2015-06-10,66740
2015-06-11,66740
2015-06-12,66740
2015-06-13,68069
2015-06-14,68069
2015-06-15,68069
2015-06-16,69621
2015-06-17,69621
2015-06-18,69621
2015-06-19,70748
2015-06-20,70748
2015-06-21,70905
2015-06-22,70905
2015-06-23,70905
2015-06-24,71278
2015-06-25,71278
2015-06-26,71278
2015-06-27,72306
2015-06-28,72306
2015-06-29,73250
2015-06-30,73250
2015-07-01,73805
2015-07-02,73805
2015-07-03,73805
2015-07-04,74397
2015-07-05,74397
2015-07-06,74397
2015-07-07,73285
2015-07-08,73285
2015-07-09,73285
2015-07-10,73757
2015-07-11,73757
2015-07-12,73757
2015-07-13,77262
2015-07-14,77262
2015-07-15,78481
2015-07-16,78481
2015-07-17,78481
2015-07-18,77858
2015-07-19,77858
2015-07-20,77865
2015-07-21,77865
2015-07-22,80594
2015-07-23,80594
2015-07-24,83985
2015-07-25,83985
2015-07-26,83985
2015-07-27,87281
2015-07-28,87281
2015-07-29,89239
2015-07-30,89239
2015-07-31,89239
2015-08-01,89801
2015-08-02,89801
2015-08-03,90746
2015-08-04,90746
2015-08-05,89242
2015-08-06,89242
2015-08-07,88919
2015-08-08,88919
2015-08-09,90270
2015-08-10,90270
2015-08-11,93615
2015-08-12,93615
2015-08-13,93615
2015-08-14,96824
2015-08-15,96824
2015-08-16,96824
2015-08-17,101131
2015-08-18,101131
2015-08-19,101131
2015-08-20,105050
2015-08-21,105050
2015-08-22,109180
2015-08-23,109180
2015-08-24,109180
2015-08-25,111364
2015-08-26,111364
2015-08-27,115992
2015-08-28,115992
2015-08-29,115992
2015-08-30,118465
2015-08-31,118465
2015-09-01,122238
2015-09-02,122238
2015-09-03,122238
2015-09-04,127639
2015-09-05,127639
2015-09-06,127639
2015-09-07,132312
2015-09-08,132312
2015-09-09,137997
2015-09-10,137997
2015-09-11,142312
2015-09-12,142312
2015-09-13,144963
2015-09-14,144963
2015-09-15,144963
2015-09-16,151138
2015-09-17,151138
2015-09-18,151138
2015-09-19,155187
2015-09-20,155187
2015-09-21,155187
2015-09-22,158955
2015-09-23,158955
2015-09-24,158955
2015-09-25,158955
2015-09-27,164507
2015-09-28,164507
2015-09-29,162838
2015-09-30,162838
2015-10-05,165336
2015-10-06,165336
2015-10-07,165336
2015-10-08,166246
2015-10-09,166246
2015-10-10,166246
2015-10-11,165866
2015-10-12,165866
2015-10-13,165866
2015-10-14,165981
2015-10-15,165981
2015-10-16,163076
2015-10-17,163076
2015-10-18,163076
2015-10-19,163076
2015-10-20,164262
2015-10-22,164262
2015-10-23,164126
2015-10-24,164126
2015-10-25,164126
2015-10-26,165245
2015-10-27,165245
2015-10-29,164417
2015-10-30,164417
2015-10-31,164417
2015-11-01,163580
2015-11-02,163580
2015-11-03,163580
2015-11-04,162112
2015-11-05,162112
2015-11-06,162112
2015-11-07,156023
2015-11-08,156023
2015-11-09,156023
2015-11-10,156023
2015-11-11,151676
2015-11-12,151676
2015-11-13,151676
2015-11-14,149646
2015-11-15,149646
2015-11-16,149646
2015-11-17,148575
2015-11-18,148575
2015-11-19,148575
2015-11-20,143274
2015-11-21,143274
2015-11-22,143436
2015-11-23,143436
2015-11-24,143436
2015-11-25,136821
2015-11-26,136821
2015-11-27,136821
2015-11-28,130446
2015-11-29,130446
2015-11-30,130224
2015-12-01,130224
2015-12-02,130224
2015-12-03,128188
2015-12-04,128188
2015-12-05,128188
2015-12-06,127469
2015-12-07,127469
2015-12-08,127469
2015-12-09,125251
2015-12-10,125251
2015-12-11,125251
2015-12-12,123531
2015-12-13,123531
2015-12-14,121693
2015-12-15,121693
2015-12-16,120099
2015-12-17,120099
2015-12-18,120099
2015-12-19,119389
2015-12-20,119389
2015-12-21,121564
2015-12-22,121564
2015-12-23,121564
2015-12-24,125194
2015-12-25,125194
2015-12-26,125194
2015-12-27,127387
2015-12-28,127387
2015-12-29,129326
2015-12-30,129326
2015-12-31,129326
2016-01-01,125304
2016-01-02,125304
2016-01-03,123542
2016-01-04,123542
2016-01-05,123542
2016-01-06,121994
2016-01-07,121994
2016-01-08,121994
2016-01-09,117768
2016-01-10,117768
2016-01-11,117768
2016-01-12,111879
2016-01-13,111879
2016-01-14,107663
2016-01-15,107663
2016-01-16,107663
2016-01-17,103811
2016-01-18,103811
2016-01-19,103811
2016-01-20,101486
2016-01-21,101486
2016-01-22,101486
2016-01-23,99166
2016-01-24,99166
2016-01-25,98203
2016-01-26,98203
2016-01-27,98307
2016-01-28,98307
2016-01-29,100007
2016-01-30,100007
2016-01-31,100007
2016-02-01,99959
2016-02-02,99959
2016-02-03,99959
2016-02-04,100399
2016-02-05,100399
2016-02-06,100399
2016-02-07,103661
2016-02-08,103661
2016-02-09,103661
2016-02-10,106329
2016-02-11,106329
2016-02-12,106329
2016-02-13,107644
2016-02-14,107644
2016-02-15,107644
2016-02-16,112471
2016-02-17,112471
2016-02-18,112471
2016-02-19,115300
2016-02-20,115300
2016-02-21,115153
2016-02-22,115153
2016-02-23,115153
2016-02-24,116618
2016-02-25,116618
2016-02-26,116618
2016-02-27,117160
2016-02-28,117160
2016-02-29,117160
2016-03-01,116559
2016-03-02,116559
2016-03-03,116559
2016-03-04,113808
2016-03-05,113808
2016-03-06,113901
2016-03-07,113901
2016-03-08,113901
2016-03-09,110015
2016-03-10,110015
2016-03-11,105399
2016-03-12,105399
2016-03-13,102307
2016-03-14,102307
2016-03-15,99831
2016-03-16,99831
2016-03-17,97674
2016-03-18,97674
2016-03-19,96415
2016-03-20,96415
2016-03-21,96463
2016-03-22,96463
2016-03-23,95947
2016-03-24,95947
2016-03-25,95947
2016-03-26,97234
2016-03-27,97234
2016-03-28,97636
2016-03-29,97636
2016-03-30,97636
2016-03-31,101455
2016-04-01,104502
2016-04-02,108814
2016-04-03,113431
2016-04-04,113431
2016-04-05,117612
2016-04-06,117612
2016-04-07,121594
2016-04-08,121594
2016-04-09,125520
2016-04-10,125520
2016-04-11,125520
2016-04-12,122200
2016-04-13,122200
2016-04-14,117201
2016-04-15,117201
2016-04-16,115250
2016-04-17,115250
2016-04-18,115894
2016-04-19,115894
2016-04-20,116640
2016-04-21,116640
2016-04-22,116640
2016-04-23,115755
2016-04-24,115755
2016-04-25,113953
2016-04-26,113953
2016-04-27,113953
2016-04-28,114031
2016-04-29,114031
2016-04-30,114031
2016-05-01,112538
2016-05-02,112538
2016-05-03,110044
2016-05-04,110044
2016-05-05,110044
2016-05-06,107493
2016-05-07,107493
2016-05-08,107493
2016-05-09,104833
2016-05-10,104833
2016-05-11,104833
2016-05-12,99700
2016-05-13,99700
2016-05-14,95145
2016-05-15,95145
2016-05-16,95145
2016-05-17,90582
2016-05-18,90582
2016-05-19,87492
2016-05-22,87037
2016-05-23,86798
2016-05-24,86798
2016-05-25,86798
2016-05-26,84283
2016-05-27,84283
2016-05-28,84283
2016-05-29,84236
2016-05-30,84236
2016-05-31,84236
2016-06-01,85959
2016-06-02,85959
2016-06-03,85959
2016-06-04,89013
2016-06-05,89013
2016-06-06,92466
2016-06-07,92466
2016-06-08,92466
2016-06-09,94900
2016-06-10,94900
2016-06-11,94900
2016-06-12,94601
2016-06-13,94601
2016-06-14,95814
2016-06-15,95814
2016-06-16,95814
2016-06-17,95517
2016-06-18,95517
2016-06-19,95517
2016-06-20,95052
2016-06-21,95052
2016-06-22,97000
2016-06-23,97000
2016-06-24,97000
2016-06-25,95927
2016-06-26,95927
2016-06-27,95927
2016-06-28,93541
2016-06-29,93541
2016-06-30,91437
2016-07-01,91437
2016-07-02,91437
2016-07-03,90567
2016-07-04,90567
2016-07-05,90700
2016-07-06,90700
2016-07-07,86837
2016-07-08,86837
2016-07-09,84630
2016-07-10,84630
2016-07-11,82710
2016-07-12,82710
2016-07-13,82710
2016-07-14,78703
2016-07-15,78703
2016-07-16,74782
2016-07-17,74782
2016-07-18,71042
2016-07-23,64114
2016-07-24,64114
2016-07-25,60908
2016-07-26,60908
2016-07-27,60908
2016-07-28,57862
2016-07-29,57862
2016-07-30,54968
2016-07-31,54968
2016-08-01,54968
2016-08-02,52279
2016-08-03,52279
2016-08-04,52279
2016-08-05,49665
2016-08-06,49665
2016-08-07,47436
2016-08-08,47436
2016-08-09,47436
2016-08-10,45283
2016-08-11,45283
2016-08-12,45283
2016-08-13,45283
2016-08-14,43018
2016-08-15,43018
2016-08-16,40947
2016-08-17,40947
2016-08-18,40947
2016-08-19,38899
2016-08-20,38899
2016-08-21,38899
2016-08-22,37522
2016-08-23,37522
2016-08-24,37522
2016-08-25,36477
2016-08-26,36477
2016-08-28,37047
2016-08-31,38509
2016-09-01,38509
2016-09-02,38509
2016-09-03,40079
2016-09-04,40079
2016-09-05,40079
