date_obj,Efaritay's%20aid price
2017-02-01,2000
2017-02-02,1925
2017-02-03,1925
2017-02-04,1925
2017-02-05,1925
2017-02-06,1925
2017-02-07,1925
2017-02-08,1925
2017-02-09,1830
2017-02-10,1830
2017-02-11,1830
2017-02-12,1830
2017-02-13,1830
2017-02-14,1830
2017-02-15,1830
2017-02-16,1830
2017-02-18,1830
2017-02-19,1745
2017-02-20,1745
2017-02-21,1745
2017-02-22,1745
2017-02-23,1745
2017-02-24,1745
2017-02-25,1745
2017-02-26,1745
2017-02-27,1745
2017-02-28,1745
2017-03-01,1745
2017-03-02,1745
2017-03-03,1745
2017-03-04,1675
2017-03-05,1675
2017-03-06,1675
2017-03-07,1675
2017-03-08,1675
2017-03-09,1675
2017-03-10,1675
2017-03-11,1675
2017-03-12,1601
2017-03-13,1601
2017-03-14,1601
2017-03-15,1601
2017-03-16,1601
2017-03-17,1601
2017-03-18,1601
2017-03-19,1585
2017-03-20,1585
2017-03-21,1585
2017-03-22,1585
2017-03-23,1585
2017-03-24,1585
2017-03-25,1585
2017-03-26,1585
2017-03-27,1566
2017-03-28,1566
2017-03-29,1566
2017-03-30,1566
2017-03-31,1566
2017-04-01,1566
2017-04-02,1566
2017-04-03,1566
2017-04-04,1503
2017-04-12,1503
2017-04-13,1451
2017-04-14,1451
2017-04-15,1451
2017-04-16,1451
2017-04-17,1451
2017-04-18,1451
2017-04-19,1451
2017-04-20,1451
2017-04-21,1423
2017-04-22,1423
2017-04-23,1423
2017-04-24,1423
2017-04-25,1423
2017-04-26,1423
2017-04-27,1423
2017-04-28,1423
2017-04-29,1389
2017-04-30,1389
2017-05-01,1389
2017-05-02,1389
2017-05-03,1389
2017-05-04,1389
2017-05-05,1389
2017-05-06,1389
2017-05-07,1429
2017-05-08,1429
2017-05-09,1429
2017-05-10,1429
2017-05-11,1429
2017-05-12,1429
2017-05-13,1429
2017-05-14,1429
2017-05-15,1429
2017-05-16,1390
2017-05-17,1390
2017-05-18,1390
2017-05-19,1390
2017-05-20,1390
2017-05-21,1390
2017-05-22,1390
2017-05-23,1390
2017-05-24,1390
2017-05-25,1387
2017-05-26,1387
2017-05-27,1387
2017-05-28,1387
2017-05-29,1387
2017-05-30,1387
2017-05-31,1387
2017-06-01,1387
2017-06-02,1361
2017-06-03,1361
2017-06-04,1361
2017-06-05,1361
2017-06-06,1361
2017-06-07,1361
2017-06-08,1361
2017-06-09,1361
2017-06-10,1371
2017-06-11,1371
2017-06-12,1371
2017-06-13,1371
2017-06-14,1371
2017-06-15,1371
2017-06-16,1371
2017-06-17,1371
2017-06-18,1354
2017-06-19,1354
2017-06-20,1354
2017-06-21,1354
2017-06-22,1354
2017-06-23,1354
2017-06-24,1354
2017-06-25,1354
2017-06-26,1341
2017-06-27,1341
2017-06-28,1341
2017-06-29,1341
2017-06-30,1341
2017-07-01,1341
2017-07-02,1341
2017-07-03,1337
2017-07-04,1337
2017-07-05,1337
2017-07-06,1337
2017-07-07,1337
2017-07-08,1337
2017-07-13,1295
2017-07-14,1295
2017-07-15,1295
2017-07-16,1324
2017-07-17,1324
2017-07-18,1324
2017-07-19,1324
2017-07-20,1324
2017-07-21,1324
2017-07-22,1350
2017-07-23,1350
2017-07-24,1350
2017-07-25,1350
2017-07-26,1350
2017-07-27,1350
2017-07-28,1350
2017-07-29,1354
2017-07-30,1354
2017-07-31,1354
2017-08-01,1354
2017-08-02,1354
2017-08-03,1354
2017-08-04,1354
2017-08-05,1399
2017-08-06,1399
2017-08-09,1399
2017-08-10,1399
2017-08-11,1399
2017-08-12,1436
2017-08-13,1436
2017-08-14,1436
2017-08-15,1436
2017-08-16,1436
2017-08-17,1436
2017-08-18,1436
2017-08-19,1470
2017-08-20,1470
2017-08-21,1470
2017-08-22,1470
2017-08-23,1470
2017-08-24,1470
2017-08-25,1470
2017-08-26,1536
2017-08-27,1536
2017-08-28,1536
2017-08-29,1536
2017-08-30,1536
2017-08-31,1536
2017-09-01,1536
2017-09-03,1613
2017-09-04,1613
2017-09-05,1613
2017-09-06,1613
2017-09-07,1613
2017-09-08,1613
2017-09-09,1634
2017-09-10,1634
2017-09-11,1634
2017-09-12,1634
2017-09-13,1634
2017-09-14,1634
2017-09-15,1634
2017-09-16,1634
2017-09-17,1610
2017-09-18,1610
2017-09-19,1610
2017-09-20,1610
2017-09-21,1610
2017-09-22,1610
2017-09-23,1610
2017-09-24,1610
2017-09-25,1646
2017-09-26,1646
2017-09-27,1646
2017-09-28,1646
2017-09-29,1646
2017-09-30,1646
2017-10-01,1646
2017-10-02,1646
2017-10-03,1646
2017-10-04,1643
2017-10-05,1643
2017-10-06,1643
2017-10-07,1643
2017-10-08,1643
2017-10-09,1643
2017-10-10,1643
2017-10-11,1643
2017-10-12,1718
2017-10-13,1718
2017-10-14,1718
2017-10-15,1718
2017-10-16,1718
2017-10-17,1718
2017-10-18,1718
2017-10-19,1757
2017-10-20,1757
2017-10-21,1757
2017-10-22,1757
2017-10-23,1757
2017-10-24,1757
2017-10-25,1757
2017-10-26,1779
2017-10-27,1779
2017-10-28,1779
2017-10-29,1779
2017-10-30,1779
2017-10-31,1779
2017-11-01,1779
2017-11-02,1779
2017-11-03,1789
2017-11-04,1789
2017-11-05,1789
2017-11-06,1789
2017-11-07,1789
2017-11-08,1789
2017-11-09,1789
2017-11-10,1789
2017-11-11,1858
2017-11-12,1858
2017-11-13,1858
2017-11-14,1858
2017-11-15,1858
2017-11-16,1858
2017-11-17,1858
2017-11-18,1945
2017-11-19,1945
2017-11-20,1945
2017-11-21,1945
2017-11-22,1945
2017-11-23,1945
2017-11-24,1945
2017-11-25,2034
2017-11-26,2034
2017-11-27,2034
2017-11-28,2034
2017-11-29,2034
2017-11-30,2034
2017-12-01,2034
2017-12-02,2034
2017-12-03,2127
2017-12-04,2127
2017-12-05,2127
2017-12-06,2127
2017-12-07,2127
2017-12-08,2127
2017-12-09,2127
2017-12-10,2224
2017-12-11,2224
2017-12-12,2224
2017-12-13,2224
2017-12-14,2224
2017-12-15,2224
2017-12-16,2224
2017-12-17,2224
2017-12-18,2263
2017-12-19,2263
2017-12-20,2263
2017-12-21,2263
2017-12-22,2263
2017-12-23,2263
2017-12-24,2263
2017-12-25,2263
2017-12-26,2304
2017-12-27,2304
2017-12-28,2304
2017-12-29,2304
2017-12-30,2304
2017-12-31,2304
2018-01-01,2324
2018-01-02,2324
2018-01-03,2324
2018-01-04,2324
2018-01-05,2324
2018-01-06,2324
2018-01-07,2292
2018-01-08,2292
2018-01-09,2292
2018-01-10,2292
2018-01-11,2292
2018-01-12,2292
2018-01-13,2215
2018-01-14,2215
2018-01-15,2215
2018-01-16,2215
2018-01-17,2215
2018-01-18,2215
2018-01-19,2224
2018-01-20,2224
2018-01-21,2224
2018-01-22,2224
2018-01-23,2224
2018-01-25,2315
2018-01-26,2315
2018-01-27,2315
2018-01-28,2424
2018-01-29,2424
2018-01-30,2424
2018-01-31,2424
2018-02-01,2546
2018-02-02,2546
2018-02-03,2546
2018-02-04,2546
2018-02-05,2674
2018-02-06,2674
2018-02-07,2674
2018-02-08,2674
2018-02-09,2808
2018-02-10,2808
2018-02-11,2808
2018-02-12,2808
2018-02-13,2875
2018-02-14,2875
2018-02-15,2875
2018-02-16,2875
2018-02-17,2935
2018-02-18,2935
2018-02-19,2935
2018-02-20,3068
2018-02-21,3068
2018-02-22,3068
2018-02-23,3068
2018-02-24,3221
2018-02-25,3221
2018-02-26,3221
2018-02-27,3301
2018-02-28,3301
2018-03-01,3301
2018-03-02,3301
2018-03-03,3467
2018-03-04,3467
2018-03-05,3467
2018-03-06,3467
2018-03-07,3641
2018-03-09,3641
2018-03-10,3641
2018-03-11,3824
2018-03-12,3824
2018-03-13,3824
2018-03-14,3824
2018-03-15,4016
2018-03-16,4016
2018-03-17,4016
2018-03-18,4016
2018-03-20,4217
2018-03-21,4217
2018-03-23,4260
2018-03-24,4260
2018-03-25,4055
2018-03-26,4055
2018-03-27,4055
2018-03-28,4055
2018-03-29,3902
2018-03-30,3902
2018-03-31,3902
2018-04-01,3902
2018-04-02,3751
2018-04-03,3751
2018-04-04,3751
2018-04-05,3751
2018-04-06,3767
2018-04-07,3767
2018-04-08,3767
2018-04-09,3767
2018-04-10,3767
2018-04-11,3913
2018-04-12,3913
2018-04-13,3913
2018-04-14,3913
2018-04-15,4043
2018-04-16,4043
2018-04-17,4043
2018-04-18,4043
2018-04-19,4043
2018-04-20,4037
2018-04-21,4037
2018-04-22,4037
2018-04-23,4037
2018-04-24,4037
2018-04-25,4089
2018-04-26,4089
2018-04-27,4089
2018-04-28,4089
2018-04-29,4089
2018-04-30,4140
2018-05-01,4140
2018-05-03,4140
2018-05-04,4140
2018-05-05,4242
2018-05-07,4242
2018-05-08,4242
2018-05-09,4283
2018-05-10,4283
2018-05-11,4283
2018-05-12,4498
2018-05-13,4498
2018-05-14,4498
2018-05-15,4498
2018-05-16,4723
2018-05-17,4723
2018-05-18,4723
2018-05-19,4955
2018-05-20,4955
2018-05-21,4955
2018-05-22,4955
2018-05-23,5114
2018-05-24,5114
2018-05-25,5114
2018-05-26,5258
2018-05-27,5258
2018-05-28,5258
2018-05-29,5096
2018-05-30,5096
2018-05-31,5096
2018-06-01,4841
2018-06-02,4841
2018-06-03,4600
2018-06-04,4600
2018-06-05,4370
2018-06-06,4370
2018-06-07,4351
2018-06-08,4351
2018-06-09,4351
2018-06-10,4133
2018-06-11,4133
2018-06-12,4133
2018-06-13,3926
2018-06-14,3926
2018-06-15,3926
2018-06-16,3729
2018-06-17,3729
2018-06-18,3729
2018-06-19,3542
2018-06-20,3542
2018-06-21,3542
2018-06-22,3365
2018-06-23,3365
2018-06-24,3365
2018-06-25,3365
2018-06-26,3196
2018-06-27,3196
2018-06-28,3196
2018-06-29,3037
2018-06-30,3037
2018-07-01,3037
2018-07-02,2924
2018-07-03,2924
2018-07-04,2924
2018-07-05,2924
2018-07-06,2777
2018-07-07,2777
2018-07-08,2777
2018-07-09,2645
2018-07-10,2645
2018-07-11,2645
2018-07-12,2645
2018-07-13,2645
2018-07-14,2512
2018-07-15,2512
2018-07-16,2512
2018-07-17,2387
2018-07-18,2387
