date_obj,Ensouled%20ogre%20head price
2016-01-08,3362
2016-01-09,3193
2016-01-10,3033
2016-01-11,2881
2016-01-12,2736
2016-01-13,2599
2016-01-14,2636
2016-01-15,2511
2016-01-16,2385
2016-01-17,2265
2016-01-18,2151
2016-01-19,2043
2016-01-20,1940
2016-01-21,1843
2016-01-22,1768
2016-01-23,1828
2016-01-24,1908
2016-01-25,1953
2016-01-26,1855
2016-01-27,1770
2016-01-28,1858
2016-01-29,1863
2016-01-30,1844
2016-01-31,1879
2016-02-01,1907
2016-02-02,1931
2016-02-03,2024
2016-02-04,2126
2016-02-05,2233
2016-02-06,2318
2016-02-07,2272
2016-02-08,2201
2016-02-09,2129
2016-02-10,2046
2016-02-11,2128
2016-02-12,2021
2016-02-13,1953
2016-02-14,1879
2016-02-15,1788
2016-02-16,1724
2016-02-17,1637
2016-02-18,1617
2016-02-19,1676
2016-02-20,1713
2016-02-21,1637
2016-02-22,1655
2016-02-23,1644
2016-02-24,1639
2016-02-25,1557
2016-02-26,1522
2016-02-27,1516
2016-02-28,1491
2016-02-29,1566
2016-03-01,1605
2016-03-02,1636
2016-03-03,1716
2016-03-04,1689
2016-03-05,1646
2016-03-06,1727
2016-03-07,1793
2016-03-08,1883
2016-03-09,1978
2016-03-10,2077
2016-03-11,2157
2016-03-12,2234
2016-03-13,2346
2016-03-14,2316
2016-03-15,2206
2016-03-16,2212
2016-03-17,2232
2016-03-18,2269
2016-03-19,2201
2016-03-20,2104
2016-03-21,2046
2016-03-22,2131
2016-03-23,2214
2016-03-24,2249
2016-03-25,2204
2016-03-26,2105
2016-03-27,2025
2016-03-28,1957
2016-03-29,1897
2016-03-30,1815
2016-03-31,1724
2016-04-01,1652
2016-04-02,1731
2016-04-03,1736
2016-04-04,1745
2016-04-05,1752
2016-04-06,1768
2016-04-07,1751
2016-04-08,1740
2016-04-09,1656
2016-04-10,1600
2016-04-11,1527
2016-04-12,1579
2016-04-13,1645
2016-04-14,1594
2016-04-15,1657
2016-04-16,1667
2016-04-17,1731
2016-04-18,1755
2016-04-19,1826
2016-04-20,1739
2016-04-21,1652
2016-04-22,1569
2016-04-23,1497
2016-04-24,1422
2016-04-25,1371
2016-04-26,1374
2016-04-27,1396
2016-04-28,1420
2016-04-29,1451
2016-04-30,1494
2016-05-01,1501
2016-05-02,1492
2016-05-03,1424
2016-05-04,1370
2016-05-05,1422
2016-05-06,1370
2016-05-07,1412
2016-05-08,1366
2016-05-09,1364
2016-05-10,1366
2016-05-11,1382
2016-05-12,1379
2016-05-13,1416
2016-05-14,1483
2016-05-15,1457
2016-05-16,1384
2016-05-17,1331
2016-05-18,1358
2016-05-19,1388
2016-05-22,1231
2016-05-23,1169
2016-05-24,1110
2016-05-25,1054
2016-05-26,1001
2016-05-27,950
2016-05-28,902
2016-05-29,866
2016-05-30,823
2016-05-31,786
2016-06-01,759
2016-06-02,793
2016-06-03,822
2016-06-04,822
2016-06-05,796
2016-06-06,836
2016-06-07,878
2016-06-08,922
2016-06-09,969
2016-06-10,1013
2016-06-11,1019
2016-06-12,985
2016-06-13,946
2016-06-14,950
2016-06-15,946
2016-06-16,975
2016-06-17,1002
2016-06-18,1044
2016-06-19,1003
2016-06-20,1005
2016-06-21,1003
2016-06-22,1015
2016-06-23,1040
2016-06-24,1086
2016-06-25,1112
2016-06-26,1168
2016-06-27,1221
2016-06-28,1261
2016-06-29,1325
2016-06-30,1392
2016-07-01,1462
2016-07-02,1528
2016-07-03,1571
2016-07-04,1581
2016-07-05,1643
2016-07-06,1720
2016-07-07,1650
2016-07-08,1648
2016-07-09,1695
2016-07-10,1766
2016-07-11,1854
2016-07-12,1884
2016-07-13,1897
2016-07-14,1920
2016-07-15,1932
2016-07-16,1997
2016-07-17,1897
2016-07-18,1802
2016-07-23,1537
2016-07-24,1579
2016-07-25,1592
2016-07-26,1587
2016-07-27,1653
2016-07-28,1731
2016-07-29,1743
2016-07-30,1693
2016-07-31,1612
2016-08-01,1602
2016-08-02,1540
2016-08-03,1572
2016-08-04,1579
2016-08-05,1564
2016-08-06,1540
2016-08-07,1587
2016-08-08,1667
2016-08-09,1730
2016-08-10,1802
2016-08-11,1847
2016-08-12,1818
2016-08-13,1837
2016-08-14,1810
2016-08-15,1796
2016-08-16,1706
2016-08-17,1644
2016-08-18,1700
2016-08-19,1785
2016-08-20,1875
2016-08-21,1842
2016-08-22,1839
2016-08-23,1931
2016-08-24,1899
2016-08-25,1817
2016-08-26,1789
2016-08-28,1762
2016-08-31,1621
2016-09-01,1581
2016-09-02,1533
2016-09-03,1534
2016-09-04,1534
2016-09-05,1560
2016-09-06,1528
2016-09-07,1534
2016-09-08,1478
2016-09-09,1505
2016-09-10,1533
2016-09-11,1460
2016-09-12,1458
2016-09-13,1460
2016-09-14,1405
2016-09-15,1366
2016-09-16,1362
2016-09-17,1367
2016-09-18,1400
2016-09-19,1419
2016-09-20,1405
2016-09-21,1476
2016-09-22,1538
2016-09-23,1586
2016-09-24,1635
2016-09-25,1603
2016-09-26,1654
2016-09-27,1723
2016-09-28,1641
2016-09-29,1566
2016-09-30,1580
2016-10-01,1546
2016-10-02,1476
2016-10-03,1431
2016-10-04,1497
2016-10-05,1472
2016-10-06,1481
2016-10-07,1511
2016-10-08,1470
2016-10-09,1446
2016-10-10,1469
2016-10-11,1412
2016-10-12,1443
2016-10-13,1420
2016-10-14,1491
2016-10-15,1444
2016-10-16,1423
2016-10-17,1413
2016-10-18,1363
2016-10-19,1321
2016-10-20,1313
2016-10-21,1303
2016-10-22,1335
2016-10-23,1344
2016-10-24,1401
2016-10-25,1472
2016-10-26,1546
2016-10-27,1546
2016-10-28,1548
2016-10-29,1624
2016-10-30,1633
2016-10-31,1566
2016-11-01,1515
2016-11-02,1442
2016-11-03,1417
2016-11-04,1382
2016-11-05,1354
2016-11-06,1331
2016-11-07,1398
2016-11-08,1371
2016-11-09,1302
2016-11-10,1263
2016-11-11,1268
2016-11-12,1207
2016-11-13,1154
2016-11-14,1127
2016-11-15,1147
2016-12-07,1553
2016-12-08,1582
2016-12-09,1617
2016-12-10,1678
2016-12-11,1687
2016-12-12,1614
2016-12-13,1555
2016-12-14,1553
2016-12-15,1503
2016-12-16,1438
2016-12-17,1404
2016-12-18,1454
2016-12-19,1422
2016-12-20,1390
2016-12-21,1392
2016-12-22,1381
2016-12-23,1366
2016-12-24,1344
2016-12-25,1330
2016-12-26,1343
2016-12-27,1392
2016-12-28,1441
2016-12-29,1504
2016-12-30,1578
2016-12-31,1619
2017-01-01,1657
2017-01-02,1674
2017-01-03,1700
2017-01-04,1652
2017-01-05,1569
2017-01-06,1529
2017-01-07,1482
2017-01-08,1430
2017-01-09,1487
2017-01-10,1539
2017-01-11,1491
2017-01-12,1540
2017-01-13,1534
2017-01-14,1463
2017-01-15,1454
2017-01-16,1438
2017-01-17,1419
2017-01-18,1432
2017-01-19,1401
2017-01-20,1421
2017-01-21,1466
2017-01-22,1528
2017-01-23,1599
2017-01-27,1645
2017-01-28,1650
2017-01-29,1681
2017-01-30,1596
2017-01-31,1569
2017-02-01,1523
2017-02-02,1446
2017-02-03,1402
2017-02-04,1351
2017-02-05,1308
2017-02-06,1325
2017-02-07,1271
2017-02-08,1313
2017-02-09,1353
2017-02-10,1396
2017-02-11,1400
2017-02-12,1426
2017-02-13,1443
2017-02-14,1511
2017-02-15,1587
2017-02-16,1599
2017-02-18,1619
2017-02-19,1655
2017-02-20,1684
2017-02-21,1645
2017-02-22,1616
2017-02-23,1571
2017-02-24,1637
2017-02-25,1640
2017-02-26,1613
2017-02-27,1542
2017-02-28,1526
2017-03-01,1497
2017-03-02,1457
2017-03-03,1461
2017-03-04,1494
2017-03-05,1512
2017-03-06,1577
2017-03-07,1539
2017-03-08,1602
2017-03-09,1623
2017-03-10,1693
2017-03-11,1683
2017-03-12,1740
2017-03-13,1653
2017-03-14,1571
2017-03-15,1564
2017-03-16,1556
2017-03-17,1493
2017-03-18,1480
2017-03-19,1503
2017-03-20,1528
2017-03-21,1512
2017-03-22,1556
2017-03-23,1562
2017-03-24,1523
2017-03-25,1600
2017-03-26,1617
2017-03-27,1602
2017-03-28,1536
2017-03-29,1547
2017-03-30,1554
2017-03-31,1476
2017-04-01,1426
2017-04-02,1494
2017-04-03,1479
2017-04-04,1502
2017-04-12,1402
2017-04-13,1419
2017-04-14,1399
2017-04-15,1431
2017-04-16,1484
2017-04-17,1488
2017-04-18,1450
2017-04-19,1491
2017-04-20,1466
2017-04-21,1489
