date_obj,Ranarr%20seed price
2015-03-05,18751
2015-03-06,19084
2015-03-07,19348
2015-03-08,19400
2015-03-09,19438
2015-03-10,19621
2015-03-11,20076
2015-03-12,20512
2015-03-13,20625
2015-03-14,20874
2015-03-15,21118
2015-03-16,21028
2015-03-17,21029
2015-03-18,21387
2015-03-19,21384
2015-03-20,21671
2015-03-21,21394
2015-03-22,20938
2015-03-23,20876
2015-03-24,20920
2015-03-25,20972
2015-03-26,20622
2015-03-27,20604
2015-03-28,20328
2015-03-29,19724
2015-03-30,18865
2015-03-31,18453
2015-04-01,18399
2015-04-02,18379
2015-04-03,18476
2015-04-04,18145
2015-04-05,17958
2015-04-06,17521
2015-04-07,17312
2015-04-08,17879
2015-04-09,18689
2015-04-10,19231
2015-04-11,19162
2015-04-12,18611
2015-04-13,18367
2015-04-14,18568
2015-04-15,19037
2015-04-16,19344
2015-04-17,19668
2015-04-18,19322
2015-04-19,18756
2015-04-20,18230
2015-04-21,17696
2015-04-22,17533
2015-04-23,17427
2015-04-24,17404
2015-04-25,17272
2015-04-26,17060
2015-04-27,16855
2015-04-28,17295
2015-04-29,17980
2015-04-30,18607
2015-05-01,18982
2015-05-02,19085
2015-05-03,19107
2015-05-04,18761
2015-05-05,18766
2015-05-06,18505
2015-05-07,18588
2015-05-08,19169
2015-05-09,19175
2015-05-10,18982
2015-05-11,19009
2015-05-12,19095
2015-05-13,19345
2015-05-14,19654
2015-05-15,20051
2015-05-16,20086
2015-05-17,19572
2015-05-18,19261
2015-05-19,18652
2015-05-20,18483
2015-05-21,18223
2015-05-22,18051
2015-05-23,17864
2015-05-24,17746
2015-05-25,17486
2015-05-26,17425
2015-05-27,17535
2015-05-28,18009
2015-05-29,18251
2015-05-30,18471
2015-05-31,18596
2015-06-01,18510
2015-06-02,18695
2015-06-03,18897
2015-06-04,19183
2015-06-05,19649
2015-06-06,19949
2015-06-07,20468
2015-06-08,20496
2015-06-09,20146
2015-06-10,19985
2015-06-11,20101
2015-06-12,20353
2015-06-13,20430
2015-06-14,20217
2015-06-15,19731
2015-06-16,19387
2015-06-17,19194
2015-06-18,19468
2015-06-19,19613
2015-06-20,19810
2015-06-21,20060
2015-06-22,20172
2015-06-23,20935
2015-06-24,21825
2015-06-25,22753
2015-06-26,23096
2015-06-27,23197
2015-06-28,22445
2015-06-29,21633
2015-06-30,21231
2015-07-01,20721
2015-07-02,20612
2015-07-03,20418
2015-07-04,19921
2015-07-05,19320
2015-07-06,18942
2015-07-07,18651
2015-07-08,18485
2015-07-09,18465
2015-07-10,18507
2015-07-11,18549
2015-07-12,18466
2015-07-13,18273
2015-07-14,18105
2015-07-15,17619
2015-07-16,17235
2015-07-17,16629
2015-07-18,16239
2015-07-19,15672
2015-07-20,15851
2015-07-21,16478
2015-07-22,16964
2015-07-23,17492
2015-07-24,17684
