date_obj,Elder%20chaos%20top price
2016-07-23,9243
2016-07-24,9706
2016-07-25,10192
2016-07-26,10671
2016-07-27,11205
2016-07-28,11757
2016-07-29,12345
2016-07-30,12944
2016-07-31,13568
2016-08-01,14131
2016-08-02,14838
2016-08-03,15541
2016-08-04,16254
2016-08-05,17061
2016-08-06,17908
2016-08-07,18782
2016-08-08,19707
2016-08-09,20693
2016-08-10,21714
2016-08-11,22753
2016-08-12,23865
2016-08-13,24989
2016-08-14,26150
2016-08-15,27458
2016-08-16,28813
2016-08-17,30218
2016-08-18,31693
2016-08-19,33214
2016-08-20,34875
2016-08-21,36560
2016-08-22,38340
2016-08-23,40192
2016-08-24,42138
2016-08-25,44191
2016-08-26,46342
2016-08-28,50583
2016-08-31,58013
2016-09-01,60914
2016-09-02,60914
2016-09-03,63960
2016-09-04,67158
2016-09-05,70369
2016-09-06,73799
2016-09-07,77332
2016-09-08,81015
2016-09-09,84948
2016-09-10,89196
2016-09-11,93503
2016-09-12,97994
2016-09-13,102894
2016-09-14,107734
2016-09-15,112578
2016-09-16,117888
2016-09-17,123544
2016-09-18,129510
2016-09-19,135337
2016-09-20,141408
2016-09-21,148230
2016-09-22,155642
2016-09-23,163108
2016-09-24,163108
2016-09-25,171264
2016-09-26,179545
2016-09-27,188523
2016-09-28,197618
2016-09-29,206770
2016-09-30,217109
2016-10-01,227554
2016-10-02,227554
2016-10-03,238932
2016-10-04,250397
2016-10-05,262107
2016-10-06,274743
2016-10-07,287470
2016-10-08,301844
2016-10-09,301844
2016-10-10,316937
2016-10-11,331674
2016-10-12,331674
2016-10-13,347903
2016-10-14,364766
2016-10-15,383005
2016-10-16,383005
2016-10-17,402156
2016-10-18,420938
2016-10-19,440645
2016-10-20,459547
2016-10-21,482525
2016-10-22,482525
2016-10-23,506652
2016-10-24,531985
2016-10-25,531985
2016-10-26,558585
2016-10-27,558585
2016-10-28,586515
2016-10-29,615352
2016-10-30,643988
2016-10-31,675190
2016-11-01,675190
2016-11-02,676922
2016-11-03,676922
2016-11-04,648109
2016-11-05,648109
2016-11-06,617747
2016-11-07,617747
2016-11-08,621176
2016-11-09,648829
2016-11-10,679103
2016-11-11,679103
2016-11-12,698003
2016-11-13,698003
2016-11-14,692346
2016-11-15,692346
2016-12-07,640562
2016-12-08,615499
2016-12-09,586811
2016-12-10,586811
2016-12-11,558606
