date_obj,Holy%20book%20page%20set price
2015-03-26,39024
2015-03-27,37907
2015-03-28,37907
2015-03-29,37907
2015-03-30,37907
2015-03-31,37431
2015-04-01,37431
2015-04-02,37431
2015-04-03,37431
2015-04-04,36720
2015-04-05,36720
2015-04-06,36720
2015-04-07,36720
2015-04-08,36720
2015-04-09,36314
2015-04-10,36314
2015-04-11,36314
2015-04-12,36314
2015-04-13,37040
2015-04-14,37040
2015-04-15,37040
2015-04-16,37040
2015-04-17,37040
2015-04-18,38362
2015-04-19,38362
2015-04-20,38362
2015-04-21,38362
2015-04-22,38362
2015-04-23,39891
2015-04-24,39891
2015-04-25,39891
2015-04-26,39891
2015-04-27,39891
2015-04-28,40354
2015-04-29,40354
2015-04-30,40354
2015-05-01,40354
2015-05-02,40354
2015-05-03,41899
2015-05-04,41899
2015-05-05,41899
2015-05-06,41899
2015-05-07,41899
2015-05-08,43481
2015-05-09,43481
2015-05-10,43481
2015-05-11,43481
2015-05-12,43481
2015-05-13,44446
2015-05-14,44446
2015-05-15,44446
2015-05-16,44446
2015-05-17,45930
2015-05-18,45930
2015-05-19,45930
2015-05-20,45930
2015-05-21,45930
2015-05-22,45930
2015-05-23,46697
2015-05-24,46697
2015-05-25,46697
2015-05-26,46697
2015-05-27,46697
2015-05-28,46670
2015-05-29,46670
2015-05-30,46670
2015-05-31,46824
2015-06-01,46824
2015-06-02,46824
2015-06-03,46824
2015-06-04,48192
2015-06-05,48192
2015-06-06,48192
2015-06-07,48341
2015-06-08,48341
2015-06-09,48341
2015-06-10,47616
2015-06-11,47616
2015-06-12,47616
2015-06-13,47616
2015-06-14,48234
2015-06-15,48234
2015-06-16,48234
2015-06-17,48234
2015-06-18,49556
2015-06-19,49556
2015-06-20,49556
2015-06-21,49556
2015-06-22,50328
2015-06-23,50328
2015-06-24,50328
2015-06-25,50328
2015-06-26,50499
2015-06-27,50499
2015-06-28,50499
2015-06-29,50499
2015-06-30,49200
2015-07-01,49200
2015-07-02,49200
2015-07-03,49200
2015-07-04,49579
2015-07-05,49579
2015-07-06,49579
2015-07-07,49579
2015-07-08,47615
2015-07-09,47615
2015-07-10,47615
2015-07-11,47615
2015-07-12,45274
2015-07-13,45274
2015-07-14,45274
2015-07-15,46752
2015-07-16,46752
2015-07-17,46752
2015-07-18,48724
2015-07-19,48724
2015-07-20,48724
2015-07-21,48724
2015-07-22,49775
2015-07-23,49775
2015-07-24,49775
2015-07-25,49775
2015-07-26,49462
2015-07-27,49462
2015-07-28,49462
2015-07-29,48219
2015-07-30,48219
2015-07-31,48219
2015-08-01,48219
2015-08-02,47598
2015-08-03,47598
2015-08-04,47598
2015-08-05,47733
2015-08-06,47733
2015-08-07,47733
2015-08-08,47733
2015-08-09,49577
2015-08-10,49577
2015-08-11,49577
2015-08-12,51071
2015-08-13,51071
2015-08-14,51071
2015-08-15,53299
2015-08-16,53299
2015-08-17,53299
2015-08-18,55398
2015-08-19,55398
2015-08-20,55398
2015-08-21,57958
2015-08-22,57958
2015-08-23,57958
2015-08-24,60591
2015-08-25,60591
2015-08-26,60591
2015-08-27,60591
2015-08-28,62232
2015-08-29,62232
2015-08-30,62232
2015-08-31,65098
2015-09-01,65098
2015-09-02,65098
2015-09-03,65098
2015-09-04,67883
2015-09-05,67883
2015-09-06,67883
2015-09-07,67883
2015-09-08,65388
2015-09-09,65388
2015-09-10,65388
2015-09-11,65388
