date_obj,Palm%20sapling price
2015-03-26,31589
2015-03-27,31589
2015-03-28,31589
2015-03-29,31688
2015-03-30,31688
2015-03-31,31688
2015-04-01,31688
2015-04-02,31688
2015-04-03,31688
2015-04-04,30276
2015-04-05,30276
2015-04-06,30276
2015-04-07,30276
2015-04-08,30276
2015-04-09,30276
2015-04-10,28779
2015-04-11,28779
2015-04-12,28779
2015-04-13,28779
2015-04-14,28779
2015-04-15,27465
2015-04-16,27465
2015-04-17,27465
2015-04-18,27465
2015-04-19,27465
2015-04-20,26212
2015-04-21,26212
2015-04-22,26212
2015-04-23,26212
2015-04-24,26212
2015-04-25,24903
2015-04-26,24903
2015-04-27,24903
2015-04-28,24903
2015-04-29,24903
2015-04-30,24154
2015-05-01,24154
2015-05-02,24154
2015-05-03,24154
2015-05-04,24287
2015-05-05,24287
2015-05-06,24287
2015-05-07,24287
2015-05-08,24287
2015-05-09,24469
2015-05-10,24469
2015-05-11,24469
2015-05-12,24469
2015-05-13,24469
2015-05-14,25557
2015-05-15,25557
2015-05-16,25557
2015-05-17,25557
2015-05-18,26785
2015-05-19,26785
2015-05-20,26785
2015-05-21,26785
2015-05-22,26785
2015-05-23,26785
2015-05-24,27977
2015-05-25,27977
2015-05-26,27977
2015-05-27,27977
2015-05-28,29278
2015-05-29,29278
2015-05-30,29278
2015-05-31,30536
2015-06-01,30536
2015-06-02,30536
2015-06-03,31426
2015-06-04,31426
2015-06-05,31426
2015-06-06,30323
2015-06-07,30323
2015-06-08,30323
2015-06-09,30779
2015-06-10,30779
2015-06-11,30779
2015-06-12,30779
2015-06-13,31804
2015-06-14,31804
2015-06-15,31804
2015-06-16,32267
2015-06-17,32267
2015-06-18,32267
2015-06-19,31466
2015-06-20,31466
2015-06-21,31466
2015-06-22,31466
2015-06-23,30234
2015-06-24,30234
2015-06-25,30234
2015-06-26,28722
2015-06-27,28722
2015-06-28,28722
2015-06-29,28722
2015-06-30,27573
2015-07-01,27573
2015-07-02,27573
2015-07-03,27699
2015-07-04,27699
2015-07-05,27699
2015-07-06,27699
2015-07-07,27086
2015-07-08,27086
2015-07-09,27086
2015-07-10,27086
2015-07-11,26188
2015-07-12,26188
2015-07-13,26188
2015-07-14,24972
2015-07-15,24972
2015-07-16,24972
2015-07-17,25676
2015-07-18,25676
2015-07-19,25676
2015-07-20,25676
2015-07-21,25525
2015-07-22,25525
2015-07-23,25525
2015-07-24,26525
2015-07-25,26525
2015-07-26,26525
2015-07-27,27655
2015-07-28,27655
2015-07-29,28193
2015-07-30,28193
2015-07-31,28193
2015-08-01,28193
2015-08-02,28658
2015-08-03,28658
2015-08-04,28658
2015-08-05,29791
2015-08-06,29791
2015-08-07,29791
2015-08-08,31232
2015-08-09,31232
