date_obj,Willow%20branch price
2015-03-26,1976
2015-03-27,1976
2015-03-28,1913
2015-03-29,1913
2015-03-30,1877
2015-03-31,1877
2015-04-01,1877
2015-04-02,1818
2015-04-03,1818
2015-04-04,1843
2015-04-05,1843
2015-04-06,1843
2015-04-07,1923
2015-04-08,1923
2015-04-09,1923
2015-04-10,2019
2015-04-11,2019
2015-04-12,2019
2015-04-13,2087
2015-04-14,2087
2015-04-15,2087
2015-04-16,1982
2015-04-17,1982
2015-04-18,1982
2015-04-19,1882
2015-04-20,1882
2015-04-21,1882
2015-04-22,1882
2015-04-23,1787
2015-04-24,1787
2015-04-25,1787
2015-04-26,1697
2015-04-27,1697
2015-04-28,1697
2015-04-29,1612
2015-04-30,1612
2015-05-01,1584
2015-05-02,1584
2015-05-03,1584
2015-05-04,1606
2015-05-05,1606
2015-05-06,1606
2015-05-07,1615
2015-05-08,1615
2015-05-09,1615
2015-05-10,1627
2015-05-11,1627
2015-05-12,1627
2015-05-13,1627
2015-05-14,1608
2015-05-15,1608
2015-05-16,1608
2015-05-17,1595
2015-05-18,1595
2015-05-19,1595
2015-05-20,1595
2015-05-21,1582
2015-05-22,1582
2015-05-23,1582
2015-05-24,1575
2015-05-25,1575
2015-05-26,1575
2015-05-27,1574
2015-05-28,1574
2015-05-29,1574
2015-05-30,1536
2015-05-31,1536
2015-06-01,1510
2015-06-02,1510
2015-06-03,1510
2015-06-04,1469
2015-06-05,1469
2015-06-06,1450
2015-06-07,1450
2015-06-08,1450
2015-06-09,1446
2015-06-10,1446
2015-06-11,1446
2015-06-12,1448
2015-06-13,1448
2015-06-14,1448
2015-06-15,1488
2015-06-16,1488
2015-06-17,1488
2015-06-18,1548
2015-06-19,1548
2015-06-20,1548
2015-06-21,1535
2015-06-22,1535
2015-06-23,1535
2015-06-24,1489
2015-06-25,1489
2015-06-26,1489
2015-06-27,1451
2015-06-28,1451
2015-06-29,1451
2015-06-30,1444
2015-07-01,1444
2015-07-02,1444
2015-07-03,1441
2015-07-04,1441
2015-07-05,1441
2015-07-06,1439
2015-07-07,1439
2015-07-08,1443
2015-07-09,1443
2015-07-10,1443
2015-07-11,1441
2015-07-12,1441
2015-07-13,1441
2015-07-14,1474
2015-07-15,1474
2015-07-16,1474
2015-07-17,1530
2015-07-18,1530
2015-07-19,1530
2015-07-20,1526
2015-07-21,1526
2015-07-22,1545
2015-07-23,1545
2015-07-24,1545
2015-07-25,1577
2015-07-26,1577
2015-07-27,1577
2015-07-28,1584
2015-07-29,1584
2015-07-30,1603
2015-07-31,1603
2015-08-01,1603
2015-08-02,1599
2015-08-03,1599
2015-08-04,1599
2015-08-05,1594
2015-08-06,1594
2015-08-07,1594
2015-08-08,1611
2015-08-09,1611
2015-08-10,1612
2015-08-11,1612
2015-08-12,1612
2015-08-13,1610
2015-08-14,1610
2015-08-15,1610
2015-08-16,1592
2015-08-17,1592
2015-08-18,1585
2015-08-19,1585
2015-08-20,1585
2015-08-21,1585
2015-08-22,1585
2015-08-23,1585
2015-08-24,1603
2015-08-25,1603
2015-08-26,1603
2015-08-27,1643
2015-08-28,1643
2015-08-29,1643
2015-08-30,1723
2015-08-31,1723
2015-09-01,1723
2015-09-02,1739
2015-09-03,1739
