date_obj,Fenkenstrain's%20castle%20teleport%20(tablet) price
2017-03-18,3144
2017-03-19,3144
2017-03-20,3144
2017-03-21,2993
2017-03-22,2993
2017-03-23,2993
2017-03-24,2993
2017-03-25,2993
2017-03-26,3047
2017-03-27,3047
2017-03-28,3047
2017-03-29,3047
2017-03-30,3042
2017-03-31,3042
2017-04-01,3042
2017-04-02,3042
2017-04-03,2889
2017-04-04,2889
2017-04-12,2635
2017-04-13,2635
2017-04-14,2635
2017-04-15,2635
2017-04-16,2686
2017-04-17,2686
2017-04-18,2686
2017-04-19,2686
2017-04-20,2801
2017-04-21,2801
2017-04-22,2801
2017-04-23,2801
2017-04-24,2857
2017-04-25,2857
2017-04-26,2857
2017-04-27,2857
2017-04-28,2753
2017-04-29,2753
2017-04-30,2753
2017-05-01,2753
2017-05-02,2653
2017-05-03,2653
2017-05-04,2653
2017-05-05,2653
2017-05-06,2523
2017-05-07,2523
2017-05-08,2523
2017-05-09,2523
2017-05-10,2400
2017-05-11,2400
2017-05-12,2400
2017-05-13,2347
2017-05-14,2347
2017-05-15,2347
2017-05-16,2347
2017-05-17,2347
2017-05-18,2249
2017-05-19,2249
2017-05-20,2249
2017-05-21,2249
2017-05-22,2139
2017-05-23,2139
2017-05-24,2139
2017-05-25,2139
2017-05-26,2083
2017-05-27,2083
2017-05-28,2083
2017-05-29,2083
2017-05-30,2032
2017-05-31,2032
2017-06-01,2032
2017-06-02,2032
2017-06-03,1951
2017-06-04,1951
2017-06-05,1951
2017-06-06,2028
2017-06-07,2028
2017-06-08,2028
2017-06-09,2028
2017-06-10,2104
2017-06-11,2104
2017-06-12,2104
2017-06-13,2104
2017-06-14,2072
2017-06-15,2072
2017-06-16,2072
2017-06-17,2072
2017-06-18,1988
2017-06-19,1988
2017-06-20,1988
2017-06-21,1988
2017-06-22,1904
2017-06-23,1904
2017-06-24,1904
2017-06-25,1904
2017-06-26,1932
2017-06-27,1932
2017-06-28,1932
2017-06-29,1932
2017-06-30,1974
2017-07-01,1974
2017-07-02,1974
2017-07-03,1974
2017-07-04,2036
2017-07-05,2036
2017-07-06,2036
2017-07-07,2036
2017-07-08,2036
2017-07-13,1940
2017-07-14,1940
2017-07-15,1940
2017-07-16,1940
2017-07-17,1961
2017-07-18,1961
2017-07-19,1961
2017-07-20,1961
2017-07-21,2019
2017-07-22,2019
2017-07-23,2019
2017-07-24,2019
2017-07-25,2102
2017-07-26,2102
2017-07-27,2102
2017-07-28,2102
2017-07-29,2116
2017-07-30,2116
2017-07-31,2116
2017-08-01,2116
2017-08-02,2181
2017-08-03,2181
2017-08-04,2181
2017-08-05,2181
2017-08-06,2207
2017-08-09,2207
2017-08-10,2228
2017-08-11,2228
2017-08-12,2228
2017-08-13,2228
2017-08-14,2228
2017-08-15,2157
2017-08-16,2157
2017-08-17,2157
2017-08-18,2157
2017-08-19,2052
2017-08-20,2052
2017-08-21,2052
2017-08-22,1967
2017-08-23,1967
2017-08-24,1967
2017-08-25,1967
2017-08-26,1883
2017-08-27,1883
2017-08-28,1883
2017-08-29,1883
2017-08-30,1826
2017-08-31,1826
2017-09-01,1826
2017-09-02,1826
2017-09-03,1854
2017-09-04,1854
2017-09-05,1854
2017-09-06,1854
2017-09-07,1897
2017-09-08,1897
2017-09-09,1897
2017-09-10,1897
2017-09-11,1928
2017-09-12,1928
2017-09-13,1928
2017-09-14,1928
2017-09-15,1928
2017-09-16,1914
2017-09-17,1914
2017-09-18,1914
2017-09-19,1914
2017-09-20,1834
2017-09-21,1834
2017-09-22,1834
2017-09-23,1834
2017-09-24,1873
2017-09-25,1873
2017-09-26,1873
2017-09-27,1873
2017-09-28,1944
2017-09-29,1944
2017-09-30,1944
2017-10-01,1944
2017-10-02,2016
2017-10-03,2016
2017-10-04,2016
2017-10-05,2016
2017-10-06,2016
2017-10-07,2024
2017-10-08,2024
2017-10-09,2024
2017-10-10,2024
2017-10-11,1967
2017-10-12,1967
2017-10-13,1967
2017-10-14,1976
2017-10-15,1976
2017-10-16,1976
2017-10-17,1976
2017-10-18,1904
2017-10-19,1904
2017-10-20,1904
2017-10-21,1904
2017-10-22,1808
2017-10-23,1808
2017-10-24,1808
2017-10-25,1808
2017-10-26,1720
2017-10-27,1720
2017-10-28,1720
2017-10-29,1720
2017-10-30,1649
2017-10-31,1649
2017-11-01,1649
2017-11-02,1649
2017-11-03,1649
2017-11-04,1572
2017-11-05,1572
2017-11-06,1572
2017-11-07,1572
2017-11-08,1572
2017-11-09,1541
2017-11-10,1541
2017-11-11,1541
2017-11-12,1541
2017-11-13,1509
2017-11-14,1509
2017-11-15,1509
2017-11-16,1509
2017-11-17,1443
2017-11-18,1443
2017-11-19,1443
2017-11-20,1443
2017-11-21,1372
2017-11-22,1372
2017-11-23,1372
2017-11-24,1372
2017-11-25,1312
2017-11-26,1312
2017-11-27,1312
2017-11-28,1312
2017-11-29,1312
2017-11-30,1280
2017-12-01,1280
2017-12-02,1280
2017-12-03,1280
2017-12-04,1336
2017-12-05,1336
2017-12-06,1336
2017-12-07,1403
2017-12-08,1403
2017-12-09,1403
2017-12-10,1403
2017-12-11,1473
2017-12-12,1473
2017-12-13,1473
2017-12-14,1473
2017-12-15,1547
2017-12-16,1547
2017-12-17,1547
2017-12-18,1547
2017-12-19,1606
2017-12-20,1606
2017-12-21,1606
2017-12-22,1606
2017-12-23,1680
2017-12-24,1680
2017-12-25,1680
2017-12-26,1680
2017-12-27,1714
2017-12-28,1714
2017-12-29,1714
2017-12-30,1757
2017-12-31,1757
2018-01-01,1757
2018-01-02,1757
2018-01-03,1724
2018-01-04,1724
2018-01-05,1724
2018-01-06,1710
2018-01-07,1710
