date_obj,Twisted%20boots%20(t2) price
2020-01-13,100000
2020-01-14,100000
2020-01-15,104966
2020-01-16,110215
2020-01-17,110215
2020-01-18,115621
2020-01-19,115621
2020-01-20,115621
2020-01-21,115621
2020-01-22,116911
2020-01-23,116911
2020-01-24,116911
2020-01-25,116911
2020-01-26,116911
2020-01-27,116911
2020-01-28,116911
2020-01-29,120600
2020-01-30,120600
2020-01-31,120600
2020-02-01,120600
2020-02-02,120600
2020-02-03,120600
2020-02-04,120600
2020-02-05,120600
2020-02-06,120600
2020-02-07,120600
2020-02-08,120600
2020-02-09,120600
2020-02-10,120600
2020-02-11,126439
2020-02-12,126439
2020-02-13,126439
2020-02-14,126439
2020-02-15,126439
2020-02-16,126439
2020-02-17,126439
2020-02-18,126439
2020-02-19,126439
2020-02-20,126439
2020-02-21,126439
2020-02-22,126439
2020-02-23,126439
2020-02-24,126439
2020-02-25,126439
2020-02-26,126439
2020-02-27,126439
2020-02-28,126439
2020-02-29,126439
2020-03-01,132466
2020-03-02,132466
2020-03-03,132466
2020-03-04,132466
2020-03-05,132466
2020-03-06,132466
2020-03-07,132466
2020-03-08,132466
2020-03-09,132466
2020-03-10,132466
2020-03-11,132466
2020-03-12,132466
2020-03-13,132466
2020-03-14,132466
2020-03-15,132466
2020-03-16,132466
2020-03-17,132466
2020-03-18,132466
2020-03-19,132466
2020-03-20,132466
2020-03-21,138763
2020-03-22,138763
2020-03-23,138763
2020-03-24,138763
2020-03-25,138763
2020-03-26,138763
2020-03-27,138763
2020-03-28,138763
2020-03-29,138763
2020-03-30,138763
2020-03-31,138763
2020-04-01,138763
2020-04-02,138763
2020-04-03,138763
2020-04-04,138763
2020-04-05,138763
2020-04-06,138763
2020-04-07,138763
2020-04-08,138763
2020-04-09,144866
2020-04-10,144866
2020-04-11,144866
2020-04-12,144866
2020-04-13,144866
2020-04-14,144866
2020-04-15,144866
2020-04-16,144866
2020-04-17,144866
2020-04-18,144866
2020-04-19,144866
2020-04-20,144866
2020-04-21,144866
2020-04-22,144866
2020-04-23,144866
2020-04-24,144866
2020-04-25,144866
2020-04-26,144866
2020-04-27,144866
2020-04-28,144866
2020-04-29,151587
2020-04-30,151587
2020-05-01,151587
2020-05-02,151587
2020-05-03,151587
2020-05-04,151587
2020-05-05,151587
2020-05-06,151587
2020-05-07,151587
2020-05-08,151587
2020-05-09,151587
2020-05-10,151587
2020-05-11,151587
2020-05-12,151587
2020-05-13,151587
