date_obj,Ranger%20gloves price
2016-07-06,15551647
2016-07-07,15551647
2016-07-08,16151600
2016-07-09,16151600
2016-07-10,16151600
2016-07-11,16151600
2016-07-12,16151600
2016-07-13,16766065
2016-07-14,16766065
2016-07-15,16766065
2016-07-16,16766065
2016-07-17,16766065
2016-07-18,16766065
2016-07-23,17464571
2016-07-24,17464571
2016-07-25,17464571
2016-07-26,17464571
2016-07-27,17464571
2016-07-28,17464571
2016-07-29,17632043
2016-07-30,17632043
2016-07-31,17632043
2016-08-01,17632043
2016-08-02,17632043
2016-08-03,17632043
2016-08-04,17632043
2016-08-05,17632043
2016-08-06,16750440
2016-08-07,16750440
2016-08-08,16750440
2016-08-09,16750440
2016-08-10,16750440
2016-08-11,15917303
2016-08-12,15917303
2016-08-13,15917303
2016-08-14,15917303
2016-08-15,15917303
2016-08-16,15917303
2016-08-17,15121437
2016-08-18,15121437
2016-08-19,15121437
2016-08-20,15121437
2016-08-21,15121437
2016-08-22,14365365
2016-08-23,14365365
2016-08-24,14365365
2016-08-25,14365365
2016-08-26,14365365
2016-08-28,13649131
2016-08-31,13649131
2016-09-01,13649131
2016-09-02,13649131
2016-09-03,12973486
2016-09-04,12973486
2016-09-05,12973486
2016-09-06,12973486
2016-09-07,12973486
2016-09-08,12324811
2016-09-09,12324811
2016-09-10,12324811
2016-09-11,12324811
2016-09-12,12324811
2016-09-13,11708570
2016-09-14,11708570
2016-09-15,11708570
2016-09-16,11708570
2016-09-17,11127446
2016-09-18,11127446
2016-09-19,11127446
2016-09-20,11127446
2016-09-21,11127446
2016-09-22,10571073
2016-09-23,10571073
2016-09-24,10571073
2016-09-25,10571073
2016-09-26,10571073
2016-09-27,10042519
2016-09-28,10042519
2016-09-29,10042519
2016-09-30,10042519
2016-10-01,9545118
2016-10-02,9545118
2016-10-03,9545118
2016-10-04,9545118
2016-10-05,9545118
2016-10-06,9067862
2016-10-07,9067862
2016-10-08,9067862
2016-10-09,9067862
2016-10-10,9067862
2016-10-11,8614468
2016-10-12,8614468
2016-10-13,8614468
2016-10-14,8614468
2016-10-15,8183744
2016-10-16,8183744
2016-10-17,8183744
2016-10-18,8183744
2016-10-19,7776633
2016-10-20,7776633
2016-10-21,7776633
2016-10-22,7776633
2016-10-23,7387801
2016-10-24,7387801
2016-10-25,7387801
2016-10-26,7387801
2016-10-27,7018410
2016-10-28,7018410
2016-10-29,7018410
2016-10-30,7018410
2016-10-31,6667489
2016-11-01,6667489
2016-11-02,6667489
2016-11-03,6667489
2016-11-04,6334114
2016-11-05,6334114
2016-11-06,6334114
2016-11-07,6334114
2016-11-08,6017408
2016-11-09,6017408
2016-11-10,6017408
2016-11-11,6017408
2016-11-12,5716537
2016-11-13,5716537
2016-11-14,5716537
2016-12-08,4950297
2016-12-09,4950297
2016-12-10,5102920
2016-12-11,5102920
2016-12-12,5102920
2016-12-13,5145795
2016-12-14,5145795
2016-12-15,5145795
2016-12-16,5145795
2016-12-17,4932330
2016-12-18,4932330
2016-12-19,4932330
2016-12-20,4932330
2016-12-21,4752166
2016-12-22,4752166
2016-12-23,4752166
2016-12-24,4733522
2016-12-25,4733522
2016-12-26,4733522
2016-12-27,4639013
2016-12-28,4639013
2016-12-29,4639013
2016-12-30,4598761
2016-12-31,4598761
2017-01-01,4598761
2017-01-02,4709059
2017-01-03,4709059
2017-01-04,4709059
2017-01-05,4658928
2017-01-06,4658928
2017-01-07,4443181
2017-01-08,4443181
2017-01-09,4221021
2017-01-10,4221021
2017-01-11,4009969
2017-01-12,4009969
2017-01-13,3831470
2017-01-14,3831470
2017-01-15,3784682
2017-01-16,3784682
2017-01-17,3810056
2017-01-18,3810056
2017-01-19,3810056
2017-01-20,3880109
2017-01-21,3880109
2017-01-22,3962698
2017-01-27,3946450
2017-01-28,4110060
2017-01-29,4110060
2017-01-30,4110060
2017-01-31,4228127
2017-02-01,4228127
2017-02-02,4373656
2017-02-03,4373656
2017-02-04,4439712
2017-02-05,4439712
2017-02-06,4439712
2017-02-07,4496878
2017-02-08,4496878
2017-02-09,4496878
2017-02-10,4509406
2017-02-11,4509406
2017-02-12,4509406
2017-02-13,4500131
2017-02-14,4500131
2017-02-15,4500131
2017-02-16,4491107
2017-02-18,4491107
2017-02-19,4455182
2017-02-20,4455182
2017-02-21,4263883
2017-02-22,4263883
2017-02-23,4263883
2017-02-24,4066196
2017-02-25,4066196
2017-02-26,3902239
2017-02-27,3902239
2017-02-28,3742109
2017-03-01,3742109
2017-03-02,3586782
2017-03-03,3586782
2017-03-04,3550602
2017-03-05,3550602
2017-03-06,3590329
2017-03-07,3590329
2017-03-08,3576302
2017-03-09,3576302
2017-03-10,3427602
2017-03-11,3427602
2017-03-12,3257912
2017-03-13,3257912
2017-03-14,3235792
2017-03-15,3235792
2017-03-16,3293092
2017-03-17,3293092
2017-03-18,3250991
2017-03-19,3250991
2017-03-20,3266216
2017-03-21,3266216
2017-03-22,3238061
2017-03-23,3238061
2017-03-24,3264986
2017-03-25,3264986
2017-03-26,3419208
2017-03-27,3419208
2017-03-28,3380134
2017-03-29,3380134
2017-03-30,3386126
2017-03-31,3386126
2017-04-01,3520783
2017-04-02,3520783
2017-04-03,3693947
2017-04-04,3693947
2017-04-12,4079050
2017-04-13,4143611
2017-04-14,4143611
2017-04-15,4072320
2017-04-16,4072320
2017-04-17,3940751
2017-04-18,3940751
2017-04-19,3843721
2017-04-20,3843721
2017-04-21,3810365
2017-04-22,3810365
2017-04-23,3810365
2017-04-24,3709716
2017-04-25,3691925
2017-04-26,3691925
2017-04-27,3691925
2017-04-28,3650351
2017-04-29,3650351
2017-04-30,3504075
2017-05-01,3504075
2017-05-02,3440235
2017-05-03,3440235
2017-05-04,3512380
2017-05-05,3512380
2017-05-06,3372791
2017-05-07,3372791
2017-05-08,3210658
2017-05-09,3117163
2017-05-10,3117163
2017-05-11,3117163
2017-05-12,3075183
2017-05-13,3075183
2017-05-14,3022177
2017-05-15,3022177
2017-05-16,2954109
2017-05-17,2954109
2017-05-18,2891105
2017-05-19,2891105
2017-05-20,2840244
2017-05-21,2840244
2017-05-22,2840244
2017-05-23,2862017
2017-05-24,2862017
2017-05-25,2781449
2017-05-26,2781449
2017-05-27,2747830
2017-05-28,2747830
2017-05-29,2714698
2017-05-30,2714698
2017-05-31,2682275
2017-06-01,2682275
2017-06-02,2555869
2017-06-03,2555869
2017-06-06,2503005
2017-06-07,2503005
2017-06-08,2432660
2017-06-09,2432660
2017-06-10,2529028
2017-06-11,2529028
2017-06-12,2653317
2017-06-13,2653317
2017-06-14,2584506
2017-06-15,2584506
2017-06-16,2659239
2017-06-17,2659239
2017-06-18,2644942
2017-06-19,2644942
2017-06-20,2622819
2017-06-21,2622819
2017-06-22,2738690
2017-06-23,2738690
2017-06-24,2870323
2017-06-25,2870323
2017-06-26,3009248
2017-06-27,3009248
2017-06-28,3044304
2017-06-29,3044304
2017-06-30,3158692
2017-07-01,3158692
2017-07-02,3272204
2017-07-03,3272204
2017-07-04,3330322
2017-07-05,3330322
2017-07-06,3404469
2017-07-07,3404469
2017-07-08,3404469
2017-07-13,3422175
2017-07-14,3368468
2017-07-15,3368468
2017-07-16,3222732
2017-07-17,3222732
2017-07-18,3188183
2017-07-19,3188183
2017-07-20,3151314
2017-07-21,3151314
2017-07-22,3240751
2017-07-23,3240751
2017-07-24,3257335
2017-07-25,3257335
2017-07-26,3128052
2017-07-27,3128052
2017-07-28,3145382
2017-07-29,3145382
2017-07-30,3098121
2017-07-31,3098121
2017-08-01,3098121
2017-08-02,3092412
2017-08-03,3092412
2017-08-04,3092412
2017-08-05,3065054
2017-08-06,3065054
2017-08-09,3026011
2017-08-10,3000777
2017-08-11,3000777
2017-08-12,3098351
2017-08-13,3098351
2017-08-14,3099743
2017-08-15,3099743
2017-08-16,3114397
2017-08-17,3114397
2017-08-18,3102433
2017-08-19,3102433
2017-08-20,3097382
2017-08-22,3104240
2017-08-23,3104240
2017-08-24,3082184
2017-08-25,3082184
2017-08-26,3055115
2017-08-27,3055115
2017-08-28,3093942
