date_obj,Gadderhammer price
2015-03-26,7937
2015-03-27,7937
2015-03-28,7937
2015-03-29,7937
2015-03-30,7937
2015-03-31,7937
2015-04-01,7937
2015-04-02,7937
2015-04-03,7937
2015-04-04,7711
2015-04-05,7711
2015-04-06,7711
2015-04-07,7711
2015-04-08,7711
2015-04-09,7711
2015-04-10,7711
2015-04-11,7711
2015-04-12,7711
2015-04-13,7711
2015-04-14,7711
2015-04-15,7711
2015-04-16,7711
2015-04-17,7711
2015-04-18,7711
2015-04-19,7711
2015-04-20,7711
2015-04-21,7711
2015-04-22,7711
2015-04-23,7711
2015-04-24,7347
2015-04-25,7347
2015-04-26,7347
2015-04-27,7347
2015-04-28,7347
2015-04-29,7347
2015-04-30,7347
2015-05-01,7347
2015-05-02,7347
2015-05-03,7347
2015-05-04,7347
2015-05-05,7347
2015-05-06,7347
2015-05-07,7347
2015-05-08,7347
2015-05-09,7347
2015-05-10,7347
2015-05-11,7347
2015-05-12,7347
2015-05-13,7347
2015-05-14,6992
2015-05-15,6992
2015-05-16,6992
2015-05-17,6992
2015-05-18,6992
2015-05-19,6992
2015-05-20,6992
2015-05-21,6992
2015-05-22,6992
2015-05-23,6992
2015-05-24,6992
2015-05-25,6992
2015-05-26,6992
2015-05-27,6992
2015-05-28,6992
2015-05-29,6992
2015-05-30,6652
2015-05-31,6652
2015-06-01,6652
2015-06-02,6652
2015-06-03,6652
2015-06-04,6652
2015-06-05,6652
2015-06-06,6652
2015-06-07,6652
2015-06-08,6652
2015-06-09,6652
2015-06-10,6652
2015-06-11,6652
2015-06-12,6652
2015-06-13,6652
2015-06-14,6652
2015-06-15,6378
2015-06-16,6378
2015-06-17,6378
2015-06-18,6378
2015-06-19,6378
2015-06-20,6378
2015-06-21,6378
2015-06-22,6378
2015-06-23,6378
2015-06-24,6378
2015-06-25,6378
2015-06-26,6378
2015-06-27,6378
2015-06-28,6378
2015-06-29,6378
2015-06-30,6378
2015-07-01,6378
2015-07-02,6378
2015-07-03,6378
2015-07-04,6159
2015-07-05,6159
2015-07-06,6159
2015-07-07,6159
2015-07-08,6159
2015-07-09,6159
2015-07-10,6159
2015-07-11,6159
2015-07-12,6159
2015-07-13,6159
2015-07-14,6159
2015-07-15,6159
2015-07-16,6159
2015-07-17,6159
2015-07-18,6159
2015-07-19,6159
2015-07-20,6159
2015-07-21,6159
2015-07-22,5889
2015-07-23,5889
2015-07-24,5889
2015-07-25,5889
2015-07-26,5889
2015-07-27,5889
2015-07-28,5889
2015-07-29,5889
2015-07-30,5889
2015-07-31,5889
2015-08-01,5889
2015-08-02,5889
2015-08-03,5889
2015-08-04,5889
2015-08-05,5889
2015-08-06,5889
2015-08-07,5889
2015-08-08,5889
2015-08-09,5889
2015-08-10,5624
