date_obj,Armadyl%20plateskirt price
2015-03-26,38854
2015-03-27,38854
2015-03-28,39308
2015-03-29,38217
2015-03-30,37759
2015-03-31,37759
2015-04-01,38614
2015-04-02,38614
2015-04-03,38988
2015-04-04,39399
2015-04-05,39399
2015-04-06,39437
2015-04-07,39437
2015-04-08,39797
2015-04-09,39797
2015-04-10,39533
2015-04-11,39533
2015-04-12,39386
2015-04-13,39386
2015-04-14,39476
2015-04-15,39139
2015-04-16,39139
2015-04-17,39259
2015-04-18,39381
2015-04-19,40021
2015-04-20,40021
2015-04-21,39254
2015-04-22,39254
2015-04-23,40615
2015-04-24,40615
2015-04-25,41844
2015-04-26,41844
2015-04-27,40357
2015-04-28,39700
2015-04-29,39700
2015-04-30,40177
2015-05-01,39938
2015-05-02,40639
2015-05-03,40639
2015-05-04,40178
2015-05-05,40178
2015-05-06,40975
2015-05-07,40975
2015-05-08,40359
2015-05-09,40753
2015-05-10,40753
2015-05-11,40325
2015-05-12,39869
2015-05-13,39869
2015-05-14,39317
2015-05-15,39317
2015-05-16,38573
2015-05-17,38179
2015-05-18,38179
2015-05-19,37474
2015-05-20,37474
2015-05-21,37474
2015-05-22,37909
2015-05-23,37909
2015-05-24,37977
2015-05-25,38397
2015-05-26,38397
2015-05-27,39093
2015-05-28,39093
2015-05-29,38780
2015-05-30,38330
2015-05-31,38330
2015-06-01,39135
2015-06-02,39135
2015-06-03,40064
2015-06-04,40064
2015-06-05,39458
2015-06-06,39458
2015-06-07,39418
2015-06-08,39418
2015-06-09,40428
2015-06-10,40428
2015-06-11,40761
2015-06-12,40761
2015-06-13,41072
2015-06-14,41072
2015-06-15,41627
2015-06-16,41627
2015-06-17,41141
2015-06-18,41141
2015-06-19,40306
2015-06-20,40306
2015-06-21,39795
2015-06-22,39795
2015-06-23,39533
2015-06-24,39533
2015-06-25,39289
2015-06-26,39289
2015-06-27,39956
2015-06-28,39956
2015-06-29,40154
2015-06-30,40154
2015-07-01,40483
2015-07-02,40483
2015-07-03,39601
2015-07-04,39601
2015-07-05,38298
2015-07-06,38298
2015-07-07,37705
2015-07-08,37705
2015-07-09,38199
2015-07-10,38199
2015-07-11,38731
2015-07-12,38731
2015-07-13,38731
2015-07-14,38980
2015-07-15,38980
2015-07-16,39670
2015-07-17,39670
2015-07-18,39513
2015-07-19,39513
2015-07-20,39945
2015-07-21,39945
2015-07-22,40271
2015-07-23,40271
2015-07-24,40672
2015-07-25,40672
2015-07-26,40672
2015-07-27,40360
2015-07-28,40360
2015-07-29,38968
2015-07-30,38968
2015-07-31,38968
2015-08-01,38260
2015-08-02,38260
2015-08-03,38181
2015-08-04,38181
2015-08-05,37065
2015-08-06,37065
2015-08-07,37043
2015-08-08,37043
2015-08-09,37478
2015-08-10,37478
2015-08-11,38415
2015-08-12,38415
2015-08-13,39090
2015-08-14,38862
2015-08-15,38862
2015-08-16,38824
2015-08-17,38824
2015-08-18,39223
2015-08-19,38429
2015-08-20,38429
2015-08-21,37588
2015-08-22,38043
2015-08-23,38043
2015-08-24,38822
2015-08-25,38822
2015-08-26,38822
2015-08-27,38396
2015-08-28,38396
2015-08-29,39111
2015-08-30,39111
2015-08-31,37782
2015-09-01,37782
2015-09-02,39005
2015-09-03,39005
2015-09-04,39680
2015-09-05,39680
2015-09-06,39680
2015-09-07,39986
2015-09-08,39986
2015-09-09,40267
2015-09-10,40267
2015-09-11,39557
2015-09-12,39557
2015-09-13,39431
2015-09-14,39431
2015-09-15,39676
2015-09-16,39676
2015-09-17,40365
2015-09-18,40365
2015-09-19,41220
2015-09-20,41220
2015-09-21,41220
2015-09-22,41033
2015-09-23,41033
2015-09-24,41624
2015-09-25,41624
2015-09-27,42040
2015-09-28,41126
2015-09-29,41126
2015-09-30,41345
2015-10-05,40641
2015-10-06,41311
2015-10-07,41311
2015-10-08,41516
2015-10-09,41516
2015-10-10,41649
2015-10-11,41447
2015-10-12,41447
2015-10-13,40631
2015-10-14,40631
2015-10-15,40887
2015-10-16,40887
2015-10-17,40887
2015-10-18,39056
2015-10-19,39056
2015-10-20,38510
2015-10-22,38510
2015-10-23,38804
2015-10-24,38804
2015-10-25,39078
2015-10-26,39078
2015-10-27,40405
2015-10-28,40405
2015-10-29,40405
2015-10-30,40615
2015-10-31,40615
2015-11-01,40063
2015-11-02,40063
2015-11-03,41320
2015-11-04,41320
2015-11-05,40873
2015-11-06,40873
2015-11-07,40680
2015-11-08,40680
2015-11-09,40680
2015-11-10,39834
2015-11-11,39834
2015-11-12,39834
2015-11-13,39351
2015-11-14,39351
2015-11-15,39737
2015-11-16,39737
2015-11-17,38932
2015-11-18,38932
2015-11-19,38519
2015-11-20,38519
2015-11-21,38519
2015-11-22,37895
2015-11-23,37895
2015-11-24,37895
2015-11-25,38137
2015-11-26,38137
2015-11-27,38137
2015-11-28,38373
2015-11-29,38373
2015-11-30,38543
2015-12-01,38543
2015-12-02,38543
2015-12-03,39060
2015-12-04,39060
2015-12-05,39060
2015-12-06,38662
2015-12-07,38662
2015-12-08,39064
2015-12-09,39064
2015-12-10,38579
2015-12-11,38579
2015-12-12,37204
2015-12-13,37204
2015-12-14,38503
2015-12-15,39066
2015-12-16,39066
2015-12-17,39915
2015-12-18,39686
2015-12-19,39686
2015-12-20,39278
2015-12-21,39278
2015-12-22,40191
2015-12-23,40191
2015-12-24,41014
2015-12-25,41014
2015-12-26,40847
2015-12-27,40847
2015-12-28,41488
2015-12-29,41488
2015-12-30,41790
2015-12-31,41790
2016-01-01,41790
2016-01-02,41145
2016-01-03,42033
2016-01-04,42033
2016-01-05,42303
2016-01-06,42303
2016-01-07,41871
2016-01-08,41871
2016-01-09,42636
2016-01-10,42636
2016-01-11,43013
2016-01-12,43013
2016-01-13,41787
2016-01-14,41375
2016-01-15,41375
2016-01-16,40707
2016-01-17,40707
2016-01-18,40006
2016-01-19,40006
2016-01-20,39771
2016-01-21,39771
2016-01-22,39545
2016-01-23,39545
2016-01-24,39476
2016-01-25,39476
2016-01-26,40392
2016-01-27,40392
2016-01-28,40377
2016-01-29,42169
2016-01-30,42169
2016-01-31,43482
2016-02-01,44396
2016-02-02,44396
2016-02-03,42896
2016-02-04,42896
2016-02-05,41553
2016-02-06,40301
2016-02-07,40301
2016-02-08,39298
2016-02-09,39298
2016-02-10,38863
2016-02-11,38863
2016-02-12,38248
2016-02-13,38617
2016-02-14,38617
2016-02-15,40035
2016-02-16,40035
2016-02-17,39279
2016-02-18,39279
2016-02-19,40380
2016-02-20,40380
2016-02-21,41392
2016-02-22,41392
2016-02-23,40972
2016-02-24,40972
2016-02-25,41139
2016-02-26,41139
2016-02-27,39854
2016-02-28,39854
2016-02-29,39748
2016-03-01,39748
2016-03-02,39415
2016-03-03,39415
2016-03-04,39350
2016-03-05,39350
2016-03-06,39564
2016-03-07,39564
2016-03-08,39564
2016-03-09,39997
2016-03-10,39997
2016-03-11,40386
2016-03-12,40386
2016-03-13,39801
2016-03-14,39801
2016-03-15,39106
2016-03-16,38553
2016-03-17,38553
2016-03-18,38542
2016-03-19,38542
2016-03-20,37799
2016-03-21,37799
2016-03-22,38089
2016-03-23,38288
2016-03-24,38288
2016-03-25,38884
2016-03-26,38884
2016-03-27,39037
2016-03-28,39624
2016-03-29,39624
2016-03-30,40629
2016-03-31,40629
2016-04-01,41523
2016-04-02,41523
2016-04-03,42733
2016-04-04,42733
2016-04-05,42248
2016-04-06,42248
2016-04-07,41724
2016-04-08,41724
2016-04-09,41295
2016-04-10,42359
2016-04-11,42359
2016-04-12,41602
2016-04-13,41602
2016-04-14,39675
2016-04-15,40095
2016-04-16,40095
2016-04-17,39211
2016-04-18,39601
2016-04-19,39601
2016-04-20,39259
2016-04-21,39259
2016-04-22,39825
2016-04-23,39891
2016-04-24,39891
2016-04-25,41002
2016-04-26,41002
2016-04-27,42440
2016-04-28,42440
2016-04-29,42375
2016-04-30,42375
2016-05-01,42556
2016-05-02,42556
2016-05-03,42541
2016-05-04,42541
2016-05-05,42644
2016-05-06,42644
2016-05-07,41631
2016-05-08,41631
2016-05-09,41561
2016-05-10,40821
2016-05-11,40821
2016-05-12,40080
2016-05-13,41293
2016-05-14,42959
2016-05-15,43352
2016-05-16,43352
2016-05-17,42418
2016-05-18,42055
2016-05-19,42055
2016-05-22,40217
2016-05-23,38504
2016-05-24,38504
2016-05-25,39375
2016-05-26,39375
2016-05-27,40749
2016-05-28,40749
2016-05-29,40882
2016-05-30,40882
2016-05-31,41509
2016-06-01,41257
2016-06-02,41257
2016-06-03,40723
2016-06-04,39354
2016-06-05,39354
2016-06-06,39250
2016-06-07,39250
2016-06-08,38036
2016-06-09,38036
2016-06-10,38449
2016-06-11,38449
2016-06-12,38469
2016-06-13,38469
2016-06-14,38277
2016-06-15,38277
2016-06-16,39093
2016-06-17,39522
2016-06-18,39522
2016-06-19,40134
2016-06-20,40134
2016-06-21,41688
2016-06-22,41688
2016-06-23,42459
2016-06-24,42459
2016-06-25,42833
2016-06-26,42833
2016-06-27,41581
2016-06-28,40209
2016-06-29,40209
2016-06-30,41147
2016-07-01,41039
2016-07-02,41039
2016-07-03,40227
2016-07-04,40873
2016-07-05,40873
2016-07-06,39862
2016-07-07,39862
2016-07-08,39997
2016-07-09,39997
2016-07-10,39861
2016-07-11,40449
2016-07-12,40449
2016-07-13,40582
2016-07-14,40582
2016-07-15,40300
2016-07-16,40062
2016-07-17,40062
2016-07-18,40174
2016-07-23,40608
2016-07-24,40506
2016-07-25,40506
2016-07-26,39697
2016-07-27,39697
2016-07-28,40192
2016-07-29,40192
2016-07-30,40458
2016-07-31,40458
2016-08-01,40458
2016-08-02,40911
2016-08-03,40911
2016-08-04,41421
2016-08-05,41421
2016-08-06,41764
2016-08-07,41905
2016-08-08,41905
2016-08-09,41728
2016-08-10,41728
2016-08-11,42161
2016-08-12,42161
2016-08-13,42010
2016-08-14,42010
2016-08-15,40569
2016-08-16,40569
2016-08-17,41580
2016-08-18,41580
