date_obj,Adamant%20halberd price
2015-03-26,30034
2015-03-27,30034
2015-03-28,28549
2015-03-29,28549
2015-03-30,27148
2015-03-31,27148
2015-04-01,27148
2015-04-02,25790
2015-04-03,25790
2015-04-04,24500
2015-04-05,24500
2015-04-06,24500
2015-04-07,23275
2015-04-08,23275
2015-04-09,23275
2015-04-10,22111
2015-04-11,22111
2015-04-12,22111
2015-04-13,21005
2015-04-14,21005
2015-04-15,21005
2015-04-16,19954
2015-04-17,19954
2015-04-18,19954
2015-04-19,18956
2015-04-20,18956
2015-04-21,18956
2015-04-22,18023
2015-04-23,18023
2015-04-24,18023
2015-04-25,17121
2015-04-26,17121
2015-04-27,17121
2015-04-28,16599
2015-04-29,16599
2015-04-30,16599
2015-05-01,16065
2015-05-02,16065
2015-05-03,16065
2015-05-04,15469
2015-05-05,15469
2015-05-06,14947
2015-05-07,14947
2015-05-08,14626
2015-05-09,14626
2015-05-10,13953
2015-05-11,13953
2015-05-12,13255
2015-05-13,13255
2015-05-14,12644
2015-05-15,12644
2015-05-16,12644
2015-05-17,12834
2015-05-18,12834
2015-05-19,12834
2015-05-20,12858
2015-05-21,12858
2015-05-22,12858
2015-05-23,13105
2015-05-24,13105
2015-05-25,13117
2015-05-26,13117
2015-05-27,13117
2015-05-28,13323
2015-05-29,13323
2015-05-30,13204
2015-05-31,13204
2015-06-01,13204
2015-06-02,12938
2015-06-03,12938
2015-06-04,12938
2015-06-05,12752
2015-06-06,12752
2015-06-07,12752
2015-06-08,12583
2015-06-09,12583
2015-06-10,12568
2015-06-11,12568
2015-06-12,12568
2015-06-13,12733
2015-06-14,12733
2015-06-15,12733
2015-06-16,12798
2015-06-17,12798
2015-06-18,12798
2015-06-19,12832
2015-06-20,12832
2015-06-21,12832
2015-06-22,12886
2015-06-23,12886
2015-06-24,12886
2015-06-25,12955
2015-06-26,12955
2015-06-27,12955
2015-06-28,13127
2015-06-29,13127
2015-06-30,13127
2015-07-01,13158
2015-07-02,13158
2015-07-03,13158
2015-07-04,13459
2015-07-05,13459
2015-07-06,13459
2015-07-07,13291
2015-07-08,13291
2015-07-09,13291
2015-07-10,12794
2015-07-11,12794
2015-07-12,12794
2015-07-13,12209
2015-07-14,12209
2015-07-15,12209
2015-07-16,12030
2015-07-17,12030
2015-07-18,12030
2015-07-19,12201
2015-07-20,12201
2015-07-21,12201
2015-07-22,12380
2015-07-23,12380
2015-07-24,12380
2015-07-25,12342
2015-07-26,12342
2015-07-27,12342
2015-07-28,12631
2015-07-29,12631
2015-07-30,12746
2015-07-31,12746
2015-08-01,12746
2015-08-02,12880
2015-08-03,12880
2015-08-04,12880
2015-08-05,13027
2015-08-06,13027
2015-08-07,13027
2015-08-08,13350
2015-08-09,13350
2015-08-10,13376
2015-08-11,13376
2015-08-12,13376
2015-08-13,13376
2015-08-14,13376
2015-08-15,13071
2015-08-16,13071
2015-08-17,13191
2015-08-18,13191
2015-08-19,13191
2015-08-20,13118
2015-08-21,13118
2015-08-22,12894
2015-08-23,12894
2015-08-24,12894
2015-08-25,12894
2015-08-26,12623
2015-08-27,12623
2015-08-28,12689
2015-08-29,12689
2015-08-30,12689
2015-08-31,12758
2015-09-01,12758
2015-09-02,12758
2015-09-03,12865
2015-09-04,12865
2015-09-05,12865
2015-09-06,12833
2015-09-07,12833
2015-09-08,12833
2015-09-09,12936
2015-09-10,12936
2015-09-11,12936
2015-09-12,12452
2015-09-13,12452
2015-09-14,12452
2015-09-15,12368
2015-09-16,12368
2015-09-17,12368
2015-09-18,12368
2015-09-19,12543
2015-09-20,12543
2015-09-21,12543
2015-09-22,12795
2015-09-23,12795
2015-09-24,12795
2015-09-25,12795
2015-09-27,12782
2015-09-28,12782
2015-09-29,12782
2015-09-30,12661
2015-10-05,12619
2015-10-06,12619
2015-10-07,12619
2015-10-08,11988
2015-10-09,11988
2015-10-10,11988
2015-10-11,11618
2015-10-12,11618
2015-10-13,11618
2015-10-14,11618
2015-10-15,11240
2015-10-16,11240
2015-10-17,11240
2015-10-18,11240
2015-10-19,10938
2015-10-20,10938
2015-10-22,10938
2015-10-23,10412
2015-10-24,10412
2015-10-25,10412
2015-10-26,10445
2015-10-27,10445
2015-10-28,10445
2015-10-29,10445
2015-10-30,10562
2015-10-31,10562
2015-11-01,10562
2015-11-02,10562
2015-11-03,10783
2015-11-04,10783
2015-11-05,10783
2015-11-06,10783
2015-11-07,11046
2015-11-08,11046
2015-11-09,11046
2015-11-10,11046
2015-11-11,11370
2015-11-12,11370
2015-11-13,11370
2015-11-14,11370
2015-11-15,11521
2015-11-16,11521
2015-11-17,11521
2015-11-18,11521
2015-11-19,11841
2015-11-20,11841
2015-11-21,11841
2015-11-22,11841
2015-11-23,11621
2015-11-24,11621
2015-11-25,11621
2015-11-26,11047
2015-11-27,11047
2015-11-28,11047
2015-11-29,10568
2015-11-30,10568
2015-12-01,10568
2015-12-02,10132
2015-12-03,10132
2015-12-04,10132
2015-12-05,10132
2015-12-06,10074
2015-12-07,10074
2015-12-08,10074
2015-12-09,10308
2015-12-10,10308
2015-12-11,10308
2015-12-12,10308
2015-12-13,10676
2015-12-14,10676
2015-12-15,10676
2015-12-16,10871
2015-12-17,10871
2015-12-18,10871
2015-12-19,10935
2015-12-20,10935
2015-12-21,10935
2015-12-22,10635
2015-12-23,10635
2015-12-24,10635
2015-12-25,10603
2015-12-26,10603
2015-12-27,10603
2015-12-28,10522
2015-12-29,10522
2015-12-30,10550
2015-12-31,10550
2016-01-01,10550
2016-01-02,10550
