date_obj,Holy%20symbol price
2015-03-26,2924
2015-03-27,2924
2015-03-28,2777
2015-03-29,2638
2015-03-30,2506
2015-03-31,2380
2015-04-01,2262
2015-04-02,2148
2015-04-03,2040
2015-04-04,1938
2015-04-05,1841
2015-04-06,1748
2015-04-07,1660
2015-04-08,1660
2015-04-09,1577
2015-04-10,1498
2015-04-11,1423
2015-04-12,1351
2015-04-13,1283
2015-04-14,1283
2015-04-15,1218
2015-04-16,1158
2015-04-17,1100
2015-04-18,1048
2015-04-19,996
2015-04-20,996
2015-04-21,946
2015-04-22,946
2015-04-23,898
2015-04-24,872
2015-04-25,849
2015-04-26,835
2015-04-27,814
2015-04-28,773
2015-04-29,773
2015-04-30,736
2015-05-01,718
2015-05-02,719
2015-05-03,719
2015-05-04,712
2015-05-05,712
2015-05-06,693
2015-05-07,677
2015-05-08,677
2015-05-09,646
2015-05-10,638
2015-05-11,638
2015-05-12,649
2015-05-13,649
2015-05-14,634
2015-05-15,634
2015-05-16,608
2015-05-17,617
2015-05-18,596
2015-05-19,596
2015-05-20,605
2015-05-21,605
2015-05-22,627
2015-05-23,627
2015-05-24,649
2015-05-25,673
2015-05-26,673
2015-05-27,674
2015-05-28,667
2015-05-29,685
2015-05-30,687
2015-05-31,687
2015-06-01,660
2015-06-02,660
2015-06-03,638
2015-06-04,639
2015-06-05,646
2015-06-06,663
2015-06-07,682
2015-06-08,682
2015-06-09,693
2015-06-10,698
2015-06-11,698
2015-06-12,690
2015-06-13,663
2015-06-14,668
2015-06-15,642
2015-06-16,622
2015-06-17,622
2015-06-18,590
2015-06-19,590
2015-06-20,592
2015-06-21,592
2015-06-22,589
2015-06-23,589
2015-06-24,596
2015-06-25,596
2015-06-26,583
2015-06-27,583
2015-06-28,573
2015-06-29,573
2015-06-30,548
2015-07-01,530
2015-07-02,530
2015-07-03,520
2015-07-04,539
2015-07-05,539
2015-07-06,520
2015-07-07,514
2015-07-08,522
2015-07-09,522
2015-07-10,513
2015-07-11,513
2015-07-12,505
2015-07-13,500
2015-07-14,491
2015-07-15,477
2015-07-16,472
2015-07-17,462
2015-07-18,462
2015-07-19,440
2015-07-20,418
2015-07-21,418
2015-07-22,398
2015-07-23,398
2015-07-24,378
2015-07-25,378
2015-07-26,359
2015-07-27,341
2015-07-28,323
2015-07-29,306
2015-07-30,306
2015-07-31,291
2015-08-01,276
2015-08-02,265
2015-08-03,271
2015-08-04,271
2015-08-05,276
2015-08-06,288
2015-08-07,288
2015-08-08,300
2015-08-09,313
2015-08-10,317
2015-08-11,329
2015-08-12,329
2015-08-13,345
2015-08-14,363
2015-08-15,363
2015-08-16,382
2015-08-17,382
2015-08-18,398
2015-08-19,398
2015-08-20,418
2015-08-21,418
2015-08-22,435
2015-08-23,435
2015-08-24,443
2015-08-25,443
2015-08-26,443
2015-08-27,462
2015-08-28,462
2015-08-29,486
2015-08-30,486
2015-08-31,510
2015-09-01,510
2015-09-02,525
2015-09-03,525
2015-09-04,544
2015-09-05,544
2015-09-06,550
2015-09-07,550
2015-09-08,559
2015-09-09,559
2015-09-10,560
2015-09-11,560
2015-09-12,544
2015-09-13,544
2015-09-14,534
2015-09-15,534
2015-09-16,534
2015-09-17,534
2015-09-18,515
2015-09-19,515
2015-09-20,510
2015-09-21,510
2015-09-22,531
2015-09-23,531
2015-09-24,519
2015-09-25,519
2015-09-27,526
2015-09-28,543
2015-09-29,543
2015-09-30,530
2015-10-05,534
2015-10-06,534
2015-10-07,529
2015-10-08,529
2015-10-09,518
2015-10-10,518
2015-10-11,515
2015-10-12,515
2015-10-13,506
2015-10-14,506
2015-10-15,525
2015-10-16,525
2015-10-17,512
2015-10-18,512
2015-10-19,519
2015-10-20,519
2015-10-22,524
2015-10-23,545
2015-10-24,545
2015-10-25,547
2015-10-26,547
2015-10-27,548
2015-10-29,563
2015-10-30,563
2015-10-31,559
2015-11-01,559
2015-11-02,560
2015-11-03,560
2015-11-04,570
2015-11-05,570
2015-11-06,549
2015-11-07,548
2015-11-08,548
2015-11-09,548
2015-11-10,573
2015-11-11,573
