date_obj,Ourg%20bones price
2015-03-26,4643
2015-03-27,4643
2015-03-28,4643
2015-03-29,4643
2015-03-30,4841
2015-03-31,4841
2015-04-01,4841
2015-04-02,4841
2015-04-03,5005
2015-04-04,5005
2015-04-05,5005
2015-04-06,5005
2015-04-07,5236
2015-04-08,5236
2015-04-09,5236
2015-04-10,5236
2015-04-11,5466
2015-04-12,5466
2015-04-13,5466
2015-04-14,5466
2015-04-15,5693
2015-04-16,5693
2015-04-17,5693
2015-04-18,5693
2015-04-19,5826
2015-04-20,5826
2015-04-21,5826
2015-04-22,5826
2015-04-23,5826
2015-04-24,6089
2015-04-25,6089
2015-04-26,6089
2015-04-27,6089
2015-04-28,6322
2015-04-29,6322
2015-04-30,6322
2015-05-01,6322
2015-05-02,6535
2015-05-03,6535
2015-05-04,6535
2015-05-05,6535
2015-05-06,6847
2015-05-07,6847
2015-05-08,6847
2015-05-09,6847
2015-05-10,7095
2015-05-11,7095
2015-05-12,7095
2015-05-13,7095
2015-05-14,7095
2015-05-15,7321
2015-05-16,7321
2015-05-17,7321
2015-05-18,7321
2015-05-19,7657
2015-05-20,7657
2015-05-21,7657
2015-05-22,7657
2015-05-23,7657
2015-05-24,8021
2015-05-25,8021
2015-05-26,8021
2015-05-27,8021
2015-05-28,8423
2015-05-29,8423
2015-05-30,8596
2015-05-31,8596
2015-06-01,8596
2015-06-02,8963
2015-06-03,8963
2015-06-04,8963
2015-06-05,9357
2015-06-06,9357
2015-06-07,9357
2015-06-08,9825
2015-06-09,9825
2015-06-10,9825
2015-06-11,10250
2015-06-12,10250
2015-06-13,10250
2015-06-14,10755
2015-06-15,10755
2015-06-16,10755
2015-06-17,10755
2015-06-18,11293
2015-06-19,11293
2015-06-20,11293
2015-06-21,11293
2015-06-22,11821
2015-06-23,11821
2015-06-24,11821
2015-06-25,11821
2015-06-26,12101
2015-06-27,12101
2015-06-28,12101
2015-06-29,12101
2015-06-30,12679
2015-07-01,12679
2015-07-02,12679
2015-07-03,13162
2015-07-04,13162
2015-07-05,13162
2015-07-06,13162
2015-07-07,12982
2015-07-08,12982
2015-07-09,12982
2015-07-10,12982
2015-07-11,13108
2015-07-12,13108
2015-07-13,13108
2015-07-14,13108
2015-07-15,13528
2015-07-16,13528
2015-07-17,13528
2015-07-18,13528
2015-07-19,13898
2015-07-20,13898
2015-07-21,13898
2015-07-22,13999
2015-07-23,13999
2015-07-24,13999
2015-07-25,13999
2015-07-26,14278
2015-07-27,14278
2015-07-28,14278
2015-07-29,14920
2015-07-30,14920
2015-07-31,14920
2015-08-01,14920
2015-08-02,15577
2015-08-03,15577
2015-08-04,15577
2015-08-05,16000
2015-08-06,16000
2015-08-07,16000
2015-08-08,16504
2015-08-09,16504
2015-08-10,16504
2015-08-11,17137
2015-08-12,17137
2015-08-13,17137
2015-08-14,17249
2015-08-15,17249
2015-08-16,17249
2015-08-17,17249
2015-08-18,17264
2015-08-19,17264
2015-08-20,17264
2015-08-21,17113
2015-08-22,17113
2015-08-23,17113
2015-08-24,17372
