date_obj,Malediction%20shard%203 price
2015-03-26,2790000
2015-03-27,2790000
2015-03-28,2790000
2015-03-29,2790000
2015-03-30,2790000
2015-03-31,2879094
2015-04-01,2879094
2015-04-02,2879094
2015-04-03,2879094
2015-04-04,2879094
2015-04-05,2879094
2015-04-06,2879094
2015-04-07,2879094
2015-04-08,2879094
2015-04-09,2879094
2015-04-10,2879094
2015-04-11,2879094
2015-04-12,2879094
2015-04-13,2879094
2015-04-14,2879094
2015-04-15,2879094
2015-04-16,2879094
2015-04-17,2879094
2015-04-18,2879094
2015-04-19,2879094
2015-04-20,2879094
2015-04-21,2879094
2015-04-22,2879094
2015-04-23,2879094
2015-04-24,2879094
2015-04-25,2879094
2015-04-26,2879094
2015-04-27,2879094
2015-04-28,2879094
2015-04-29,2879094
2015-04-30,2879094
2015-05-01,2879094
2015-05-02,2879094
2015-05-03,2879094
2015-05-04,2879094
2015-05-05,2879094
2015-05-06,2879094
2015-05-07,2879094
2015-05-08,2879094
2015-05-09,2879094
2015-05-10,2879094
2015-05-11,2879094
2015-05-12,2879094
2015-05-13,2879094
2015-05-14,2879094
2015-05-15,2879094
2015-05-16,2879094
2015-05-17,2879094
2015-05-18,2886101
2015-05-19,2886101
2015-05-20,2886101
2015-05-21,2886101
2015-05-22,2886101
2015-05-23,2886101
2015-05-24,2886101
2015-05-25,2886101
2015-05-26,2886101
2015-05-27,2886101
2015-05-28,2886101
2015-05-29,2886101
2015-05-30,2886101
2015-05-31,2886101
2015-06-01,2886101
2015-06-02,2886101
2015-06-03,2886101
2015-06-04,2886101
2015-06-05,2886101
2015-06-06,2886101
2015-06-07,2886101
2015-06-08,2886101
2015-06-09,2886101
2015-06-10,2886101
2015-06-11,2886101
2015-06-12,2886101
2015-06-13,2886101
2015-06-14,2886101
2015-06-15,2886101
2015-06-16,2886101
2015-06-17,2886101
2015-06-18,2823063
2015-06-19,2823063
2015-06-20,2823063
2015-06-21,2823063
2015-06-22,2823063
2015-06-23,2823063
2015-06-24,2823063
2015-06-25,2823063
2015-06-26,2823063
2015-06-27,2823063
2015-06-28,2823063
2015-06-29,2823063
2015-06-30,2823063
2015-07-01,2823063
2015-07-02,2823063
2015-07-03,2823063
2015-07-04,2823063
2015-07-05,2823063
2015-07-06,2823063
2015-07-07,2823063
2015-07-08,2823063
2015-07-09,2823063
2015-07-10,2823063
2015-07-11,2823063
2015-07-12,2823063
2015-07-13,2823063
2015-07-14,2823063
2015-07-15,2823063
2015-07-16,2823063
2015-07-17,2823063
2015-07-18,2823063
2015-07-19,2823063
2015-07-20,2863899
2015-07-21,2863899
2015-07-22,2863899
2015-07-23,2863899
2015-07-24,2863899
2015-07-25,2863899
2015-07-26,2863899
2015-07-27,2863899
2015-07-28,2863899
2015-07-29,2863899
2015-07-30,2863899
2015-07-31,2863899
2015-08-01,2863899
2015-08-02,2863899
2015-08-03,2863899
2015-08-04,2863899
2015-08-05,2863899
2015-08-06,2863899
2015-08-07,2863899
2015-08-08,2863899
2015-08-09,2863899
2015-08-10,2863899
2015-08-11,2863899
2015-08-12,2863899
2015-08-13,2863899
2015-08-14,2863899
2015-08-15,2863899
2015-08-16,2863899
2015-08-17,2863899
2015-08-18,2863899
2015-08-19,2863899
2015-08-20,2863899
2015-08-21,2863899
2015-08-22,2771215
2015-08-23,2771215
2015-08-24,2771215
2015-08-25,2771215
2015-08-26,2771215
2015-08-27,2771215
2015-08-28,2771215
2015-08-29,2771215
2015-08-30,2771215
2015-08-31,2771215
2015-09-01,2771215
2015-09-02,2771215
2015-09-03,2771215
2015-09-04,2771215
2015-09-05,2771215
2015-09-06,2771215
2015-09-07,2771215
2015-09-08,2771215
2015-09-09,2771215
2015-09-10,2771215
2015-09-11,2771215
2015-09-12,2771215
2015-09-13,2771215
2015-09-14,2771215
2015-09-15,2771215
2015-09-16,2771215
2015-09-17,2771215
2015-09-18,2771215
2015-09-19,2771215
2015-09-20,2771215
2015-09-21,2771215
2015-09-22,2771215
2015-09-23,2771215
2015-09-24,2771215
2015-09-25,2771215
2015-09-27,2771215
2015-09-28,2760960
2015-09-29,2760960
2015-09-30,2760960
2015-10-05,2760960
2015-10-06,2760960
2015-10-07,2760960
2015-10-08,2760960
2015-10-09,2760960
2015-10-10,2760960
2015-10-11,2760960
