date_obj,Black%20platebody%20(t) price
2015-03-26,36657
2015-03-27,36657
2015-03-28,36657
2015-03-29,36657
2015-03-30,35146
2015-03-31,35146
2015-04-01,35146
2015-04-02,35146
2015-04-03,35146
2015-04-04,35146
2015-04-05,35146
2015-04-06,33993
2015-04-07,33993
2015-04-08,33993
2015-04-09,33993
2015-04-10,33993
2015-04-11,32570
2015-04-12,32570
2015-04-13,32570
2015-04-14,32570
2015-04-15,32570
2015-04-16,32570
2015-04-17,31301
2015-04-18,31301
2015-04-19,31301
2015-04-20,31301
2015-04-21,31301
2015-04-22,30352
2015-04-23,30352
2015-04-24,30352
2015-04-25,30352
2015-04-26,30352
2015-04-27,29886
2015-04-28,29886
2015-04-29,29886
2015-04-30,29886
2015-05-01,29886
2015-05-02,28925
2015-05-03,28925
2015-05-04,28925
2015-05-05,28925
2015-05-06,28925
2015-05-07,28925
2015-05-08,28925
2015-05-09,27737
2015-05-10,27737
2015-05-11,27737
2015-05-12,27737
2015-05-13,27737
2015-05-14,27737
2015-05-15,26490
2015-05-16,26490
2015-05-17,26490
2015-05-18,26490
2015-05-19,26490
2015-05-20,26490
2015-05-21,26490
2015-05-22,25291
2015-05-23,25291
2015-05-24,25291
2015-05-25,25291
2015-05-26,25291
2015-05-27,25291
2015-05-28,24084
2015-05-29,24084
2015-05-30,24084
2015-05-31,24084
2015-06-01,23411
2015-06-02,23411
2015-06-03,23411
2015-06-04,23411
2015-06-05,23411
2015-06-06,23059
2015-06-07,23059
2015-06-08,23059
2015-06-09,23059
2015-06-10,22709
2015-06-11,22709
2015-06-12,22709
2015-06-13,22709
2015-06-14,22709
2015-06-15,22636
2015-06-16,22636
2015-06-17,22636
2015-06-18,22636
2015-06-19,22580
2015-06-20,22580
2015-06-21,22580
2015-06-22,22580
2015-06-23,22580
2015-06-24,22151
2015-06-25,22151
2015-06-26,22151
2015-06-27,22151
2015-06-28,21457
2015-06-29,21457
2015-06-30,21457
2015-07-01,21457
2015-07-02,21457
2015-07-03,21641
2015-07-04,21641
2015-07-05,21641
2015-07-06,21641
2015-07-07,21641
2015-07-08,22017
2015-07-09,22017
2015-07-10,22017
2015-07-11,22017
2015-07-12,22017
2015-07-13,22449
2015-07-14,22449
2015-07-15,22449
2015-07-16,22449
2015-07-17,22449
2015-07-18,22513
2015-07-19,22513
2015-07-20,22513
2015-07-21,22513
2015-07-22,23464
2015-07-23,23464
2015-07-24,23464
2015-07-25,23464
2015-07-26,23464
2015-07-27,23622
2015-07-28,23622
2015-07-29,23622
2015-07-30,23622
2015-07-31,24190
2015-08-01,24190
2015-08-02,24190
2015-08-03,24190
2015-08-04,24190
2015-08-05,24205
2015-08-06,24205
2015-08-07,24205
2015-08-08,24205
2015-08-09,23559
2015-08-10,23559
2015-08-11,23559
2015-08-12,23559
2015-08-13,23559
2015-08-14,23485
2015-08-15,23485
2015-08-16,23485
2015-08-17,23485
2015-08-18,23485
2015-08-19,23512
2015-08-20,23512
2015-08-21,23512
2015-08-22,23512
2015-08-23,23512
2015-08-24,23435
2015-08-25,23435
2015-08-26,23435
2015-08-27,23435
2015-08-28,23435
2015-08-29,23146
2015-08-30,23146
2015-08-31,23146
2015-09-01,23146
2015-09-02,23146
2015-09-03,23124
2015-09-04,23124
2015-09-05,23124
2015-09-06,23124
2015-09-07,23124
2015-09-08,22848
2015-09-09,22848
2015-09-10,22848
2015-09-11,22848
2015-09-12,22848
2015-09-13,22370
2015-09-14,22370
2015-09-15,22370
2015-09-16,22370
2015-09-17,21834
2015-09-18,21834
2015-09-19,21834
2015-09-20,21834
2015-09-21,21834
2015-09-22,21806
2015-09-23,21806
2015-09-24,21806
2015-09-25,21806
2015-09-27,21898
2015-09-28,21898
2015-09-29,21898
2015-09-30,21898
2015-10-05,22390
2015-10-06,22390
2015-10-07,23368
2015-10-08,23368
2015-10-09,23368
2015-10-10,23368
2015-10-11,23368
2015-10-12,24431
2015-10-13,24431
2015-10-14,24431
2015-10-15,24431
2015-10-16,24431
2015-10-17,24431
2015-10-18,25468
2015-10-19,25468
2015-10-20,25468
2015-10-22,25468
2015-10-23,26386
2015-10-24,26386
2015-10-25,26386
2015-10-26,26386
2015-10-27,26386
2015-10-29,26593
2015-10-30,26593
2015-10-31,26593
2015-11-01,26593
2015-11-02,26593
2015-11-03,27556
2015-11-04,27556
2015-11-05,27556
2015-11-06,27556
2015-11-07,27556
2015-11-08,28824
2015-11-09,28824
2015-11-10,28824
2015-11-11,28824
2015-11-12,28824
2015-11-13,29929
