date_obj,Gold%20elegant%20skirt price
2015-03-26,27433
2015-03-27,27433
2015-03-28,27433
2015-03-29,26188
2015-03-30,26188
2015-03-31,24969
2015-04-01,24969
2015-04-02,23803
2015-04-03,23803
2015-04-04,22657
2015-04-05,22657
2015-04-06,22657
2015-04-07,21576
2015-04-08,21576
2015-04-09,21576
2015-04-10,20574
2015-04-11,20574
2015-04-12,19683
2015-04-13,19683
2015-04-14,19683
2015-04-15,18741
2015-04-16,18741
2015-04-17,17892
2015-04-18,17892
2015-04-19,17063
2015-04-20,17063
2015-04-21,17063
2015-04-22,16268
2015-04-23,16268
2015-04-24,16268
2015-04-25,15482
2015-04-26,15482
2015-04-27,14725
2015-04-28,14725
2015-04-29,14725
2015-04-30,14042
2015-05-01,14042
2015-05-02,13405
2015-05-03,13405
2015-05-04,12812
2015-05-05,12812
2015-05-06,12190
2015-05-07,12190
2015-05-08,11630
2015-05-09,11630
2015-05-10,11087
2015-05-11,11087
2015-05-12,11087
2015-05-13,10556
2015-05-14,10556
2015-05-15,10071
2015-05-16,10071
2015-05-17,9634
2015-05-18,9634
2015-05-19,9634
2015-05-20,9199
2015-05-21,9199
2015-05-22,9199
2015-05-23,8779
2015-05-24,8779
2015-05-25,8377
2015-05-26,8377
2015-05-27,8377
2015-05-28,8377
2015-05-29,8008
2015-05-30,8008
2015-05-31,8008
2015-06-01,7689
2015-06-02,7689
2015-06-03,7689
2015-06-04,7689
2015-06-05,7402
2015-06-06,7402
2015-06-07,7402
2015-06-08,7402
2015-06-09,7402
2015-06-10,7171
2015-06-11,7171
2015-06-12,7171
2015-06-13,7171
2015-06-14,6974
2015-06-15,6974
2015-06-16,6974
2015-06-17,6974
2015-06-18,6745
2015-06-19,6745
2015-06-20,6745
2015-06-21,6745
2015-06-22,6602
2015-06-23,6602
2015-06-24,6602
2015-06-25,6602
2015-06-26,6602
2015-06-27,6447
2015-06-28,6447
2015-06-29,6447
2015-06-30,6447
2015-07-01,6353
2015-07-02,6353
2015-07-03,6353
2015-07-04,6353
2015-07-05,6353
2015-07-06,6353
2015-07-07,6258
2015-07-08,6258
2015-07-09,6258
2015-07-10,6258
2015-07-11,6258
2015-07-12,6104
2015-07-13,6104
2015-07-14,6104
2015-07-15,6104
2015-07-16,6104
2015-07-17,5931
2015-07-18,5931
2015-07-19,5931
2015-07-20,5931
2015-07-21,5931
2015-07-22,5783
2015-07-23,5783
2015-07-24,5783
2015-07-25,5783
2015-07-26,5783
2015-07-27,5557
2015-07-28,5557
2015-07-29,5557
2015-07-30,5557
2015-07-31,5493
2015-08-01,5493
2015-08-02,5493
2015-08-03,5493
2015-08-04,5493
2015-08-05,5227
2015-08-06,5227
2015-08-07,5227
2015-08-08,5227
2015-08-09,4988
2015-08-10,4988
2015-08-11,4988
2015-08-12,4988
2015-08-13,4762
2015-08-14,4762
2015-08-15,4762
2015-08-16,4540
2015-08-17,4540
2015-08-18,4540
2015-08-19,4334
2015-08-20,4334
2015-08-21,4334
2015-08-22,4334
2015-08-23,4170
2015-08-24,4170
2015-08-25,4170
2015-08-26,4170
2015-08-27,4048
2015-08-28,4048
2015-08-29,4048
2015-08-30,4048
2015-08-31,3936
2015-09-01,3936
2015-09-02,3936
2015-09-03,3936
2015-09-04,3936
2015-09-05,3829
2015-09-06,3829
2015-09-07,3829
2015-09-08,3829
2015-09-09,3829
2015-09-10,3784
2015-09-11,3784
2015-09-12,3784
2015-09-13,3784
2015-09-14,3784
2015-09-15,3628
2015-09-16,3628
2015-09-17,3628
2015-09-18,3628
2015-09-19,3628
2015-09-20,3628
2015-09-21,3473
2015-09-22,3473
2015-09-23,3473
2015-09-24,3473
2015-09-25,3473
2015-09-27,3311
2015-09-28,3311
2015-09-29,3311
2015-09-30,3311
2015-10-05,3152
2015-10-06,3152
2015-10-07,3152
2015-10-08,2996
2015-10-09,2996
2015-10-10,2996
2015-10-11,2996
2015-10-12,2996
2015-10-13,2865
2015-10-14,2865
2015-10-15,2865
2015-10-16,2865
2015-10-17,2865
2015-10-18,2865
2015-10-19,2809
2015-10-20,2809
2015-10-22,2809
2015-10-23,2809
2015-10-24,2809
2015-10-25,2776
2015-10-26,2776
2015-10-27,2776
2015-10-29,2776
2015-10-30,2776
2015-10-31,2759
2015-11-01,2759
2015-11-02,2759
2015-11-03,2759
2015-11-04,2759
2015-11-05,2759
2015-11-06,2759
2015-11-07,2790
2015-11-08,2790
2015-11-09,2790
2015-11-10,2790
2015-11-11,2790
2015-11-12,2790
2015-11-13,2790
2015-11-14,2745
2015-11-15,2745
2015-11-16,2745
2015-11-17,2745
2015-11-18,2745
2015-11-19,2745
2015-11-20,2683
2015-11-21,2683
2015-11-22,2683
2015-11-23,2683
2015-11-24,2683
2015-11-25,2683
2015-11-26,2683
2015-11-27,2637
2015-11-28,2637
2015-11-29,2637
2015-11-30,2637
2015-12-01,2637
2015-12-02,2637
2015-12-03,2513
2015-12-04,2513
2015-12-05,2513
2015-12-06,2513
2015-12-07,2406
2015-12-08,2406
2015-12-09,2406
2015-12-10,2406
2015-12-11,2406
2015-12-12,2406
2015-12-13,2285
2015-12-14,2285
2015-12-15,2285
2015-12-16,2285
2015-12-17,2285
2015-12-18,2183
2015-12-19,2183
2015-12-20,2183
2015-12-21,2183
2015-12-22,2183
2015-12-23,2183
2015-12-24,2088
2015-12-25,2088
2015-12-26,2088
2015-12-27,2088
2015-12-28,2088
2015-12-29,1998
2015-12-30,1998
2015-12-31,1998
2016-01-01,1998
2016-01-02,1951
2016-01-03,1951
2016-01-04,1951
2016-01-05,1951
2016-01-06,1943
2016-01-07,1943
2016-01-08,1943
2016-01-09,1943
2016-01-10,1943
2016-01-11,1943
2016-01-12,1864
2016-01-13,1864
2016-01-14,1864
2016-01-15,1864
2016-01-16,1782
2016-01-17,1782
2016-01-18,1782
2016-01-19,1782
2016-01-20,1711
2016-01-21,1711
2016-01-22,1711
2016-01-23,1711
2016-01-24,1711
2016-01-25,1647
2016-01-26,1647
2016-01-27,1647
2016-01-28,1647
2016-01-29,1647
2016-01-30,1577
2016-01-31,1577
2016-02-01,1577
2016-02-02,1504
2016-02-03,1504
2016-02-04,1504
2016-02-05,1504
2016-02-06,1433
2016-02-07,1433
2016-02-08,1433
2016-02-09,1433
2016-02-10,1364
2016-02-11,1364
2016-02-12,1364
2016-02-13,1299
2016-02-14,1299
2016-02-15,1299
2016-02-16,1299
2016-02-17,1242
2016-02-18,1242
2016-02-19,1242
2016-02-20,1242
2016-02-21,1205
2016-02-22,1205
2016-02-23,1205
2016-02-24,1205
2016-02-25,1205
2016-02-26,1206
2016-02-27,1206
2016-02-28,1206
2016-02-29,1206
2016-03-01,1182
2016-03-02,1182
2016-03-03,1182
2016-03-04,1182
2016-03-05,1182
2016-03-06,1136
2016-03-07,1136
2016-03-08,1136
2016-03-09,1136
2016-03-10,1108
2016-03-11,1108
2016-03-12,1108
2016-03-13,1108
2016-03-14,1108
2016-03-15,1091
2016-03-16,1091
2016-03-17,1091
2016-03-18,1091
2016-03-19,1091
2016-03-20,1051
2016-03-21,1051
2016-03-22,1051
2016-03-23,1051
2016-03-24,1051
2016-03-25,1005
2016-03-26,1005
2016-03-27,1005
2016-03-28,1005
2016-03-29,1005
2016-03-30,964
2016-03-31,964
2016-04-01,964
2016-04-02,964
2016-04-03,964
2016-04-04,984
2016-04-05,984
2016-04-06,984
2016-04-07,984
2016-04-08,984
2016-04-09,963
2016-04-10,963
2016-04-11,963
2016-04-12,963
2016-04-13,963
2016-04-14,961
2016-04-15,961
2016-04-16,961
2016-04-17,961
2016-04-18,953
2016-04-19,953
2016-04-20,953
2016-04-21,953
2016-04-22,950
2016-04-23,950
2016-04-24,950
2016-04-25,950
2016-04-26,951
2016-04-27,951
2016-04-28,951
2016-04-29,951
2016-04-30,931
2016-05-01,931
2016-05-02,931
2016-05-03,931
2016-05-04,899
2016-05-05,899
2016-05-06,899
2016-05-07,899
2016-05-08,885
2016-05-09,885
2016-05-10,885
2016-05-11,854
2016-05-12,854
2016-05-13,854
2016-05-14,854
2016-05-15,883
2016-05-16,883
2016-05-17,883
2016-05-18,911
2016-05-19,911
2016-05-22,911
2016-05-23,955
2016-05-24,955
2016-05-25,955
2016-05-26,955
2016-05-27,955
2016-05-28,998
2016-05-29,998
2016-05-30,998
2016-05-31,998
2016-06-01,1017
2016-06-02,1017
2016-06-03,1017
2016-06-04,1017
2016-06-05,1017
2016-06-06,985
2016-06-07,985
2016-06-08,985
2016-06-09,985
2016-06-10,1012
2016-06-11,1012
2016-06-12,1012
2016-06-13,1012
