date_obj,Bob's%20purple%20shirt price
2015-03-26,15836
2015-03-27,15836
2015-03-28,15143
2015-03-29,15143
2015-03-30,14453
2015-03-31,14453
2015-04-01,14453
2015-04-02,13774
2015-04-03,13774
2015-04-04,13124
2015-04-05,13124
2015-04-06,13124
2015-04-07,13124
2015-04-08,12503
2015-04-09,12503
2015-04-10,12503
2015-04-11,11948
2015-04-12,11948
2015-04-13,11948
2015-04-14,11948
2015-04-15,11382
2015-04-16,11382
2015-04-17,11382
2015-04-18,11382
2015-04-19,10919
2015-04-20,10919
2015-04-21,10919
2015-04-22,10919
2015-04-23,10434
2015-04-24,10434
2015-04-25,10434
2015-04-26,10434
2015-04-27,9961
2015-04-28,9961
2015-04-29,9961
2015-04-30,9509
2015-05-01,9509
2015-05-02,9509
2015-05-03,9509
2015-05-04,9073
2015-05-05,9073
2015-05-06,9073
2015-05-07,8675
2015-05-08,8675
2015-05-09,8675
2015-05-10,8253
2015-05-11,8253
2015-05-12,8253
2015-05-13,8253
2015-05-14,7854
2015-05-15,7854
2015-05-16,7854
2015-05-17,7481
2015-05-18,7481
2015-05-19,7481
2015-05-20,7481
2015-05-21,7133
2015-05-22,7133
2015-05-23,7133
2015-05-24,7133
2015-05-25,6804
2015-05-26,6804
2015-05-27,6804
2015-05-28,6804
2015-05-29,6499
2015-05-30,6499
2015-05-31,6499
2015-06-01,6499
2015-06-02,6231
2015-06-03,6231
2015-06-04,6231
2015-06-05,6231
2015-06-06,6231
2015-06-07,5936
2015-06-08,5936
2015-06-09,5936
2015-06-10,5936
2015-06-11,5936
2015-06-12,5936
2015-06-13,5661
2015-06-14,5661
2015-06-15,5661
2015-06-16,5661
2015-06-17,5661
2015-06-18,5394
2015-06-19,5394
2015-06-20,5394
2015-06-21,5394
2015-06-22,5394
2015-06-23,5142
2015-06-24,5142
2015-06-25,5142
2015-06-26,5142
2015-06-27,5142
2015-06-28,4908
2015-06-29,4908
2015-06-30,4908
2015-07-01,4908
2015-07-02,4908
2015-07-03,4717
2015-07-04,4717
2015-07-05,4717
2015-07-06,4717
