date_obj,Pirate%20bandana%20(white) price
2015-03-26,6749
2015-03-27,6749
2015-03-28,6749
2015-03-29,6749
2015-03-30,6749
2015-03-31,6749
2015-04-01,6749
2015-04-02,6749
2015-04-03,6749
2015-04-04,6422
2015-04-05,6422
2015-04-06,6422
2015-04-07,6422
2015-04-08,6422
2015-04-09,6422
2015-04-10,6422
2015-04-11,6422
2015-04-12,6422
2015-04-13,6422
2015-04-14,6422
2015-04-15,6422
2015-04-16,6422
2015-04-17,6422
2015-04-18,6422
2015-04-19,6422
2015-04-20,6422
2015-04-21,6422
2015-04-22,6422
2015-04-23,6107
2015-04-24,6107
2015-04-25,6107
2015-04-26,6107
2015-04-27,6107
2015-04-28,6107
2015-04-29,6107
2015-04-30,6107
2015-05-01,6107
2015-05-02,6107
2015-05-03,6107
2015-05-04,6107
2015-05-05,6107
2015-05-06,6107
2015-05-07,6107
2015-05-08,6107
2015-05-09,6107
2015-05-10,6107
2015-05-11,6107
2015-05-12,6107
2015-05-13,6107
2015-05-14,6107
2015-05-15,6107
2015-05-16,5814
2015-05-17,5814
2015-05-18,5814
2015-05-19,5814
2015-05-20,5814
2015-05-21,5814
2015-05-22,5814
2015-05-23,5814
2015-05-24,5814
2015-05-25,5814
2015-05-26,5814
2015-05-27,5814
2015-05-28,5527
2015-05-29,5527
2015-05-30,5527
2015-05-31,5527
2015-06-01,5527
2015-06-02,5527
2015-06-03,5527
2015-06-04,5527
2015-06-05,5527
2015-06-06,5527
2015-06-07,5265
2015-06-08,5265
2015-06-09,5265
2015-06-10,5265
2015-06-11,5265
2015-06-12,5265
2015-06-13,5265
2015-06-14,5265
2015-06-15,5265
2015-06-16,5265
2015-06-17,5004
2015-06-18,5004
2015-06-19,5004
2015-06-20,5004
2015-06-21,5004
2015-06-22,5004
2015-06-23,5004
2015-06-24,5004
2015-06-25,5004
2015-06-26,5004
2015-06-27,4761
2015-06-28,4761
2015-06-29,4761
2015-06-30,4761
2015-07-01,4761
2015-07-02,4761
2015-07-03,4761
2015-07-04,4761
2015-07-05,4761
2015-07-06,4761
2015-07-07,4761
2015-07-08,4531
2015-07-09,4531
2015-07-10,4531
2015-07-11,4531
2015-07-12,4531
2015-07-13,4531
2015-07-14,4531
2015-07-15,4531
2015-07-16,4531
2015-07-17,4531
2015-07-18,4531
2015-07-19,4531
2015-07-20,4531
2015-07-21,4370
2015-07-22,4370
2015-07-23,4370
2015-07-24,4370
2015-07-25,4370
2015-07-26,4370
2015-07-27,4370
2015-07-28,4370
2015-07-29,4370
2015-07-30,4370
2015-07-31,4370
2015-08-01,4370
2015-08-02,4170
2015-08-03,4170
2015-08-04,4170
2015-08-05,4170
2015-08-06,4170
2015-08-07,4170
2015-08-08,4170
2015-08-09,4170
2015-08-10,4170
2015-08-11,3963
2015-08-12,3963
2015-08-13,3963
2015-08-14,3963
2015-08-15,3963
2015-08-16,3963
2015-08-17,3963
2015-08-18,3963
2015-08-19,3963
2015-08-20,3963
2015-08-21,3963
2015-08-22,3767
2015-08-23,3767
2015-08-24,3767
2015-08-25,3767
2015-08-26,3767
2015-08-27,3767
2015-08-28,3767
2015-08-29,3767
2015-08-30,3767
2015-08-31,3767
2015-09-01,3591
2015-09-02,3591
2015-09-03,3591
2015-09-04,3591
2015-09-05,3591
2015-09-06,3591
2015-09-07,3591
2015-09-08,3591
2015-09-09,3591
2015-09-10,3412
2015-09-11,3412
2015-09-12,3412
2015-09-13,3412
2015-09-14,3412
2015-09-15,3412
2015-09-16,3412
2015-09-17,3412
2015-09-18,3412
2015-09-19,3246
2015-09-20,3246
2015-09-21,3246
2015-09-22,3246
2015-09-23,3246
2015-09-24,3246
2015-09-25,3246
2015-09-27,3246
2015-09-28,3246
2015-09-29,3246
2015-09-30,3086
2015-10-05,3086
2015-10-06,3086
2015-10-07,3086
2015-10-08,2942
2015-10-09,2942
2015-10-10,2942
2015-10-11,2942
2015-10-12,2942
2015-10-13,2942
2015-10-14,2942
2015-10-15,2942
2015-10-16,2834
2015-10-17,2834
2015-10-18,2834
2015-10-19,2834
2015-10-20,2834
2015-10-22,2834
2015-10-23,2834
2015-10-24,2834
2015-10-25,2708
2015-10-26,2708
2015-10-27,2708
2015-10-29,2708
2015-10-30,2708
2015-10-31,2708
2015-11-01,2708
2015-11-02,2708
2015-11-03,2708
2015-11-04,2581
2015-11-05,2581
2015-11-06,2581
2015-11-07,2581
2015-11-08,2581
2015-11-09,2581
2015-11-10,2581
2015-11-11,2581
2015-11-12,2581
2015-11-13,2581
2015-11-14,2581
2015-11-15,2581
2015-11-16,2453
2015-11-17,2453
2015-11-18,2453
2015-11-19,2453
2015-11-20,2453
2015-11-21,2453
2015-11-22,2453
2015-11-23,2453
2015-11-24,2453
2015-11-25,2453
2015-11-26,2453
2015-11-27,2453
2015-11-28,2453
2015-11-29,2334
2015-11-30,2334
2015-12-01,2334
2015-12-02,2334
2015-12-03,2334
2015-12-04,2334
