date_obj,Rune%20kiteshield%20(g) price
2015-03-26,76471
2015-03-27,76471
2015-03-28,76471
2015-03-29,75718
2015-03-30,75718
2015-03-31,74551
2015-04-01,74551
2015-04-02,73186
2015-04-03,73186
2015-04-04,71477
2015-04-05,71477
2015-04-06,70363
2015-04-07,70363
2015-04-08,69526
2015-04-09,69526
2015-04-10,69123
2015-04-11,69123
2015-04-12,68813
2015-04-13,68813
2015-04-14,69896
2015-04-15,69896
2015-04-16,71204
2015-04-17,71204
2015-04-18,70745
2015-04-19,70745
2015-04-20,70255
2015-04-21,70255
2015-04-22,70255
2015-04-23,69881
2015-04-24,69881
2015-04-25,68285
2015-04-26,68285
2015-04-27,68503
2015-04-28,68503
2015-04-29,68503
2015-04-30,67446
2015-05-01,67446
2015-05-02,66868
2015-05-03,66868
2015-05-04,65537
2015-05-05,65537
2015-05-06,64136
2015-05-07,64136
2015-05-08,63589
2015-05-09,63589
2015-05-10,62535
2015-05-11,62535
2015-05-12,62643
2015-05-13,62643
2015-05-14,61581
2015-05-15,61581
2015-05-16,61581
2015-05-17,61041
2015-05-18,61041
2015-05-19,60272
2015-05-20,60272
2015-05-21,60272
2015-05-22,59462
2015-05-23,59462
2015-05-24,59179
2015-05-25,59179
2015-05-26,58834
2015-05-27,58834
2015-05-28,58617
2015-05-29,58617
2015-05-30,58935
2015-05-31,58935
2015-06-01,57990
2015-06-02,57990
2015-06-03,56993
2015-06-04,56993
2015-06-05,56007
2015-06-06,55930
2015-06-07,55539
2015-06-08,55539
2015-06-09,55389
2015-06-10,55490
2015-06-11,55490
2015-06-12,55255
2015-06-13,55762
2015-06-14,55762
2015-06-15,57730
2015-06-16,60243
2015-06-17,60243
2015-06-18,63029
2015-06-19,63029
2015-06-20,64158
2015-06-21,64158
2015-06-22,64466
2015-06-23,64466
2015-06-24,64389
2015-06-25,64389
2015-06-26,63709
2015-06-27,63709
2015-06-28,63589
2015-06-29,63589
2015-06-30,63707
2015-07-01,63707
2015-07-02,62494
2015-07-03,61830
2015-07-04,61830
2015-07-05,62366
2015-07-06,62366
2015-07-07,62914
2015-07-08,64495
2015-07-09,64495
2015-07-10,64125
2015-07-11,64125
2015-07-12,64038
2015-07-13,63878
2015-07-14,63878
2015-07-15,64233
2015-07-16,64233
2015-07-17,62979
2015-07-18,62979
2015-07-19,62273
2015-07-20,60848
2015-07-21,60848
2015-07-22,60577
2015-07-23,60577
2015-07-24,59229
2015-07-25,59229
2015-07-26,59459
2015-07-27,59228
2015-07-28,59228
2015-07-29,59941
2015-07-30,59941
2015-07-31,60820
2015-08-01,60820
2015-08-02,61091
2015-08-03,61091
2015-08-04,62584
2015-08-05,63611
2015-08-06,63611
2015-08-07,64731
2015-08-08,66032
2015-08-09,66766
2015-08-10,66766
2015-08-11,67126
2015-08-12,67126
2015-08-13,67152
2015-08-14,67786
2015-08-15,67786
2015-08-16,68361
2015-08-17,69765
2015-08-18,69765
2015-08-19,69778
2015-08-20,69778
2015-08-21,70289
2015-08-22,70289
2015-08-23,70613
2015-08-24,72245
2015-08-25,72245
2015-08-26,72245
2015-08-27,73272
2015-08-28,73272
2015-08-29,73396
2015-08-30,73396
2015-08-31,73402
2015-09-01,73402
2015-09-02,73731
2015-09-03,73731
2015-09-04,73314
2015-09-05,73314
2015-09-06,73769
2015-09-07,73769
2015-09-08,73134
2015-09-09,73134
2015-09-10,72892
2015-09-11,72892
2015-09-12,72720
2015-09-13,72720
2015-09-14,72613
2015-09-15,72332
2015-09-16,72332
2015-09-17,72346
2015-09-18,72346
2015-09-19,70976
2015-09-20,70976
2015-09-21,70325
2015-09-22,70325
2015-09-23,69810
2015-09-24,69810
2015-09-25,70114
2015-09-27,68262
2015-09-28,68262
2015-09-29,67782
2015-09-30,67399
2015-10-05,66249
2015-10-06,64797
2015-10-07,64797
2015-10-08,63860
2015-10-09,63028
2015-10-10,63028
2015-10-11,62810
2015-10-12,62810
2015-10-13,63348
2015-10-14,63348
2015-10-15,62645
2015-10-16,62645
2015-10-17,62872
2015-10-18,62872
2015-10-19,62784
2015-10-20,62784
2015-10-22,62810
2015-10-23,63958
2015-10-24,63958
2015-10-25,63990
2015-10-26,63990
2015-10-27,65243
2015-10-29,66019
2015-10-30,66019
2015-10-31,66921
2015-11-01,66921
2015-11-02,68916
2015-11-03,68916
2015-11-04,70376
2015-11-05,70376
2015-11-06,70711
2015-11-07,70608
2015-11-08,70608
2015-11-09,70073
2015-11-10,70073
2015-11-11,70635
2015-11-12,70635
2015-11-13,71341
2015-11-14,71341
2015-11-15,71424
2015-11-16,71424
2015-11-17,72657
2015-11-18,72657
2015-11-19,73219
2015-11-20,73219
2015-11-21,73238
2015-11-22,74611
2015-11-23,74611
2015-11-24,76788
2015-11-25,78737
2015-11-26,78737
2015-11-27,80904
2015-11-28,80904
2015-11-29,81368
2015-11-30,81368
2015-12-01,82979
2015-12-02,82979
2015-12-03,82217
2015-12-04,82217
2015-12-05,81819
2015-12-06,81819
2015-12-07,82108
2015-12-08,82108
2015-12-09,81561
2015-12-10,81561
2015-12-11,82755
2015-12-12,82755
2015-12-13,82076
2015-12-14,82076
2015-12-15,81179
2015-12-16,81179
2015-12-17,81443
2015-12-18,80300
2015-12-19,80300
2015-12-20,79240
2015-12-21,79240
2015-12-22,78854
2015-12-23,81105
2015-12-24,81105
2015-12-25,82041
2015-12-26,82041
2015-12-27,82373
2015-12-28,82373
2015-12-29,81264
2015-12-30,79121
2015-12-31,79121
2016-01-01,77848
2016-01-02,77848
2016-01-03,77639
2016-01-04,76055
2016-01-05,76055
2016-01-06,74444
2016-01-07,74444
2016-01-08,74573
2016-01-09,74573
2016-01-10,73173
2016-01-11,73173
2016-01-12,72093
2016-01-13,72093
2016-01-14,71049
2016-01-15,71049
2016-01-16,70016
2016-01-17,70016
2016-01-18,68779
2016-01-19,68779
2016-01-20,66992
2016-01-21,66992
2016-01-22,65700
2016-01-23,65700
2016-01-24,66282
2016-01-25,65050
2016-01-26,65050
2016-01-27,64421
2016-01-28,64421
2016-01-29,62464
2016-01-30,62464
2016-01-31,60829
2016-02-01,59457
2016-02-02,59457
2016-02-03,60204
2016-02-04,60204
2016-02-05,60686
2016-02-06,61410
2016-02-07,61410
2016-02-08,61966
2016-02-09,61966
2016-02-10,62713
2016-02-11,62713
2016-02-12,63697
2016-02-13,63560
2016-02-14,63560
2016-02-15,64292
2016-02-16,64292
2016-02-17,65646
2016-02-18,65646
2016-02-19,66856
2016-02-20,66856
2016-02-21,67204
2016-02-22,67204
2016-02-23,66598
2016-02-24,66598
2016-02-25,66812
2016-02-26,66812
2016-02-27,66366
2016-02-28,66366
2016-02-29,65859
2016-03-01,65963
2016-03-02,65963
2016-03-03,66282
2016-03-04,66282
2016-03-05,67144
2016-03-06,68048
2016-03-07,68048
2016-03-08,68764
2016-03-09,68771
2016-03-10,69430
2016-03-11,69430
2016-03-12,70202
2016-03-13,70202
2016-03-14,70027
2016-03-15,70404
2016-03-16,70538
2016-03-17,70538
2016-03-18,71201
2016-03-19,71201
2016-03-20,70391
2016-03-21,70391
2016-03-22,70431
2016-03-23,69981
2016-03-24,69981
2016-03-25,69730
2016-03-26,70170
2016-03-27,70170
2016-03-28,69424
2016-03-29,69353
2016-03-30,69353
2016-03-31,69405
2016-04-01,69405
2016-04-02,70040
2016-04-03,70726
2016-04-04,70726
2016-04-05,72646
2016-04-06,72265
2016-04-07,72265
2016-04-08,70751
2016-04-09,70592
2016-04-10,71369
2016-04-11,71369
2016-04-12,70942
2016-04-13,70942
2016-04-14,70736
2016-04-15,70736
2016-04-16,71035
2016-04-17,71035
2016-04-18,71532
2016-04-19,71532
2016-04-20,71312
2016-04-21,71312
2016-04-22,70828
2016-04-23,70828
2016-04-24,71332
2016-04-25,70347
2016-04-26,70347
