date_obj,Salve%20graveyard%20teleport%20(tablet) price
2016-05-12,1400
2016-05-13,1400
2016-05-14,1400
2016-05-15,1400
2016-05-16,1400
2016-05-17,1400
2016-05-18,1400
2016-05-19,1470
2016-05-22,1470
2016-05-23,1470
2016-05-24,1470
2016-05-25,1470
2016-05-26,1470
2016-05-27,1470
2016-05-28,1470
2016-05-29,1470
2016-05-30,1470
2016-05-31,1470
2016-06-01,1470
2016-06-02,1541
2016-06-03,1541
2016-06-04,1541
2016-06-05,1541
2016-06-06,1541
2016-06-07,1541
2016-06-08,1541
2016-06-09,1541
2016-06-10,1541
2016-06-11,1541
2016-06-12,1541
2016-06-13,1541
2016-06-14,1541
2016-06-15,1541
2016-06-16,1541
2016-06-17,1541
2016-06-18,1541
2016-06-19,1612
2016-06-20,1612
2016-06-21,1612
2016-06-22,1612
2016-06-23,1612
2016-06-24,1612
2016-06-25,1612
2016-06-26,1612
2016-06-27,1612
2016-06-28,1612
2016-06-29,1612
2016-06-30,1612
2016-07-01,1612
2016-07-02,1612
2016-07-03,1612
2016-07-04,1612
2016-07-05,1612
2016-07-06,1612
2016-07-07,1612
2016-07-08,1693
2016-07-09,1693
2016-07-10,1693
2016-07-11,1693
2016-07-12,1693
2016-07-13,1693
2016-07-14,1693
2016-07-15,1693
2016-07-16,1693
2016-07-17,1693
2016-07-18,1693
2016-07-23,1693
2016-07-24,1776
2016-07-25,1776
2016-07-26,1776
2016-07-27,1776
2016-07-28,1776
2016-07-29,1776
2016-07-30,1776
2016-07-31,1776
2016-08-01,1776
2016-08-02,1776
2016-08-03,1776
2016-08-04,1776
2016-08-05,1776
2016-08-06,1776
2016-08-07,1776
2016-08-08,1776
2016-08-09,1776
2016-08-10,1776
2016-08-11,1776
2016-08-12,1864
2016-08-13,1864
2016-08-14,1864
2016-08-15,1864
2016-08-16,1864
2016-08-17,1864
2016-08-18,1864
2016-08-19,1864
2016-08-20,1864
2016-08-21,1864
2016-08-22,1864
2016-08-23,1864
2016-08-24,1864
2016-08-25,1958
2016-08-26,1958
2016-08-28,1958
2016-08-31,1958
2016-09-01,1958
2016-09-02,1958
2016-09-03,1958
2016-09-04,1958
2016-09-05,1958
2016-09-06,1958
2016-09-07,2054
2016-09-08,2054
2016-09-09,2054
2016-09-10,2054
2016-09-11,2054
2016-09-12,2054
2016-09-13,2054
2016-09-14,2054
2016-09-15,2054
2016-09-16,2054
2016-09-17,2054
2016-09-18,2054
2016-09-19,2054
2016-09-20,2054
2016-09-21,2150
2016-09-22,2150
2016-09-23,2150
2016-09-24,2150
2016-09-25,2150
2016-09-26,2150
2016-09-27,2150
2016-09-28,2150
2016-09-29,2150
2016-09-30,2150
2016-10-01,2150
2016-10-02,2150
2016-10-03,2150
2016-10-04,2150
2016-10-05,2252
2016-10-06,2252
2016-10-07,2252
2016-10-08,2252
2016-10-09,2252
2016-10-10,2252
2016-10-11,2252
2016-10-12,2252
2016-10-13,2252
2016-10-14,2252
2016-10-15,2252
2016-10-16,2252
2016-10-17,2361
2016-10-18,2361
2016-10-19,2361
2016-10-20,2361
2016-10-21,2361
2016-10-22,2361
2016-10-23,2361
2016-10-24,2361
2016-10-25,2361
2016-10-26,2361
2016-10-27,2361
2016-10-28,2361
2016-10-29,2471
2016-10-30,2471
2016-10-31,2471
2016-11-01,2471
2016-11-02,2471
2016-11-03,2471
2016-11-04,2471
2016-11-05,2471
2016-11-06,2471
2016-11-07,2471
2016-11-08,2471
2016-11-09,2595
2016-11-10,2595
2016-11-11,2595
2016-11-12,2595
2016-11-13,2595
2016-11-14,2595
2016-12-08,2988
2016-12-09,2988
2016-12-10,2988
2016-12-11,2988
2016-12-12,2988
2016-12-13,2988
2016-12-14,2988
2016-12-15,2988
2016-12-16,2988
2016-12-17,2988
2016-12-18,3114
2016-12-19,3114
2016-12-20,3114
2016-12-21,3114
2016-12-22,3114
2016-12-23,3114
2016-12-24,3114
2016-12-25,3114
2016-12-26,3185
2016-12-27,3185
2016-12-28,3185
2016-12-29,3185
2016-12-30,3185
2016-12-31,3185
2017-01-01,3185
2017-01-02,3185
2017-01-03,3044
2017-01-04,3044
2017-01-05,3044
2017-01-06,3044
2017-01-07,3044
2017-01-08,3044
2017-01-09,3044
2017-01-10,3044
2017-01-11,2891
2017-01-12,2891
2017-01-13,2891
2017-01-14,2891
2017-01-15,2891
2017-01-16,2891
2017-01-17,2891
2017-01-18,2812
2017-01-19,2812
2017-01-20,2812
2017-01-21,2812
2017-01-22,2812
2017-01-27,2921
2017-01-28,2921
2017-01-29,2921
2017-01-30,2921
2017-01-31,3048
2017-02-01,3048
2017-02-02,3048
2017-02-03,3048
2017-02-04,3048
2017-02-05,3104
2017-02-06,3104
2017-02-07,3104
2017-02-08,3104
2017-02-09,3104
2017-02-10,3104
2017-02-11,3131
2017-02-12,3131
2017-02-13,3131
2017-02-14,3131
2017-02-15,3131
