date_obj,Tan%20cavalier price
2016-02-15,6686
2016-02-16,6686
2016-02-17,6549
2016-02-18,6549
2016-02-19,6549
2016-02-20,6549
2016-02-21,6549
2016-02-22,6549
2016-02-23,6339
2016-02-24,6339
2016-02-25,6339
2016-02-26,6339
2016-02-27,6339
2016-02-28,6252
2016-02-29,6252
2016-03-01,6252
2016-03-02,6252
2016-03-03,6252
2016-03-04,6170
2016-03-05,6170
2016-03-06,6170
2016-03-07,6170
2016-03-08,6170
2016-03-09,6140
2016-03-10,6140
2016-03-11,6140
2016-03-12,6140
2016-03-13,6140
2016-03-14,6068
2016-03-15,6068
2016-03-16,6068
2016-03-17,6068
2016-03-18,6068
2016-03-19,5837
2016-03-20,5837
2016-03-21,5837
2016-03-22,5837
2016-03-23,5837
2016-03-24,5864
2016-03-25,5864
2016-03-26,5864
2016-03-27,5864
2016-03-28,5864
2016-03-29,5898
2016-03-30,5898
2016-03-31,5898
2016-04-01,5898
2016-04-02,5898
2016-04-03,5898
2016-04-04,5921
2016-04-05,5921
2016-04-06,5921
2016-04-07,5921
2016-04-08,5921
2016-04-09,6033
2016-04-10,6033
2016-04-11,6033
2016-04-12,6033
2016-04-13,6033
2016-04-14,6033
2016-04-15,5963
2016-04-16,5963
2016-04-17,5963
2016-04-18,5963
2016-04-19,5963
2016-04-20,5995
2016-04-21,5995
2016-04-22,5995
2016-04-23,5995
2016-04-24,5995
2016-04-25,6045
2016-04-26,6045
2016-04-27,6045
2016-04-28,6045
2016-04-29,6045
2016-04-30,5970
2016-05-01,5970
2016-05-02,5970
2016-05-03,5970
2016-05-04,5887
2016-05-05,5887
2016-05-06,5887
2016-05-07,5887
2016-05-08,5887
2016-05-09,5718
2016-05-10,5718
2016-05-11,5718
2016-05-12,5718
2016-05-13,5619
2016-05-14,5619
2016-05-15,5619
2016-05-16,5619
2016-05-17,5619
2016-05-18,5463
2016-05-19,5463
2016-05-22,5463
2016-05-23,5328
2016-05-24,5328
2016-05-25,5328
2016-05-26,5328
2016-05-27,5132
2016-05-28,5132
2016-05-29,5132
2016-05-30,5132
2016-05-31,5132
2016-06-01,5162
2016-06-02,5162
2016-06-03,5162
2016-06-04,5162
2016-06-05,5096
2016-06-06,5096
2016-06-07,5096
2016-06-08,5096
2016-06-09,4918
2016-06-10,4918
2016-06-11,4918
2016-06-12,4918
2016-06-13,4882
2016-06-14,4882
2016-06-15,4882
2016-06-16,4882
2016-06-17,4864
2016-06-18,4864
2016-06-19,4864
2016-06-20,4864
2016-06-21,4864
2016-06-22,4729
2016-06-23,4729
2016-06-24,4729
2016-06-25,4729
2016-06-26,4729
2016-06-27,4728
2016-06-28,4728
2016-06-29,4728
2016-06-30,4728
2016-07-01,4828
2016-07-02,4828
2016-07-03,4828
2016-07-04,4828
2016-07-05,4920
2016-07-06,4920
2016-07-07,4920
2016-07-08,4920
2016-07-09,4864
2016-07-10,4864
2016-07-11,4864
2016-07-12,4864
2016-07-13,4829
2016-07-14,4829
2016-07-15,4829
2016-07-16,4829
2016-07-17,4935
2016-07-18,4935
2016-07-24,4904
2016-07-25,4904
2016-07-26,4904
2016-07-27,5059
2016-07-28,5059
2016-07-29,5059
2016-07-30,5059
2016-07-31,5059
2016-08-01,5059
2016-08-02,5144
2016-08-03,5144
2016-08-04,5144
2016-08-05,5144
2016-08-06,5144
2016-08-07,5144
2016-08-08,5234
2016-08-09,5234
2016-08-10,5234
2016-08-11,5234
2016-08-12,5234
2016-08-13,5234
2016-08-14,5288
2016-08-15,5288
2016-08-16,5288
2016-08-17,5288
2016-08-18,5288
2016-08-19,5288
2016-08-20,5251
2016-08-21,5251
2016-08-22,5251
2016-08-23,5251
2016-08-24,5251
2016-08-25,5146
2016-08-26,5146
2016-08-28,5146
2016-08-31,5134
2016-09-01,5134
2016-09-02,5134
2016-09-03,5134
2016-09-04,5134
2016-09-05,5040
2016-09-06,5040
2016-09-07,5040
2016-09-08,5040
2016-09-09,5040
2016-09-10,5040
2016-09-11,5040
2016-09-12,5054
2016-09-13,5054
2016-09-14,5054
2016-09-15,5054
2016-09-16,5054
2016-09-17,5054
2016-09-18,4869
2016-09-19,4869
2016-09-20,4869
2016-09-21,4869
2016-09-22,4869
2016-09-23,4869
2016-09-24,4869
2016-09-25,4695
2016-09-26,4695
2016-09-27,4695
2016-09-28,4695
2016-09-29,4695
2016-09-30,4695
2016-10-01,4717
2016-10-02,4717
2016-10-03,4717
2016-10-04,4717
2016-10-05,4717
2016-10-06,4717
2016-10-07,4719
2016-10-08,4719
2016-10-09,4719
2016-10-10,4719
2016-10-11,4719
2016-10-12,4719
2016-10-13,4568
2016-10-14,4568
2016-10-15,4568
2016-10-16,4568
2016-10-17,4568
2016-10-18,4496
2016-10-19,4496
2016-10-20,4496
2016-10-21,4496
2016-10-22,4496
2016-10-23,4496
2016-10-24,4451
2016-10-25,4451
2016-10-26,4451
2016-10-27,4451
2016-10-28,4451
2016-10-29,4451
2016-10-30,4508
2016-10-31,4508
2016-11-01,4508
2016-11-02,4508
2016-11-03,4508
2016-11-04,4617
2016-11-05,4617
2016-11-06,4617
2016-11-07,4617
2016-11-08,4617
2016-11-09,4617
2016-11-10,4734
2016-11-11,4734
2016-11-12,4734
2016-11-13,4734
2016-11-14,4734
2016-12-08,4673
2016-12-09,4673
2016-12-10,4673
2016-12-11,4673
2016-12-12,4797
2016-12-13,4797
2016-12-14,4797
2016-12-15,4797
2016-12-16,4797
2016-12-17,4815
2016-12-18,4815
2016-12-19,4815
2016-12-20,4815
2016-12-21,4815
2016-12-22,4815
2016-12-23,4867
2016-12-24,4867
2016-12-25,4867
2016-12-26,4867
2016-12-27,4867
2016-12-28,4867
2016-12-29,4957
2016-12-30,4957
2016-12-31,4957
2017-01-01,4957
2017-01-02,4957
2017-01-03,4963
2017-01-04,4963
2017-01-05,4963
2017-01-06,4963
2017-01-07,4963
2017-01-08,4756
2017-01-09,4756
2017-01-10,4756
2017-01-11,4756
2017-01-12,4756
2017-01-13,4660
2017-01-14,4660
2017-01-15,4660
2017-01-16,4660
2017-01-17,4666
2017-01-18,4666
2017-01-19,4666
2017-01-20,4666
2017-01-21,4666
2017-01-22,4653
2017-01-27,4699
2017-01-28,4699
