date_obj,Saradomin%20kiteshield price
2015-03-26,151371
2015-03-27,151371
2015-03-28,146788
2015-03-29,146788
2015-03-30,141211
2015-03-31,141211
2015-04-01,141211
2015-04-02,135259
2015-04-03,135259
2015-04-04,129578
2015-04-05,129578
2015-04-06,129578
2015-04-07,127681
2015-04-08,127681
2015-04-09,127681
2015-04-10,126609
2015-04-11,126609
2015-04-12,121679
2015-04-13,121679
2015-04-14,121679
2015-04-15,117916
2015-04-16,117916
2015-04-17,117916
2015-04-18,115462
2015-04-19,115462
2015-04-20,115462
2015-04-21,112945
2015-04-22,112945
2015-04-23,112945
2015-04-24,112353
2015-04-25,112353
2015-04-26,112353
2015-04-27,113040
2015-04-28,113040
2015-04-29,113040
2015-04-30,116179
2015-05-01,116179
2015-05-02,114820
2015-05-03,114820
2015-05-04,114820
2015-05-05,111440
2015-05-06,111440
2015-05-07,108163
2015-05-08,108163
2015-05-09,105940
2015-05-10,105940
2015-05-11,105940
2015-05-12,105443
2015-05-13,105443
2015-05-14,105443
2015-05-15,106745
2015-05-16,106745
2015-05-17,108535
2015-05-18,108535
2015-05-19,108535
2015-05-20,109997
2015-05-21,109997
2015-05-22,109997
2015-05-23,113331
2015-05-24,113331
2015-05-25,116201
2015-05-26,116201
2015-05-27,116201
2015-05-28,117143
2015-05-29,117143
2015-05-30,114701
2015-05-31,114701
2015-06-01,114533
2015-06-02,114533
2015-06-03,112507
2015-06-04,112507
2015-06-05,113472
2015-06-06,113472
2015-06-07,115008
2015-06-08,115008
2015-06-09,113694
2015-06-10,111965
2015-06-11,111965
2015-06-12,111860
2015-06-13,111860
2015-06-14,111102
2015-06-15,111102
2015-06-16,110541
2015-06-17,110541
2015-06-18,109517
2015-06-19,109517
2015-06-20,108335
2015-06-21,108335
2015-06-22,107885
2015-06-23,107885
2015-06-24,107385
2015-06-25,107385
2015-06-26,105295
2015-06-27,105295
2015-06-28,102996
2015-06-29,102996
2015-06-30,103112
2015-07-01,103112
2015-07-02,102916
2015-07-03,103565
2015-07-04,103565
2015-07-05,106688
2015-07-06,106688
2015-07-07,108057
2015-07-08,108057
2015-07-09,110598
2015-07-10,110598
2015-07-11,114719
2015-07-12,114719
2015-07-13,117198
2015-07-14,117198
2015-07-15,116657
2015-07-16,116657
2015-07-17,116051
2015-07-18,116051
2015-07-19,117284
2015-07-20,117284
2015-07-21,117199
2015-07-22,118839
2015-07-23,118839
2015-07-24,119173
2015-07-25,119173
2015-07-26,120114
2015-07-27,120114
2015-07-28,122593
2015-07-29,123774
2015-07-30,123774
2015-07-31,126176
2015-08-01,126176
2015-08-02,125578
2015-08-03,125578
2015-08-04,125385
2015-08-05,124408
2015-08-06,124408
2015-08-07,124529
2015-08-08,124529
2015-08-09,124288
2015-08-10,124288
2015-08-11,121706
2015-08-12,121706
2015-08-13,120475
2015-08-14,120201
2015-08-15,120201
2015-08-16,120633
2015-08-17,120633
2015-08-18,119492
2015-08-19,119492
2015-08-20,119864
2015-08-21,117552
2015-08-22,117552
2015-08-23,116559
2015-08-24,114044
2015-08-25,114044
2015-08-26,114044
2015-08-27,113248
2015-08-28,113248
2015-08-29,114496
2015-08-30,114496
2015-08-31,113238
2015-09-01,113238
2015-09-02,110488
2015-09-03,110488
2015-09-04,109227
2015-09-05,109227
2015-09-06,105946
2015-09-07,105946
2015-09-08,103786
2015-09-09,101661
2015-09-10,101661
2015-09-11,101523
2015-09-12,101523
2015-09-13,102702
2015-09-14,102702
2015-09-15,105188
2015-09-16,105188
2015-09-17,107178
2015-09-18,107178
2015-09-19,108066
2015-09-20,108066
2015-09-21,106325
2015-09-22,106325
2015-09-23,106013
2015-09-24,106013
2015-09-25,106013
2015-09-27,106037
2015-09-28,106386
2015-09-29,106386
2015-09-30,108094
2015-10-05,112216
2015-10-06,114600
2015-10-07,114600
2015-10-08,116926
2015-10-09,116926
2015-10-10,118334
2015-10-11,120114
2015-10-12,120114
2015-10-13,118850
2015-10-14,118850
2015-10-15,116101
2015-10-16,116101
2015-10-17,111952
2015-10-18,111952
2015-10-19,108761
2015-10-20,108761
2015-10-22,105081
2015-10-23,102320
2015-10-24,102320
2015-10-25,99410
2015-10-26,99410
2015-10-27,99570
2015-10-29,101420
2015-10-30,101420
2015-10-31,103806
2015-11-01,103806
2015-11-02,105287
2015-11-03,105287
2015-11-04,107279
2015-11-05,107279
2015-11-06,109941
2015-11-07,110857
2015-11-08,110857
2015-11-09,111694
2015-11-10,111694
2015-11-11,111951
2015-11-12,111951
2015-11-13,112586
2015-11-14,112586
2015-11-15,113358
2015-11-16,113358
2015-11-17,116721
2015-11-18,116721
2015-11-19,116310
2015-11-20,116310
2015-11-21,115553
2015-11-22,116847
2015-11-23,116847
2015-11-24,119644
2015-11-25,122676
2015-11-26,122676
2015-11-27,127131
2015-11-28,127131
2015-11-29,128380
2015-11-30,128380
2015-12-01,131951
2015-12-02,131951
2015-12-03,134809
2015-12-04,134809
2015-12-05,134809
2015-12-06,138054
2015-12-07,138054
2015-12-08,141126
2015-12-09,144049
2015-12-10,144049
2015-12-11,147666
2015-12-12,147666
2015-12-13,150633
2015-12-14,150633
2015-12-15,152037
2015-12-16,152405
2015-12-17,152405
2015-12-18,148836
2015-12-19,148836
2015-12-20,147155
2015-12-21,147155
2015-12-22,147206
2015-12-23,147206
2015-12-24,146340
2015-12-25,146340
2015-12-26,146511
2015-12-27,146511
2015-12-28,144339
2015-12-29,142047
2015-12-30,142047
2015-12-31,143174
2016-01-01,143174
2016-01-02,144099
2016-01-03,144099
2016-01-04,142479
2016-01-05,142479
2016-01-06,142183
2016-01-07,142183
2016-01-08,141268
2016-01-09,141268
2016-01-10,137261
2016-01-11,137261
2016-01-12,136771
2016-01-13,136771
2016-01-14,134136
2016-01-15,134136
2016-01-16,131353
2016-01-17,131353
2016-01-18,127368
2016-01-19,127368
2016-01-20,124644
2016-01-21,124644
2016-01-22,120938
2016-01-23,120938
2016-01-24,119214
2016-01-25,118080
2016-01-26,118080
2016-01-27,118288
2016-01-28,118288
2016-01-29,116693
2016-01-30,116693
2016-01-31,115248
2016-02-01,113315
2016-02-02,113315
2016-02-03,111258
2016-02-04,111258
2016-02-05,111419
2016-02-06,112875
2016-02-07,112875
2016-02-08,112654
2016-02-09,112654
2016-02-10,110231
2016-02-11,110231
2016-02-12,107863
2016-02-13,108705
2016-02-14,108705
2016-02-15,108966
2016-02-16,108966
2016-02-17,108641
2016-02-18,108641
2016-02-19,108531
2016-02-20,108531
2016-02-21,106554
2016-02-22,106554
2016-02-23,107663
2016-02-24,107663
2016-02-25,109020
2016-02-26,109020
2016-02-27,107809
2016-02-28,107809
2016-02-29,105859
2016-03-01,103973
2016-03-02,103973
2016-03-03,101290
2016-03-04,101290
2016-03-05,100315
2016-03-06,99051
2016-03-07,99051
2016-03-08,96523
2016-03-09,93806
2016-03-10,96322
2016-03-11,96322
2016-03-12,101033
2016-03-13,101033
2016-03-14,105926
2016-03-15,110596
2016-03-16,114690
2016-03-17,114690
2016-03-18,116243
2016-03-19,116243
2016-03-20,115192
2016-03-21,115192
2016-03-22,114745
2016-03-23,115958
2016-03-24,115958
2016-03-25,117024
2016-03-26,115961
2016-03-27,115961
2016-03-28,117794
2016-03-29,119386
2016-03-30,119386
2016-03-31,121384
2016-04-01,121384
2016-04-02,121670
2016-04-03,121670
2016-04-04,121397
2016-04-05,121397
2016-04-06,119659
2016-04-07,119659
2016-04-08,117278
2016-04-09,116120
2016-04-10,114029
2016-04-11,114029
2016-04-12,114107
2016-04-13,114107
2016-04-14,117200
2016-04-15,117200
2016-04-16,116494
2016-04-17,116494
2016-04-18,113573
2016-04-19,113573
2016-04-20,112787
2016-04-21,112787
2016-04-22,111826
2016-04-23,111826
2016-04-24,110280
2016-04-25,109701
2016-04-26,109701
2016-04-27,111217
2016-04-28,111217
2016-04-29,114021
2016-04-30,114239
2016-05-01,114239
2016-05-02,116177
2016-05-03,118168
2016-05-04,118168
2016-05-05,117183
2016-05-06,117183
2016-05-07,114821
2016-05-08,114821
2016-05-09,111427
2016-05-10,109478
2016-05-11,109478
2016-05-12,110631
2016-05-13,110691
2016-05-14,110691
2016-05-15,110691
2016-05-16,110691
2016-05-17,111360
2016-05-18,113639
2016-05-19,113639
2016-05-22,114296
2016-05-23,114024
2016-05-24,112825
2016-05-25,112825
2016-05-26,112802
2016-05-27,112954
2016-05-28,112954
2016-05-29,112217
2016-05-30,112217
2016-05-31,109481
2016-06-01,108654
2016-06-02,108654
2016-06-03,108306
2016-06-04,106221
2016-06-05,106221
2016-06-06,105430
2016-06-07,105430
2016-06-08,102507
2016-06-09,100558
2016-06-10,100040
