date_obj,White%20partyhat price
2015-03-26,48679
2015-03-27,48679
2015-03-28,46259
2015-03-29,44233
2015-03-30,42021
2015-03-31,39919
2015-04-01,39919
2015-04-02,37984
2015-04-03,36084
2015-04-04,34484
2015-04-05,34484
2015-04-06,33682
2015-04-07,33036
2015-04-08,33036
2015-04-09,31602
2015-04-10,31301
2015-04-11,30393
2015-04-12,29348
2015-04-13,28595
2015-04-14,28595
2015-04-15,28827
2015-04-16,28827
2015-04-17,28808
2015-04-18,29106
2015-04-19,29530
2015-04-20,29530
2015-04-21,30006
2015-04-22,30006
2015-04-23,29851
2015-04-24,29851
2015-04-25,29962
2015-04-26,29962
2015-04-27,29783
2015-04-28,29306
2015-04-29,29306
2015-04-30,28951
2015-05-01,27905
2015-05-02,27847
2015-05-03,27847
2015-05-04,27546
2015-05-05,27546
2015-05-06,27941
2015-05-07,27941
2015-05-08,27667
2015-05-09,27667
2015-05-10,27398
2015-05-11,27398
2015-05-12,27954
2015-05-13,27954
2015-05-14,28337
2015-05-15,28337
2015-05-16,28502
2015-05-17,29110
2015-05-18,29110
2015-05-19,28421
2015-05-20,28421
2015-05-21,28421
2015-05-22,27416
2015-05-23,27416
2015-05-24,26543
2015-05-25,26498
2015-05-26,26498
2015-05-27,26839
2015-05-28,26839
2015-05-29,26232
2015-05-30,25530
2015-05-31,25530
2015-06-01,25581
2015-06-02,25581
2015-06-03,25645
2015-06-04,25645
2015-06-05,24980
2015-06-06,24453
2015-06-07,25129
2015-06-08,25129
2015-06-09,26229
2015-06-10,27404
2015-06-11,27404
2015-06-12,28741
2015-06-13,30137
2015-06-14,31578
2015-06-15,33075
2015-06-16,34687
2015-06-17,36301
2015-06-18,37705
2015-06-19,39361
2015-06-20,41251
2015-06-21,41251
2015-06-22,42822
2015-06-23,42822
2015-06-24,43956
2015-06-25,43956
2015-06-26,46004
2015-06-27,46004
2015-06-28,45192
2015-06-29,45192
2015-06-30,45598
2015-07-01,46696
2015-07-02,46696
2015-07-03,48223
2015-07-04,48223
2015-07-05,46577
2015-07-06,46577
2015-07-07,44253
2015-07-08,42040
2015-07-09,42040
2015-07-10,40006
2015-07-11,40006
2015-07-12,38239
2015-07-13,37182
2015-07-14,37182
2015-07-15,36146
2015-07-16,36146
2015-07-17,35021
2015-07-18,35021
2015-07-19,36717
2015-07-20,38351
2015-07-21,38351
2015-07-22,40229
2015-07-23,40229
2015-07-24,42241
2015-07-25,42241
2015-07-26,44158
2015-07-27,46174
2015-07-28,46174
2015-07-29,48338
2015-07-30,48338
2015-07-31,49192
2015-08-01,49192
2015-08-02,49378
2015-08-03,49378
2015-08-04,50307
2015-08-05,51213
2015-08-06,51213
2015-08-07,53147
2015-08-08,55599
2015-08-09,58369
2015-08-10,61217
2015-08-11,64278
2015-08-12,64278
2015-08-13,65845
2015-08-14,64553
2015-08-15,64553
2015-08-16,65240
2015-08-17,65240
2015-08-18,65468
2015-08-19,65468
2015-08-20,66884
2015-08-21,66884
2015-08-22,69097
2015-08-23,69097
2015-08-24,71264
2015-08-25,71264
2015-08-26,71264
2015-08-27,73545
2015-08-28,73545
2015-08-29,75526
2015-08-30,75526
2015-08-31,78021
2015-09-01,78021
2015-09-02,81352
2015-09-03,81352
2015-09-04,84993
2015-09-05,84993
2015-09-06,88854
2015-09-07,88854
2015-09-08,93261
2015-09-09,93261
2015-09-10,97918
2015-09-11,102349
2015-09-12,102349
2015-09-13,107464
2015-09-14,112485
2015-09-15,117597
2015-09-16,117597
2015-09-17,113869
2015-09-18,113869
2015-09-19,108175
2015-09-20,108175
2015-09-21,103059
2015-09-22,98382
2015-09-23,98382
2015-09-24,93935
2015-09-25,93935
2015-09-27,89569
2015-09-28,85097
2015-09-29,85097
2015-09-30,81344
2015-10-05,74166
2015-10-06,74166
2015-10-07,70735
2015-10-08,70735
2015-10-09,67242
2015-10-10,67242
2015-10-11,64213
2015-10-12,64213
2015-10-13,64213
2015-10-14,62162
2015-10-15,62162
2015-10-16,59490
2015-10-17,59490
2015-10-18,59490
2015-10-19,57293
2015-10-20,57293
2015-10-22,56389
2015-10-23,56389
2015-10-24,56342
2015-10-25,56342
2015-10-26,57192
2015-10-27,57192
2015-10-29,58387
2015-10-30,58387
2015-10-31,59966
2015-11-01,59966
2015-11-02,59966
2015-11-03,58405
2015-11-04,58405
2015-11-05,57083
2015-11-06,57083
2015-11-07,55266
2015-11-08,55266
2015-11-09,55266
2015-11-10,52707
2015-11-11,52707
2015-11-12,50774
2015-11-13,50774
2015-11-14,50774
2015-11-15,49617
2015-11-16,49617
2015-11-17,49617
2015-11-18,48445
2015-11-19,48445
2015-11-20,46545
2015-11-21,46545
2015-11-22,45138
2015-11-23,45138
2015-11-24,45138
2015-11-25,44997
2015-11-26,44997
2015-11-27,44997
2015-11-28,45296
2015-11-29,45296
2015-11-30,45001
2015-12-01,45001
2015-12-02,45001
2015-12-03,45642
2015-12-04,45642
2015-12-05,45642
2015-12-06,46003
2015-12-07,46003
2015-12-08,46003
2015-12-09,45794
2015-12-10,45794
2015-12-11,45794
2015-12-13,45370
2015-12-14,45370
2015-12-15,43276
2015-12-16,41112
2015-12-17,39056
2015-12-18,37103
2015-12-19,35247
