date_obj,Black%20helm%20(h5) price
2015-03-26,6160
2015-03-27,6160
2015-03-28,5890
2015-03-29,5890
2015-03-30,5890
2015-03-31,5698
2015-04-01,5698
2015-04-02,5698
2015-04-03,5698
2015-04-04,5433
2015-04-05,5433
2015-04-06,5433
2015-04-07,5185
2015-04-08,5185
2015-04-09,5185
2015-04-10,5185
2015-04-11,4935
2015-04-12,4935
2015-04-13,4935
2015-04-14,4935
2015-04-15,4718
2015-04-16,4718
2015-04-17,4718
2015-04-18,4505
2015-04-19,4505
2015-04-20,4505
2015-04-21,4306
2015-04-22,4306
2015-04-23,4306
2015-04-24,4306
2015-04-25,4100
2015-04-26,4100
2015-04-27,4100
2015-04-28,3910
2015-04-29,3910
2015-04-30,3910
2015-05-01,3727
2015-05-02,3727
2015-05-03,3554
2015-05-04,3554
2015-05-05,3554
2015-05-06,3393
2015-05-07,3393
2015-05-08,3393
2015-05-09,3245
2015-05-10,3245
2015-05-11,3245
2015-05-12,3091
2015-05-13,3091
2015-05-14,3091
2015-05-15,2981
2015-05-16,2981
2015-05-17,2981
2015-05-18,2831
2015-05-19,2831
2015-05-20,2831
2015-05-21,2831
2015-05-22,2725
2015-05-23,2725
2015-05-24,2725
2015-05-25,2649
2015-05-26,2649
2015-05-27,2649
2015-05-28,2549
2015-05-29,2549
2015-05-30,2549
2015-05-31,2441
2015-06-01,2441
2015-06-02,2441
2015-06-03,2441
2015-06-04,2384
2015-06-05,2384
2015-06-06,2384
2015-06-07,2281
2015-06-08,2281
2015-06-09,2281
2015-06-10,2281
2015-06-11,2188
2015-06-12,2188
2015-06-13,2188
2015-06-14,2188
2015-06-15,2201
2015-06-16,2201
2015-06-17,2201
2015-06-18,2201
2015-06-19,2307
2015-06-20,2307
2015-06-21,2307
2015-06-22,2307
2015-06-23,2307
2015-06-24,2355
2015-06-25,2355
2015-06-26,2355
2015-06-27,2355
2015-06-28,2413
2015-06-29,2413
2015-06-30,2413
2015-07-01,2413
2015-07-02,2413
2015-07-03,2422
2015-07-04,2422
2015-07-05,2422
2015-07-06,2422
2015-07-07,2422
2015-07-08,2377
2015-07-09,2377
2015-07-10,2377
