date_obj,Fez price
2015-03-26,16744
2015-03-27,16744
2015-03-28,16744
2015-03-29,16744
2015-03-30,16744
2015-03-31,15954
2015-04-01,15954
2015-04-02,15954
2015-04-03,15954
2015-04-04,15954
2015-04-05,15954
2015-04-06,15183
2015-04-07,15183
2015-04-08,15183
2015-04-09,15183
2015-04-10,15183
2015-04-11,15183
2015-04-12,14439
2015-04-13,14439
2015-04-14,14439
2015-04-15,14439
2015-04-16,14439
2015-04-17,14439
2015-04-18,13736
2015-04-19,13736
2015-04-20,13736
2015-04-21,13736
2015-04-22,13736
2015-04-23,13736
2015-04-24,13736
2015-04-25,13055
2015-04-26,13055
2015-04-27,13055
2015-04-28,13055
2015-04-29,13055
2015-04-30,13055
2015-05-01,12448
2015-05-02,12448
2015-05-03,12448
2015-05-04,12448
2015-05-05,12448
2015-05-06,12448
2015-05-07,12448
2015-05-08,11877
2015-05-09,11877
2015-05-10,11877
2015-05-11,11877
2015-05-12,11877
2015-05-13,11877
2015-05-14,11877
2015-05-15,11286
2015-05-16,11286
2015-05-17,11286
2015-05-18,11286
2015-05-19,11286
2015-05-20,11286
2015-05-21,11286
2015-05-22,10730
2015-05-23,10730
2015-05-24,10730
2015-05-25,10730
2015-05-26,10730
2015-05-27,10730
2015-05-28,10198
2015-05-29,10198
2015-05-30,10198
2015-05-31,9701
2015-06-01,9701
2015-06-02,9701
2015-06-03,9219
2015-06-04,9219
2015-06-05,9219
2015-06-06,9219
2015-06-07,8764
2015-06-08,8764
2015-06-09,8764
2015-06-10,8764
2015-06-11,8764
2015-06-12,8332
2015-06-13,8332
2015-06-14,8332
2015-06-15,8332
2015-06-16,8332
2015-06-17,7922
2015-06-18,7922
2015-06-19,7922
2015-06-20,7561
2015-06-21,7561
2015-06-22,7561
2015-06-23,7561
2015-06-24,7196
2015-06-25,7196
2015-06-26,7196
2015-06-27,7196
2015-06-28,7196
2015-06-29,6841
2015-06-30,6841
2015-07-01,6841
2015-07-02,6841
2015-07-03,6510
2015-07-04,6510
2015-07-05,6510
2015-07-06,6510
2015-07-07,6200
2015-07-08,6200
2015-07-09,6200
2015-07-10,6200
2015-07-11,6200
2015-07-12,5900
2015-07-13,5900
2015-07-14,5900
2015-07-15,5612
2015-07-16,5612
2015-07-17,5612
2015-07-18,5345
2015-07-19,5345
2015-07-20,5345
2015-07-21,5345
2015-07-22,5077
2015-07-23,5077
2015-07-24,5077
2015-07-25,5077
2015-07-26,4869
2015-07-27,4869
2015-07-28,4869
2015-07-29,4629
2015-07-30,4629
2015-07-31,4629
