date_obj,Ancient%20crozier price
2015-03-26,45155
2015-03-27,45155
2015-03-28,42897
2015-03-29,40752
2015-03-30,39005
2015-03-31,37571
2015-04-01,37571
2015-04-02,36490
2015-04-03,35681
2015-04-04,34591
2015-04-05,34591
2015-04-06,33420
2015-04-07,32170
2015-04-08,32170
2015-04-09,31455
2015-04-10,30927
2015-04-11,29901
2015-04-12,28839
2015-04-13,27799
2015-04-14,27799
2015-04-15,26681
2015-04-16,26022
2015-04-17,25228
2015-04-18,25033
2015-04-19,24377
2015-04-20,24477
2015-04-21,23973
2015-04-22,23973
2015-04-23,23190
2015-04-24,22993
2015-04-25,22789
2015-04-26,22981
2015-04-27,22727
2015-04-28,22231
2015-04-29,22231
2015-04-30,22701
2015-05-01,23001
2015-05-02,23194
2015-05-03,23309
2015-05-04,23294
2015-05-05,23231
2015-05-06,23278
2015-05-07,23829
2015-05-08,23941
2015-05-09,23797
2015-05-10,23602
2015-05-11,23748
2015-05-12,23443
2015-05-13,23408
2015-05-14,22578
2015-05-15,22036
2015-05-16,22036
2015-05-17,21486
2015-05-18,21057
2015-05-19,20989
2015-05-20,20989
2015-05-21,20057
2015-05-22,19738
2015-05-23,19958
2015-05-24,19479
2015-05-25,19132
2015-05-26,19572
2015-05-27,20102
2015-05-28,20552
2015-05-29,20644
2015-05-30,20841
2015-05-31,20841
2015-06-01,21058
2015-06-02,21058
2015-06-03,21397
2015-06-04,21397
2015-06-05,21747
2015-06-06,22046
2015-06-07,22046
2015-06-08,21492
2015-06-09,20919
2015-06-10,19962
2015-06-11,19962
2015-06-12,18983
2015-06-13,18610
2015-06-14,18540
2015-06-15,18540
2015-06-16,17819
2015-06-17,17819
2015-06-18,17659
2015-06-19,17519
2015-06-20,17619
2015-06-21,17619
2015-06-22,17286
2015-06-23,17286
2015-06-24,16946
2015-06-25,16946
2015-06-26,16446
2015-06-27,16446
2015-06-28,16663
2015-06-29,16663
2015-06-30,16435
2015-07-01,16404
2015-07-02,16404
2015-07-03,16177
2015-07-04,16282
2015-07-05,16282
2015-07-06,16212
2015-07-07,16279
2015-07-08,16229
2015-07-09,16229
2015-07-10,16018
2015-07-11,16018
2015-07-12,15970
2015-07-13,15637
2015-07-14,15558
2015-07-15,15820
2015-07-16,15820
2015-07-17,15581
2015-07-18,15581
2015-07-19,15501
2015-07-20,15414
2015-07-21,15414
2015-07-22,15215
2015-07-23,15215
2015-07-24,15202
2015-07-25,15202
2015-07-26,15009
2015-07-27,14690
2015-07-28,14690
2015-07-29,14378
2015-07-30,14378
2015-07-31,14120
2015-08-01,14120
2015-08-02,13722
2015-08-03,13722
2015-08-04,13263
2015-08-05,12854
2015-08-06,12854
2015-08-07,12500
2015-08-08,12128
2015-08-09,12141
2015-08-10,12141
2015-08-11,11877
2015-08-12,11877
2015-08-13,11606
2015-08-14,11243
2015-08-15,11243
2015-08-16,10937
2015-08-17,10713
2015-08-18,10678
2015-08-19,10678
2015-08-20,10466
2015-08-21,10090
2015-08-22,9760
2015-08-23,9760
2015-08-24,9604
2015-08-25,9604
2015-08-26,9560
2015-08-27,9278
2015-08-28,9278
2015-08-29,9161
2015-08-30,9161
2015-08-31,8820
2015-09-01,8596
2015-09-02,8596
2015-09-03,8556
2015-09-04,8548
2015-09-05,8548
2015-09-06,8744
2015-09-07,8795
2015-09-08,8967
2015-09-09,8967
2015-09-10,8593
2015-09-11,8698
2015-09-12,8698
2015-09-13,9056
2015-09-14,9258
2015-09-15,9161
2015-09-16,9161
2015-09-17,9542
2015-09-18,9542
2015-09-19,9800
2015-09-20,9800
2015-09-21,9979
2015-09-22,10264
2015-09-23,10438
2015-09-24,10438
2015-09-25,10324
2015-09-27,10023
2015-09-28,9920
