date_obj,Ankou%20mask price
2016-07-06,5141258
2016-07-07,5141258
2016-07-08,5141258
2016-07-09,5318319
2016-07-10,5318319
2016-07-11,5318319
2016-07-12,5318319
2016-07-13,5318319
2016-07-14,5318319
2016-07-15,5513061
2016-07-16,5513061
2016-07-17,5513061
2016-07-18,5513061
2016-07-23,5513061
2016-07-24,5513061
2016-07-25,5718606
2016-07-26,5718606
2016-07-27,5718606
2016-07-28,5718606
2016-07-29,5718606
2016-07-30,5718606
2016-07-31,5718606
2016-08-01,5718606
2016-08-02,5718606
2016-08-03,5718606
2016-08-04,5718606
2016-08-05,5955573
2016-08-06,5955573
2016-08-07,5955573
2016-08-08,5955573
2016-08-09,5955573
2016-08-10,5955573
2016-08-11,5955573
2016-08-12,5955573
2016-08-13,5955573
2016-08-14,5955573
2016-08-15,5955573
2016-08-16,5955573
2016-08-17,5955573
2016-08-18,5955573
2016-08-19,5955573
2016-08-20,6193616
2016-08-21,6193616
2016-08-22,6193616
2016-08-23,6193616
2016-08-24,6193616
2016-08-25,6193616
2016-08-26,6193616
2016-08-28,6193616
2016-08-31,6193616
2016-09-01,6193616
2016-09-02,6193616
2016-09-03,6193616
2016-09-04,6193616
2016-09-05,6193616
2016-09-06,6453299
2016-09-07,6453299
2016-09-08,6453299
2016-09-09,6453299
2016-09-10,6453299
2016-09-11,6453299
2016-09-12,6453299
2016-09-13,6453299
2016-09-14,6453299
2016-09-15,6453299
2016-09-16,6453299
2016-09-17,6453299
2016-09-18,6453299
2016-09-19,6453299
2016-09-20,6453299
2016-09-21,6453299
2016-09-22,6453299
2016-09-23,6725985
2016-09-24,6725985
2016-09-25,6725985
2016-09-26,6725985
2016-09-27,6725985
2016-09-28,6725985
2016-09-29,6725985
2016-09-30,6725985
2016-10-01,6725985
2016-10-02,6725985
2016-10-03,6725985
2016-10-04,6725985
2016-10-05,6725985
2016-10-06,6725985
2016-10-07,6725985
2016-10-08,7003964
2016-10-09,7003964
2016-10-10,7003964
2016-10-11,7003964
2016-10-12,7003964
2016-10-13,7003964
2016-10-14,7003964
2016-10-15,7003964
2016-10-16,7003964
2016-10-17,7003964
2016-10-18,7003964
2016-10-19,7003964
2016-10-20,7003964
2016-10-21,7003964
2016-10-22,7003964
2016-10-23,7294170
2016-10-24,7294170
2016-10-25,7294170
2016-10-26,7294170
2016-10-27,7294170
2016-10-28,7294170
2016-10-29,7294170
2016-10-30,7294170
2016-10-31,7294170
2016-11-01,7294170
2016-11-02,7294170
2016-11-03,7294170
2016-11-04,7294170
2016-11-05,7294170
2016-11-06,7294170
2016-11-07,7294170
2016-11-08,7597452
2016-11-09,7597452
2016-11-10,7597452
2016-11-11,7597452
2016-11-12,7597452
2016-11-13,7597452
2016-11-14,7597452
2016-11-15,7597452
2016-12-07,7920021
2016-12-08,7920021
2016-12-09,7920021
2016-12-10,8269248
2016-12-11,8269248
2016-12-12,8269248
2016-12-13,8269248
2016-12-14,8269248
2016-12-15,8269248
2016-12-16,8269248
2016-12-17,8269248
2016-12-18,8269248
2016-12-19,8269248
2016-12-20,8269248
2016-12-21,8269248
2016-12-22,8269248
2016-12-23,8637306
2016-12-24,8637306
2016-12-25,8637306
2016-12-26,8637306
2016-12-27,8637306
2016-12-28,8637306
2016-12-29,8637306
2016-12-30,8637306
2016-12-31,8637306
2017-01-01,8637306
2017-01-02,8637306
2017-01-03,8637306
2017-01-04,8637306
2017-01-05,8637306
2017-01-06,8637306
2017-01-07,9014736
2017-01-08,9014736
2017-01-09,9014736
2017-01-10,9014736
2017-01-11,9014736
2017-01-12,9014736
2017-01-13,9014736
2017-01-14,9014736
2017-01-15,9014736
2017-01-16,9014736
2017-01-17,9014736
2017-01-18,9014736
2017-01-19,9014736
2017-01-20,9014736
2017-01-21,9014736
2017-01-22,9415183
2017-01-23,9415183
2017-01-27,9415183
2017-01-28,9415183
2017-01-29,9415183
2017-01-30,9415183
2017-01-31,9415183
2017-02-01,9415183
2017-02-02,9415183
