date_obj,Blue%20halloween%20mask price
2015-03-04,24084
2015-03-05,22936
2015-03-06,22149
2015-03-07,21368
2015-03-08,20998
2015-03-09,21436
2015-03-10,22468
2015-03-11,23457
2015-03-12,23927
2015-03-13,24364
2015-03-14,23824
2015-03-15,23655
2015-03-16,24499
2015-03-17,24719
2015-03-18,24719
2015-03-19,24949
2015-03-20,25692
2015-03-21,25692
2015-03-22,26358
2015-03-23,26358
2015-03-24,26404
2015-03-25,26404
2015-03-26,27465
2015-03-27,27465
2015-03-28,27567
2015-03-29,26258
2015-03-30,26258
2015-03-31,25081
2015-04-01,25081
2015-04-02,24059
2015-04-03,24059
2015-04-04,23067
2015-04-05,23067
2015-04-06,22225
2015-04-07,22225
2015-04-08,21546
2015-04-09,21546
2015-04-10,21672
2015-04-11,21672
2015-04-12,22102
2015-04-13,22102
2015-04-14,22413
2015-04-15,22413
2015-04-16,22495
2015-04-17,22495
2015-04-18,22701
2015-04-19,22701
2015-04-20,22859
2015-04-21,22859
2015-04-22,23203
2015-04-23,23203
2015-04-24,23274
2015-04-25,23274
2015-04-26,22853
2015-04-27,22853
2015-04-28,22414
2015-04-29,22414
2015-04-30,21809
2015-05-01,21809
2015-05-02,21983
2015-05-03,21983
2015-05-04,21983
2015-05-05,21880
2015-05-06,21880
2015-05-07,21835
2015-05-08,21835
2015-05-09,22106
2015-05-10,22106
2015-05-11,22106
2015-05-12,21874
2015-05-13,21874
2015-05-14,20844
2015-05-15,20844
2015-05-16,20844
2015-05-17,20278
2015-05-18,20278
2015-05-19,19928
2015-05-20,19928
2015-05-21,19928
2015-05-22,19445
2015-05-23,19445
2015-05-24,18857
2015-05-25,18857
2015-05-26,18470
2015-05-27,18470
2015-05-28,18005
2015-05-29,18005
2015-05-30,17931
2015-05-31,17931
2015-06-01,18451
2015-06-02,18451
2015-06-03,18451
2015-06-04,18771
2015-06-05,18771
2015-06-06,19141
2015-06-07,19141
2015-06-08,19366
2015-06-09,19366
2015-06-10,19283
2015-06-11,19283
2015-06-12,19213
2015-06-13,19213
2015-06-14,20068
2015-06-15,20068
2015-06-16,20903
2015-06-17,20903
2015-06-18,21924
2015-06-19,21924
2015-06-20,22767
2015-06-21,22767
2015-06-22,23751
2015-06-23,23751
2015-06-24,24791
2015-06-25,24791
2015-06-26,25416
2015-06-27,25416
2015-06-28,25822
2015-06-29,25822
2015-06-30,25799
2015-07-01,25799
2015-07-02,26365
2015-07-03,26365
2015-07-04,27090
2015-07-05,27090
2015-07-06,26866
2015-07-07,26866
2015-07-08,26288
2015-07-09,26288
2015-07-10,25960
2015-07-11,25960
2015-07-12,25088
2015-07-13,25088
2015-07-14,24615
2015-07-15,24615
2015-07-16,25198
2015-07-17,25198
2015-07-18,25561
2015-07-19,25561
2015-07-20,25459
2015-07-21,25459
2015-07-22,25043
2015-07-23,25043
2015-07-24,24954
2015-07-25,24954
2015-07-26,25325
2015-07-27,25325
2015-07-28,26564
2015-07-29,26564
2015-07-30,27425
2015-07-31,27425
2015-08-01,28496
2015-08-02,29541
2015-08-03,29541
2015-08-04,30656
2015-08-05,30656
2015-08-06,31260
2015-08-07,31260
2015-08-08,31971
2015-08-09,31971
2015-08-10,33529
2015-08-11,35042
2015-08-12,35042
2015-08-13,35042
2015-08-14,35143
2015-08-15,35143
2015-08-16,35143
2015-08-17,34479
2015-08-18,34479
2015-08-19,34479
2015-08-20,33683
2015-08-21,33683
2015-08-22,33993
2015-08-23,33993
2015-08-24,33993
2015-08-25,34689
2015-08-26,34689
2015-08-27,35590
2015-08-28,35590
2015-08-29,35590
2015-08-30,37205
2015-08-31,37205
2015-09-01,109795031
2015-09-02,38752
2015-09-07,42310
2015-09-08,42310
2015-09-10,43796
2015-09-14,47835
2015-09-16,49411
2015-09-22,46841
2015-09-23,46841
2015-09-24,44792
2015-09-25,44792
2015-09-27,42689
2015-09-28,42689
2015-09-29,42689
2015-09-30,40631
2015-10-05,38954
2015-10-06,37097
2015-10-07,37097
2015-10-08,37097
2015-10-09,35242
2015-10-10,35242
2015-10-11,35242
2015-10-12,34094
2015-10-13,34094
2015-10-14,34094
2015-10-15,33424
2015-10-16,33424
2015-10-17,33424
2015-10-18,33424
2015-10-19,32403
2015-10-20,32403
2015-10-22,32031
2015-10-23,32031
2015-10-24,32031
2015-10-25,31778
2015-10-26,31778
2015-10-27,31778
2015-10-29,31019
2015-10-30,29468
2015-10-31,27994
2015-11-01,26748
2015-11-02,25410
2015-11-03,24287
2015-11-04,23253
2015-11-05,22090
2015-11-06,22090
2015-11-07,20985
2015-11-08,20985
2015-11-09,19935
2015-11-10,19935
2015-11-11,18938
2015-11-12,18938
2015-11-13,18178
2015-11-14,18178
2015-11-15,17715
2015-11-16,17715
2015-11-17,17715
2015-11-18,17353
2015-11-19,17353
2015-11-20,17077
2015-11-21,17077
2015-11-22,16897
2015-11-23,16897
2015-11-24,16897
2015-11-25,16614
2015-11-26,16614
2015-11-27,16614
2015-11-28,16262
2015-11-29,16262
2015-11-30,15595
2015-12-01,15595
2015-12-02,15595
2015-12-03,15065
2015-12-04,15065
2015-12-05,15065
2015-12-06,14567
2015-12-07,14567
2015-12-08,14567
2015-12-09,14351
2015-12-10,14351
2015-12-11,14351
2015-12-12,13978
2015-12-13,13978
2015-12-14,13978
2015-12-15,13771
2015-12-16,13771
2015-12-17,13771
2015-12-18,13863
2015-12-19,13863
2015-12-20,13863
2015-12-21,13630
2015-12-22,13630
2015-12-23,13630
2015-12-24,13647
2015-12-25,13647
2015-12-26,13647
2015-12-27,13722
2015-12-28,13722
2015-12-29,13722
2015-12-30,13692
2015-12-31,13692
2016-01-01,13692
2016-01-02,13692
2016-01-03,13830
2016-01-04,13830
2016-01-05,13830
2016-01-06,13830
2016-01-07,13986
2016-01-08,13986
2016-01-09,13986
2016-01-10,13986
2016-01-11,13814
2016-01-12,13814
2016-01-13,13814
2016-01-14,13628
2016-01-15,13628
2016-01-16,13628
2016-01-17,13628
2016-01-18,13423
2016-01-19,13423
2016-01-20,13423
2016-01-21,13423
2016-01-22,13246
2016-01-23,13246
2016-01-24,13246
2016-01-25,13051
2016-01-26,13051
2016-01-27,13051
2016-01-28,13051
2016-01-29,12754
2016-01-30,12754
2016-01-31,12754
2016-02-01,12588
2016-02-02,12588
2016-02-03,12588
2016-02-04,12243
2016-02-05,12243
2016-02-06,12243
2016-02-07,12035
2016-02-08,12035
2016-02-09,12035
2016-02-10,11764
2016-02-11,11764
2016-02-12,11764
2016-02-13,11643
2016-02-14,11643
2016-02-15,11643
2016-02-16,11643
2016-02-17,11552
