date_obj,Uri's%20hat price
2019-04-11,625000
2019-04-11,653099
2019-04-12,685754
2019-04-13,719333
2019-04-14,753362
2019-04-15,753362
2019-04-16,738053
2019-04-17,706638
2019-04-18,671306
2019-04-19,671306
2019-04-20,637740
2019-04-21,637740
2019-04-22,605853
2019-04-23,605853
2019-04-24,575560
2019-04-25,575560
2019-04-26,547945
2019-04-27,547945
2019-04-28,521621
2019-04-29,521621
2019-04-30,495539
2019-05-01,495539
2019-05-02,472388
2019-05-03,448768
2019-05-04,427338
2019-05-05,427338
2019-05-06,407842
2019-05-07,407842
2019-05-08,388469
2019-05-09,388469
2019-05-10,370521
2019-05-11,370521
2019-05-12,351994
2019-05-13,334394
2019-05-14,334394
2019-05-15,318897
2019-05-16,305077
2019-05-17,305077
2019-05-18,289823
2019-05-19,289823
2019-05-20,275331
2019-05-21,275331
2019-05-22,262134
2019-05-23,250367
2019-05-24,250367
2019-05-25,237848
2019-05-26,237848
2019-05-27,226576
2019-05-28,216750
2019-05-29,206631
2019-05-30,206631
2019-05-31,196984
2019-06-01,187892
2019-06-02,187892
2019-06-03,179070
2019-06-04,170643
2019-06-05,163433
2019-06-06,163433
2019-06-07,155261
2019-06-08,148017
2019-06-09,148017
2019-06-10,141613
2019-06-11,141613
2019-06-12,134532
2019-06-13,134532
2019-06-14,128677
2019-06-15,128677
2019-06-16,125331
2019-06-17,125331
2019-06-18,125331
2019-06-19,120384
2019-06-20,120384
2019-06-21,116885
2019-06-22,116885
2019-06-23,113209
2019-06-24,113209
2019-06-25,108328
2019-06-26,108328
2019-06-27,102911
2019-06-28,102911
2019-06-29,102911
2019-06-30,98527
2019-07-01,98527
2019-07-02,94372
2019-07-03,94372
2019-07-04,90959
2019-07-05,90959
2019-07-06,87092
2019-07-07,87092
2019-07-08,83488
2019-07-09,82673
2019-07-10,82673
2019-07-11,82673
2019-07-12,79592
2019-07-13,79592
2019-07-14,76437
2019-07-15,76437
2019-07-16,76437
2019-07-17,74775
2019-07-18,74775
2019-07-19,74775
2019-07-20,72433
2019-07-21,72433
2019-07-22,70681
2019-07-23,70681
2019-07-24,70681
2019-07-25,68625
2019-07-26,68625
2019-07-27,65446
2019-07-28,65446
2019-07-29,62969
2019-07-30,62969
2019-07-31,63012
2019-08-01,63012
2019-08-02,65576
2019-08-03,68430
2019-08-04,68430
2019-08-05,71358
2019-08-06,71358
2019-08-07,70156
2019-08-08,70156
2019-08-09,70156
2019-08-10,66648
2019-08-11,66648
2019-08-12,64069
