date_obj,Black%20demon%20mask price
2016-07-06,5171533
2016-07-07,5171533
2016-07-08,5171533
2016-07-09,5005439
2016-07-10,5005439
2016-07-11,5005439
2016-07-12,5005439
2016-07-13,4759000
2016-07-14,4759000
2016-07-15,4759000
2016-07-16,4759000
2016-07-17,4759000
2016-07-18,4759000
2016-07-23,4521050
2016-07-24,4521050
2016-07-25,4296181
2016-07-26,4296181
2016-07-27,4296181
2016-07-28,4296181
2016-07-29,4296181
2016-07-30,4296181
2016-07-31,4083029
2016-08-01,4083029
2016-08-02,4083029
2016-08-03,4083029
2016-08-04,4083029
2016-08-05,4083029
2016-08-06,4083029
2016-08-07,3878877
2016-08-08,3878877
2016-08-09,3878877
2016-08-10,3878877
2016-08-11,3878877
2016-08-12,3878877
2016-08-13,3878877
2016-08-14,3686406
2016-08-15,3686406
2016-08-16,3686406
2016-08-17,3686406
2016-08-18,3686406
2016-08-19,3686406
2016-08-20,3686406
2016-08-21,3502085
2016-08-22,3502085
2016-08-23,3502085
2016-08-24,3502085
2016-08-25,3502085
2016-08-26,3502085
2016-08-28,3328411
2016-08-31,3328411
2016-09-01,3328411
2016-09-02,3328411
2016-09-03,3328411
2016-09-04,3161990
2016-09-05,3161990
2016-09-06,3161990
2016-09-07,3161990
2016-09-08,3161990
2016-09-09,3161990
2016-09-10,3161990
2016-09-11,3161990
2016-09-12,3161990
2016-09-13,3006706
2016-09-14,3006706
2016-09-15,3006706
2016-09-16,3006706
2016-09-17,3006706
2016-09-18,3006706
2016-09-19,3006706
2016-09-20,3006706
2016-09-21,2857176
2016-09-22,2857176
2016-09-23,2857176
2016-09-24,2857176
2016-09-25,2857176
2016-09-26,2857176
2016-09-27,2857176
2016-09-28,2857176
2016-09-29,2715466
2016-09-30,2715466
2016-10-01,2715466
2016-10-02,2715466
2016-10-03,2715466
2016-10-04,2715466
2016-10-05,2715466
2016-10-06,2715466
2016-10-07,2580394
2016-10-08,2580394
2016-10-09,2580394
2016-10-10,2580394
