date_obj,Air%20battlestaff price
2015-03-26,9073
2015-03-27,9073
2015-03-28,9070
2015-03-29,9067
2015-03-30,9067
2015-03-31,9079
2015-04-01,9084
2015-04-02,9068
2015-04-03,9074
2015-04-04,9082
2015-04-05,9104
2015-04-06,9097
2015-04-07,9098
2015-04-08,9094
2015-04-09,9089
2015-04-10,9085
2015-04-11,9090
2015-04-12,9085
2015-04-13,9100
2015-04-14,9104
2015-04-15,9072
2015-04-16,9072
2015-04-17,9084
2015-04-18,9075
2015-04-19,9071
2015-04-20,9063
2015-04-21,9072
2015-04-22,9067
2015-04-23,9082
2015-04-24,9076
2015-04-25,9093
2015-04-26,9088
2015-04-27,9088
2015-04-28,9095
2015-04-29,9095
2015-04-30,9103
2015-05-01,9086
2015-05-02,9055
2015-05-03,9055
2015-05-04,9070
2015-05-05,9084
2015-05-06,9086
2015-05-07,9072
2015-05-08,9075
2015-05-09,9076
2015-05-10,9077
2015-05-11,9077
2015-05-12,9076
2015-05-13,9066
2015-05-14,9058
2015-05-15,9062
2015-05-16,9063
2015-05-17,9073
2015-05-18,9082
2015-05-19,9089
2015-05-20,9089
2015-05-21,9081
2015-05-22,9074
2015-05-23,9084
2015-05-24,9091
2015-05-25,9080
2015-05-26,9083
2015-05-27,9095
2015-05-28,9095
2015-05-29,9097
2015-05-30,9086
2015-05-31,9083
2015-06-01,9092
2015-06-02,9111
2015-06-03,9119
2015-06-04,9122
2015-06-05,9125
2015-06-06,9143
2015-06-07,9120
2015-06-08,9140
2015-06-09,9140
2015-06-10,9136
2015-06-11,9154
2015-06-12,9159
2015-06-13,9154
2015-06-14,9132
2015-06-15,9118
2015-06-16,9112
2015-06-17,9126
2015-06-18,9105
2015-06-19,9121
2015-06-20,9113
2015-06-21,9109
2015-06-22,9108
2015-06-23,9111
2015-06-24,9123
2015-06-25,9123
2015-06-26,9129
2015-06-27,9145
2015-06-28,9134
2015-06-29,9116
2015-06-30,9137
2015-07-01,9140
2015-07-02,9136
2015-07-03,9133
2015-07-04,9121
2015-07-05,9132
2015-07-06,9111
2015-07-07,9117
2015-07-08,9101
2015-07-09,9091
2015-07-10,9074
2015-07-11,9085
2015-07-12,9084
2015-07-13,9070
2015-07-14,9081
2015-07-15,9091
2015-07-16,9105
2015-07-17,9110
2015-07-18,9102
2015-07-19,9098
2015-07-20,9105
2015-07-21,9120
2015-07-22,9123
2015-07-23,9093
2015-07-24,9104
2015-07-25,9119
2015-07-26,9125
2015-07-27,9122
2015-07-28,9121
2015-07-29,9146
2015-07-30,9138
2015-07-31,9136
2015-08-01,9135
2015-08-02,9131
2015-08-03,9133
2015-08-04,9117
2015-08-05,9133
2015-08-06,9147
2015-08-07,9162
2015-08-08,9142
2015-08-09,9118
2015-08-10,9121
2015-08-11,9114
2015-08-12,9118
2015-08-13,9104
2015-08-14,9106
2015-08-15,9123
2015-08-16,9102
2015-08-17,9108
2015-08-18,9105
2015-08-19,9109
2015-08-20,9106
2015-08-21,9101
2015-08-22,9113
2015-08-23,9122
2015-08-24,9128
2015-08-25,9117
2015-08-26,9115
2015-08-27,9128
2015-08-28,9117
2015-08-29,9090
2015-08-30,9089
2015-08-31,9106
