date_obj,Armadyl%20cloak price
2015-03-26,263010
2015-03-27,263010
2015-03-28,258546
2015-03-29,256974
2015-03-30,260934
2015-03-31,260151
2015-04-01,263910
2015-04-02,266669
2015-04-03,271135
2015-04-04,276528
2015-04-05,278094
2015-04-06,276558
2015-04-07,276930
2015-04-08,277264
2015-04-09,279176
2015-04-10,279386
2015-04-11,279677
2015-04-12,278765
2015-04-13,271989
2015-04-14,258389
2015-04-15,245566
2015-04-16,240685
2015-04-17,233331
2015-04-18,227683
2015-04-19,222708
2015-04-20,219620
2015-04-21,216363
2015-04-22,217940
2015-04-23,219673
2015-04-24,218227
2015-04-25,217178
2015-04-26,216007
2015-04-27,219045
2015-04-28,217725
2015-04-29,214847
2015-04-30,215529
2015-05-01,212658
2015-05-02,206206
2015-05-03,198636
2015-05-04,190468
2015-05-05,182318
2015-05-06,179200
2015-05-07,171053
2015-05-08,164897
2015-05-09,158786
2015-05-10,153217
2015-05-11,147801
2015-05-12,142626
2015-05-13,136549
2015-05-14,133155
2015-05-15,129654
2015-05-16,128722
2015-05-17,128669
2015-05-18,126494
2015-05-19,126040
2015-05-20,126130
2015-05-21,131533
2015-05-22,134588
2015-05-23,132165
2015-05-24,125714
2015-05-25,122516
2015-05-26,119424
2015-05-27,117793
2015-05-28,116405
2015-05-29,115766
2015-05-30,114073
2015-05-31,112799
2015-06-01,112036
2015-06-02,115634
2015-06-03,116571
2015-06-04,119844
2015-06-05,121384
2015-06-06,125024
2015-06-07,131049
2015-06-08,137569
2015-06-09,143669
2015-06-10,150721
2015-06-11,156963
2015-06-12,161126
2015-06-13,168846
2015-06-14,175768
2015-06-15,177883
2015-06-16,177723
2015-06-17,174923
2015-06-18,174527
2015-06-19,175897
2015-06-20,176347
2015-06-21,175931
2015-06-22,178514
2015-06-23,176718
2015-06-24,172978
2015-06-25,171428
2015-06-26,169470
2015-06-27,168542
2015-06-28,172880
2015-06-29,179996
2015-06-30,184686
2015-07-01,183441
2015-07-02,183441
2015-07-03,177328
2015-07-04,175848
2015-07-05,173370
2015-07-06,173838
2015-07-07,174044
2015-07-08,175739
2015-07-09,179571
2015-07-10,181890
2015-07-11,176052
2015-07-12,170138
2015-07-13,165538
2015-07-14,163813
2015-07-15,170836
2015-07-16,175748
2015-07-17,177119
2015-07-18,178557
2015-07-19,178980
2015-07-20,179492
2015-07-21,181287
2015-07-22,182892
2015-07-23,182892
2015-07-24,183756
2015-07-25,183495
2015-07-26,182405
2015-07-27,182882
2015-07-28,182113
2015-07-29,183946
2015-07-30,184432
2015-07-31,185046
2015-08-01,182836
2015-08-02,180993
2015-08-03,176173
2015-08-04,174701
2015-08-05,170112
2015-08-06,169419
2015-08-07,171386
2015-08-08,173826
2015-08-09,171423
2015-08-10,170625
2015-08-11,168073
2015-08-12,164549
2015-08-13,165230
2015-08-14,161124
2015-08-15,157470
2015-08-16,154712
2015-08-17,151050
2015-08-18,153706
2015-08-19,155236
2015-08-20,156407
2015-08-21,157309
2015-08-22,156216
2015-08-23,156497
2015-08-24,158839
2015-08-25,159971
2015-08-26,158911
2015-08-27,159555
2015-08-28,160000
2015-08-29,161007
2015-08-30,161117
2015-08-31,161336
2015-09-01,158083
2015-09-02,156942
2015-09-03,157376
2015-09-04,157934
2015-09-05,157704
2015-09-06,158512
2015-09-07,159582
2015-09-08,158658
2015-09-09,156971
