date_obj,Dragon%20scimitar price
2015-03-26,68287
2015-03-27,68081
2015-03-28,67728
2015-03-29,67740
2015-03-30,67457
2015-03-31,67144
2015-04-01,67404
2015-04-02,67406
2015-04-03,67471
2015-04-04,67127
2015-04-05,66656
2015-04-06,67092
2015-04-07,68777
2015-04-08,68112
2015-04-09,66886
2015-04-10,65616
2015-04-11,67751
2015-04-12,68767
2015-04-13,67859
2015-04-14,67460
2015-04-15,68959
2015-04-16,67591
2015-04-17,67613
2015-04-18,68916
2015-04-19,68427
2015-04-20,68379
2015-04-21,67934
2015-04-22,67531
2015-04-23,67767
2015-04-24,68326
2015-04-25,67882
2015-04-26,68421
2015-04-27,68048
2015-04-28,67381
2015-04-29,67722
2015-04-30,67811
2015-05-01,68094
2015-05-02,66651
2015-05-03,66512
2015-05-04,66747
2015-05-05,67674
2015-05-06,69728
2015-05-07,68921
2015-05-08,66514
2015-05-09,64953
2015-05-10,65555
2015-05-11,67578
2015-05-12,68036
2015-05-13,68786
2015-05-14,67782
2015-05-15,68403
2015-05-16,67925
2015-05-17,67903
2015-05-18,67985
2015-05-19,67478
2015-05-20,67433
2015-05-21,68407
2015-05-22,68416
2015-05-23,70722
2015-05-24,69166
2015-05-25,68031
2015-05-26,67447
2015-05-27,67638
2015-05-28,69353
2015-05-29,70061
2015-05-30,68730
2015-05-31,67781
2015-06-01,67301
2015-06-02,66961
2015-06-03,67325
2015-06-04,67298
2015-06-05,67420
2015-06-06,68269
2015-06-07,68382
2015-06-08,67478
2015-06-09,67573
2015-06-10,67569
2015-06-11,66521
2015-06-12,66106
2015-06-13,67604
2015-06-14,67882
2015-06-15,68258
2015-06-16,68127
2015-06-17,68045
2015-06-18,67458
2015-06-19,67687
2015-06-20,68651
2015-06-21,69473
2015-06-22,68426
2015-06-23,67398
2015-06-24,67246
2015-06-25,67494
2015-06-26,67272
2015-06-27,69140
2015-06-28,68098
2015-06-29,67871
2015-06-30,68355
2015-07-01,68350
2015-07-02,69144
2015-07-03,67943
2015-07-04,66944
2015-07-05,67231
2015-07-06,67470
2015-07-07,67873
2015-07-08,67827
2015-07-09,67534
2015-07-10,67519
2015-07-11,68528
2015-07-12,67786
2015-07-13,66928
2015-07-14,66619
2015-07-15,67357
2015-07-16,67786
2015-07-17,68746
2015-07-18,68192
2015-07-19,67877
2015-07-20,67799
2015-07-21,67030
2015-07-22,67779
2015-07-23,68495
2015-07-24,68908
2015-07-25,67957
2015-07-26,67030
2015-07-27,66915
2015-07-28,67721
2015-07-29,68629
2015-07-30,69529
2015-07-31,68698
2015-08-01,67483
2015-08-02,67217
2015-08-03,67534
2015-08-04,67777
2015-08-05,68353
2015-08-06,68622
2015-08-07,68470
2015-08-08,67891
2015-08-09,67704
2015-08-10,67471
2015-08-11,67840
2015-08-12,68416
2015-08-13,67963
2015-08-14,68560
2015-08-15,70891
2015-08-16,68934
2015-08-17,67855
2015-08-18,67650
2015-08-19,68169
2015-08-20,68307
2015-08-21,69253
2015-08-22,69531
2015-08-23,68936
2015-08-24,67899
2015-08-25,67465
2015-08-26,67325
2015-08-27,68472
2015-08-28,69119
2015-08-29,68464
2015-08-30,67466
2015-08-31,67899
2015-09-01,66594
2015-09-02,68045
2015-09-03,68678
2015-09-04,68664
2015-09-05,68071
2015-09-06,68321
2015-09-07,67979
2015-09-08,69365
2015-09-09,68350
2015-09-10,66432
2015-09-11,66989
2015-09-12,68506
2015-09-13,68056
2015-09-14,68820
2015-09-15,69549
2015-09-16,68103
2015-09-17,68078
2015-09-18,67905
2015-09-19,69576
2015-09-20,69607
2015-09-21,68372
2015-09-22,67633
2015-09-23,67458
2015-09-24,68007
2015-09-25,69463
2015-09-27,71418
2015-09-28,71207
2015-09-29,69937
2015-09-30,68714
2015-10-05,67307
2015-10-06,67993
2015-10-07,68052
2015-10-08,67939
2015-10-09,68187
2015-10-10,68812
2015-10-11,68838
2015-10-12,68322
2015-10-13,68645
2015-10-14,69469
2015-10-15,68420
2015-10-16,69195
2015-10-17,68720
2015-10-18,68244
2015-10-19,68249
2015-10-20,68112
2015-10-22,67215
2015-10-23,67724
2015-10-24,67646
2015-10-25,68231
2015-10-26,68838
2015-10-27,68895
2015-10-29,69495
2015-10-30,68284
2015-10-31,68205
2015-11-01,68226
2015-11-02,68600
2015-11-03,68387
2015-11-04,68605
2015-11-05,68719
2015-11-06,68683
2015-11-07,68299
2015-11-08,67996
2015-11-09,67574
2015-11-10,68104
2015-11-11,68607
2015-11-12,68222
2015-11-13,67946
2015-11-14,67975
2015-11-15,68141
2015-11-16,68377
2015-11-17,69975
2015-11-18,69395
2015-11-19,71336
2015-11-20,70901
2015-11-21,70584
2015-11-22,69833
2015-11-23,69214
2015-11-24,68976
2015-11-25,69368
2015-11-26,69422
2015-11-27,68837
2015-11-28,68871
2015-11-29,68548
2015-11-30,68022
2015-12-01,67614
2015-12-02,68045
2015-12-03,69033
2015-12-04,70817
2015-12-05,70614
2015-12-06,69242
2015-12-07,68522
2015-12-08,68406
2015-12-09,68490
2015-12-10,68661
2015-12-11,68798
2015-12-12,68863
2015-12-13,69091
2015-12-14,68939
2015-12-15,68847
2015-12-16,68776
2015-12-17,68945
2015-12-18,68503
2015-12-19,67936
2015-12-20,68533
2015-12-21,68288
2015-12-22,68260
2015-12-23,69054
2015-12-24,69250
2015-12-25,68798
2015-12-26,69181
2015-12-27,70737
2015-12-28,70044
2015-12-29,69596
2015-12-30,69108
2015-12-31,69023
2016-01-01,68413
2016-01-02,69387
2016-01-03,72521
2016-01-04,74740
2016-01-05,74010
2016-01-06,71108
2016-01-07,68030
2016-01-08,67456
2016-01-09,68030
2016-01-10,68143
2016-01-11,68475
2016-01-12,68561
2016-01-13,68285
2016-01-14,67953
2016-01-15,68565
2016-01-16,68970
2016-01-17,68534
2016-01-18,68523
2016-01-19,68167
2016-01-20,68913
2016-01-21,68332
2016-01-22,68297
2016-01-23,67946
2016-01-24,67723
2016-01-25,67614
2016-01-26,68729
2016-01-27,69084
2016-01-28,68963
2016-01-29,69640
2016-01-30,69124
2016-01-31,69016
2016-02-01,69501
2016-02-02,69135
2016-02-03,68789
2016-02-04,68351
2016-02-05,67913
2016-02-06,68158
2016-02-07,68489
2016-02-08,68119
2016-02-09,68205
2016-02-10,68019
2016-02-11,67914
2016-02-12,68233
2016-02-13,68319
2016-02-14,68244
2016-02-15,67430
2016-02-16,67957
2016-02-17,68532
2016-02-18,69227
2016-02-19,68923
2016-02-20,68019
2016-02-21,67319
2016-02-22,67783
2016-02-23,68507
2016-02-24,68552
2016-02-25,68774
2016-02-26,68677
2016-02-27,68762
2016-02-28,68679
2016-02-29,68644
2016-03-01,68374
2016-03-02,68592
2016-03-03,68436
2016-03-04,68793
2016-03-05,68899
2016-03-06,68721
2016-03-07,69326
2016-03-08,70704
2016-03-09,71212
2016-03-10,70181
2016-03-11,69784
2016-03-12,69256
2016-03-13,67333
2016-03-14,67199
2016-03-15,67781
2016-03-16,68125
2016-03-17,68262
2016-03-18,68817
2016-03-19,68840
2016-03-20,68889
2016-03-21,69280
2016-03-22,68963
2016-03-23,68960
2016-03-24,69018
2016-03-25,68817
2016-03-26,72097
2016-03-27,72050
2016-03-28,69694
2016-03-29,68437
2016-03-30,67319
2016-03-31,66475
2016-04-01,68002
2016-04-02,68174
2016-04-03,70817
2016-04-04,71318
2016-04-05,68759
2016-04-06,67520
2016-04-07,67408
2016-04-08,68271
2016-04-09,68460
2016-04-10,69042
2016-04-11,69054
2016-04-12,69286
2016-04-13,68480
2016-04-14,67340
2016-04-15,67520
2016-04-16,68312
2016-04-17,68609
2016-04-18,68526
2016-04-19,68203
