date_obj,Red%20dye price
2015-03-26,2388
2015-03-27,2388
2015-03-28,2268
2015-03-29,2160
2015-03-30,2052
2015-03-31,2002
2015-04-01,1978
2015-04-02,1888
2015-04-03,1793
2015-04-04,1703
2015-04-05,1617
2015-04-06,1536
2015-04-07,1459
2015-04-08,1459
2015-04-09,1386
2015-04-10,1316
2015-04-11,1250
2015-04-12,1187
2015-04-13,1127
2015-04-14,1071
2015-04-15,1017
2015-04-16,966
2015-04-17,917
2015-04-18,871
2015-04-19,827
2015-04-20,827
2015-04-21,792
2015-04-22,774
2015-04-23,775
2015-04-24,752
2015-04-25,714
2015-04-26,678
2015-04-27,644
2015-04-28,611
2015-04-29,611
2015-04-30,588
2015-05-01,578
2015-05-02,552
2015-05-03,552
2015-05-04,555
2015-05-05,544
2015-05-06,529
2015-05-07,529
2015-05-08,502
2015-05-09,493
2015-05-10,480
2015-05-11,480
2015-05-12,463
2015-05-13,441
2015-05-14,440
2015-05-15,453
2015-05-16,472
2015-05-17,455
2015-05-18,451
2015-05-19,449
2015-05-20,449
2015-05-21,439
2015-05-22,439
2015-05-23,446
2015-05-24,457
2015-05-25,455
2015-05-26,468
2015-05-27,489
2015-05-28,509
2015-05-29,512
2015-05-30,529
2015-05-31,547
2015-06-01,568
2015-06-02,583
2015-06-03,602
2015-06-04,586
2015-06-05,587
2015-06-06,584
2015-06-07,583
2015-06-08,585
2015-06-09,596
2015-06-10,606
2015-06-11,612
2015-06-12,621
2015-06-13,620
2015-06-14,605
2015-06-15,599
2015-06-16,601
2015-06-17,616
2015-06-18,623
2015-06-19,616
2015-06-20,603
2015-06-21,624
2015-06-22,638
2015-06-23,660
2015-06-24,681
2015-06-25,681
2015-06-26,702
2015-06-27,729
2015-06-28,755
2015-06-29,784
2015-06-30,807
2015-07-01,836
2015-07-02,836
2015-07-03,826
2015-07-04,846
2015-07-05,878
2015-07-06,905
2015-07-07,919
2015-07-08,948
2015-07-09,948
2015-07-10,936
2015-07-11,895
2015-07-12,918
2015-07-13,896
2015-07-14,886
2015-07-15,877
2015-07-16,871
2015-07-17,862
2015-07-18,854
2015-07-19,862
2015-07-20,839
2015-07-21,809
2015-07-22,831
2015-07-23,831
2015-07-24,810
2015-07-25,797
2015-07-26,766
2015-07-27,738
2015-07-28,701
2015-07-29,686
2015-07-30,714
2015-07-31,724
2015-08-01,718
2015-08-02,731
2015-08-03,725
2015-08-04,738
2015-08-05,745
2015-08-06,723
2015-08-07,728
2015-08-08,736
2015-08-09,729
2015-08-10,721
2015-08-11,742
2015-08-12,755
2015-08-13,741
2015-08-14,707
2015-08-15,671
2015-08-16,653
2015-08-17,637
2015-08-18,654
2015-08-19,669
2015-08-20,646
2015-08-21,632
2015-08-22,643
2015-08-23,644
2015-08-24,668
2015-08-25,668
2015-08-26,693
2015-08-27,715
2015-08-28,734
2015-08-29,735
2015-08-30,740
2015-08-31,760
2015-09-01,749
2015-09-02,749
2015-09-03,780
2015-09-04,796
2015-09-05,796
2015-09-06,825
2015-09-07,843
2015-09-08,826
2015-09-09,843
2015-09-10,873
2015-09-11,889
2015-09-12,859
2015-09-13,849
2015-09-14,836
2015-09-15,819
2015-09-16,819
2015-09-17,831
2015-09-18,856
2015-09-19,868
2015-09-20,871
2015-09-21,830
2015-09-22,813
2015-09-23,821
2015-09-24,821
2015-09-25,792
2015-09-27,763
2015-09-28,736
2015-09-29,719
2015-09-30,723
2015-10-05,579
2015-10-06,576
2015-10-07,577
2015-10-08,587
2015-10-09,599
2015-10-10,599
2015-10-11,604
2015-10-12,597
2015-10-13,597
2015-10-14,612
2015-10-15,635
2015-10-16,656
2015-10-17,656
2015-10-18,673
2015-10-19,674
2015-10-20,704
2015-10-22,727
2015-10-23,761
2015-10-24,781
2015-10-25,770
2015-10-26,777
2015-10-27,777
2015-10-29,786
2015-10-30,765
2015-10-31,726
2015-11-01,726
2015-11-02,733
2015-11-03,723
2015-11-04,721
2015-11-05,722
2015-11-06,720
2015-11-07,717
2015-11-08,717
2015-11-09,721
2015-11-10,709
2015-11-11,724
2015-11-12,739
2015-11-13,738
2015-11-14,742
2015-11-15,743
2015-11-16,741
2015-11-17,746
2015-11-18,752
2015-11-19,723
2015-11-20,726
2015-11-21,726
2015-11-22,733
2015-11-23,733
2015-11-24,744
2015-11-25,764
2015-11-26,764
2015-11-27,775
2015-11-28,761
2015-11-29,763
2015-11-30,774
2015-12-01,796
2015-12-02,795
2015-12-03,819
2015-12-04,819
2015-12-05,825
2015-12-06,796
2015-12-07,787
2015-12-08,797
2015-12-09,769
2015-12-10,730
2015-12-11,714
2015-12-12,737
2015-12-13,735
2015-12-14,735
2015-12-15,742
2015-12-16,736
2015-12-17,757
2015-12-18,773
2015-12-19,771
2015-12-20,770
2015-12-21,767
2015-12-22,794
2015-12-23,820
2015-12-24,818
2015-12-25,841
2015-12-26,868
2015-12-27,870
2015-12-28,871
2015-12-29,845
2015-12-30,802
2015-12-31,763
2016-01-01,787
2016-01-02,800
2016-01-03,816
2016-01-04,828
2016-01-05,824
2016-01-06,844
2016-01-07,878
2016-01-08,864
2016-01-09,843
2016-01-10,867
2016-01-11,863
2016-01-12,893
2016-01-13,909
2016-01-14,913
2016-01-15,915
2016-01-16,881
2016-01-17,865
2016-01-18,828
2016-01-19,786
2016-01-20,758
2016-01-21,748
2016-01-22,715
2016-01-23,687
2016-01-24,676
2016-01-25,671
2016-01-26,679
2016-01-27,686
2016-01-28,686
2016-01-29,674
2016-01-30,674
2016-01-31,678
2016-02-01,703
2016-02-02,718
2016-02-03,743
2016-02-04,777
2016-02-05,808
2016-02-06,818
2016-02-07,802
2016-02-08,788
2016-02-09,753
2016-02-10,723
2016-02-11,688
2016-02-12,681
2016-02-13,691
2016-02-14,681
2016-02-15,671
2016-02-16,653
2016-02-17,653
2016-02-18,664
2016-02-19,671
2016-02-20,687
2016-02-21,671
2016-02-22,671
2016-02-23,671
2016-02-24,667
2016-02-25,654
2016-02-26,656
2016-02-27,654
2016-02-28,649
2016-02-29,661
2016-03-01,675
2016-03-03,706
2016-03-04,711
2016-03-05,695
2016-03-06,691
2016-03-07,706
2016-03-08,693
2016-03-09,682
2016-03-10,666
2016-03-11,669
2016-03-12,688
2016-03-13,706
2016-03-14,733
2016-03-15,765
2016-03-16,791
2016-03-17,798
2016-03-18,778
2016-03-19,743
2016-03-20,730
2016-03-21,750
2016-03-22,760
2016-03-23,785
2016-03-24,823
2016-03-25,841
2016-03-26,799
2016-03-27,773
2016-03-28,779
2016-03-29,743
2016-03-30,743
2016-03-31,726
2016-04-01,719
2016-04-02,723
2016-04-03,736
2016-04-04,753
2016-04-05,777
2016-04-06,802
2016-04-07,805
2016-04-08,770
2016-04-09,796
2016-04-10,823
2016-04-11,823
2016-04-12,845
2016-04-13,882
2016-04-14,892
2016-04-15,908
2016-04-16,891
2016-04-17,846
2016-04-18,803
2016-04-19,762
2016-04-20,723
2016-04-21,687
2016-04-22,652
2016-04-23,655
2016-04-24,675
2016-04-25,668
2016-04-26,675
2016-04-27,678
2016-04-28,682
2016-04-29,677
2016-04-30,674
2016-05-01,662
2016-05-02,655
2016-05-03,648
2016-05-04,669
2016-05-05,645
2016-05-06,673
2016-05-07,674
2016-05-08,664
2016-05-09,673
2016-05-10,671
2016-05-11,671
2016-05-12,659
2016-05-13,662
2016-05-14,681
2016-05-15,699
2016-05-16,709
2016-05-17,726
2016-05-18,729
2016-05-19,732
2016-05-22,724
2016-05-23,736
2016-05-24,756
2016-05-25,773
2016-05-26,760
2016-05-27,728
2016-05-28,695
2016-05-29,683
2016-05-30,697
2016-05-31,697
2016-06-01,667
2016-06-02,638
2016-06-03,620
2016-06-04,589
2016-06-05,562
2016-06-06,548
2016-06-07,551
2016-06-08,541
2016-06-09,557
2016-06-10,580
2016-06-11,597
2016-06-12,584
2016-06-13,557
2016-06-14,545
2016-06-15,535
2016-06-16,536
2016-06-17,554
2016-06-18,567
2016-06-19,577
2016-06-20,591
2016-06-21,616
2016-06-22,644
2016-06-23,662
2016-06-24,660
2016-06-25,671
2016-06-26,644
2016-06-27,645
2016-06-28,638
2016-06-29,659
2016-06-30,646
2016-07-01,649
2016-07-02,659
2016-07-03,644
2016-07-04,642
2016-07-05,624
2016-07-06,635
2016-07-07,657
2016-07-08,665
2016-07-09,674
2016-07-10,668
2016-07-11,666
2016-07-12,656
2016-07-13,655
2016-07-14,656
2016-07-15,658
2016-07-16,627
2016-07-17,608
2016-07-18,618
2016-07-23,616
2016-07-24,637
2016-07-25,653
2016-07-26,653
2016-07-27,648
2016-07-28,659
2016-07-29,676
2016-07-30,649
2016-07-31,621
2016-08-01,625
2016-08-02,645
2016-08-03,676
2016-08-04,692
2016-08-05,709
2016-08-06,724
2016-08-07,706
2016-08-08,722
2016-08-09,748
2016-08-10,781
2016-08-11,812
2016-08-12,824
2016-08-13,850
2016-08-14,880
2016-08-15,865
2016-08-16,830
2016-08-17,793
2016-08-18,789
2016-08-19,764
2016-08-20,747
2016-08-21,746
2016-08-22,709
2016-08-23,691
2016-08-24,703
2016-08-25,704
2016-08-26,704
2016-08-28,712
2016-08-31,670
2016-09-01,695
2016-09-02,695
2016-09-03,679
2016-09-04,693
2016-09-05,723
2016-09-06,753
2016-09-07,773
2016-09-08,745
2016-09-09,733
2016-09-10,744
2016-09-11,744
2016-09-12,756
2016-09-13,724
2016-09-14,700
2016-09-15,704
2016-09-16,701
2016-09-17,695
2016-09-18,702
2016-09-19,701
2016-09-20,693
2016-09-21,694
2016-09-22,683
2016-09-23,693
2016-09-24,693
2016-09-25,708
2016-09-26,730
2016-09-27,723
2016-09-28,723
2016-09-29,726
2016-09-30,702
2016-10-01,682
2016-10-02,682
2016-10-03,669
2016-10-04,662
2016-10-05,644
2016-10-06,611
2016-10-07,588
2016-10-08,570
2016-10-09,588
2016-10-10,577
2016-10-11,551
2016-10-12,568
2016-10-13,577
2016-10-14,580
2016-10-15,587
2016-10-16,596
2016-10-17,598
2016-10-18,592
2016-10-19,598
2016-10-20,598
2016-10-21,592
2016-10-22,580
2016-10-23,597
2016-10-24,613
2016-10-25,613
2016-10-26,638
2016-10-27,668
2016-10-28,663
2016-10-29,677
2016-10-30,688
2016-10-31,702
2016-11-01,702
2016-11-02,702
2016-11-03,699
2016-11-04,710
2016-11-05,740
2016-11-06,733
2016-11-07,753
2016-11-08,753
2016-11-09,750
2016-11-10,736
2016-11-11,737
2016-11-12,734
2016-11-13,715
2016-11-14,703
2016-12-08,667
2016-12-09,692
2016-12-10,701
2016-12-11,704
2016-12-12,711
2016-12-13,697
2016-12-14,662
2016-12-15,628
2016-12-16,617
2016-12-17,627
2016-12-18,637
2016-12-19,656
2016-12-20,657
2016-12-21,661
2016-12-22,681
2016-12-23,670
2016-12-24,653
2016-12-25,639
2016-12-26,644
2016-12-27,638
2016-12-28,660
2016-12-29,673
2016-12-30,657
2016-12-31,631
2017-01-01,603
2017-01-02,602
2017-01-03,600
2017-01-04,601
2017-01-05,590
2017-01-06,591
2017-01-07,575
2017-01-08,589
2017-01-09,594
2017-01-10,613
2017-01-11,604
2017-01-12,574
2017-01-13,588
2017-01-14,568
2017-01-15,541
2017-01-16,513
2017-01-17,515
2017-01-18,508
