date_obj,Guthix%20platelegs price
2015-03-26,65011
2015-03-27,65011
2015-03-28,62109
2015-03-29,62109
2015-03-30,62109
2015-03-31,59696
2015-04-01,59696
2015-04-02,59696
2015-04-03,56964
2015-04-04,56964
2015-04-05,56964
2015-04-06,54299
2015-04-07,54299
2015-04-08,54299
2015-04-09,52697
2015-04-10,52697
2015-04-11,52697
2015-04-12,50484
2015-04-13,50484
2015-04-14,50484
2015-04-15,50067
2015-04-16,50067
2015-04-17,50067
2015-04-18,49255
2015-04-19,49255
2015-04-20,49255
2015-04-21,48415
2015-04-22,48415
2015-04-23,48415
2015-04-24,47543
2015-04-25,47543
2015-04-26,47543
2015-04-27,47558
2015-04-28,47558
2015-04-29,47558
2015-04-30,47565
2015-05-01,47565
2015-05-02,47648
2015-05-03,47648
2015-05-04,47648
2015-05-05,47307
2015-05-06,47307
2015-05-07,47307
2015-05-08,46937
2015-05-09,46937
2015-05-10,46937
2015-05-11,46678
2015-05-12,46678
2015-05-13,46678
2015-05-14,46022
2015-05-15,46022
2015-05-16,46022
2015-05-17,45254
2015-05-18,45254
2015-05-19,45254
2015-05-20,45254
2015-05-21,44463
2015-05-22,44463
2015-05-23,43714
2015-05-24,43714
2015-05-25,42963
2015-05-26,42963
2015-05-27,42963
2015-05-28,43111
2015-05-29,43111
2015-05-30,43077
2015-05-31,43077
2015-06-01,42669
2015-06-02,42669
2015-06-03,43585
2015-06-04,43585
2015-06-05,44442
2015-06-06,44442
2015-06-07,44195
2015-06-08,44195
2015-06-09,43939
2015-06-10,43939
2015-06-11,44774
2015-06-12,44774
2015-06-13,44253
2015-06-14,44253
2015-06-15,44353
2015-06-16,44353
2015-06-17,44279
2015-06-18,44279
2015-06-19,43928
2015-06-20,43928
2015-06-21,43240
2015-06-22,43240
2015-06-23,42869
2015-06-24,42869
2015-06-25,43573
2015-06-26,43573
2015-06-27,44750
2015-06-28,44750
2015-06-29,45717
2015-06-30,45717
2015-07-01,46250
2015-07-02,46250
2015-07-03,46812
2015-07-04,46812
2015-07-05,46792
2015-07-06,46792
2015-07-07,47008
2015-07-08,47008
2015-07-09,47360
2015-07-10,47360
2015-07-11,46443
2015-07-12,46443
2015-07-13,45666
2015-07-14,45666
2015-07-15,44586
2015-07-16,44586
2015-07-17,43667
2015-07-18,43667
2015-07-19,42905
2015-07-20,42905
2015-07-21,42506
2015-07-22,42588
2015-07-23,42588
2015-07-24,42085
2015-07-25,42085
2015-07-26,41385
2015-07-27,41385
2015-07-28,40338
2015-07-29,39804
2015-07-30,39804
2015-07-31,40069
2015-08-01,40069
2015-08-02,40166
2015-08-03,40166
2015-08-04,41151
2015-08-05,41151
2015-08-06,42468
2015-08-07,42468
2015-08-08,41872
2015-08-09,41872
2015-08-10,41174
2015-08-11,41174
2015-08-12,40778
2015-08-13,40778
2015-08-14,41293
2015-08-15,41293
2015-08-16,41328
2015-08-17,41328
2015-08-18,41761
2015-08-19,41761
2015-08-20,42840
2015-08-21,42840
2015-08-22,42794
2015-08-23,42794
2015-08-24,42724
2015-08-25,42724
2015-08-26,42724
2015-08-27,42861
2015-08-28,42861
2015-08-29,42658
2015-08-30,42658
2015-08-31,43208
2015-09-01,43208
2015-09-02,43208
2015-09-03,43349
2015-09-04,43349
2015-09-05,42513
2015-09-06,42513
2015-09-07,42415
2015-09-08,42415
2015-09-09,42948
2015-09-10,42948
2015-09-11,43172
2015-09-12,43172
2015-09-13,43760
2015-09-14,43760
2015-09-15,44141
2015-09-16,44141
2015-09-17,43512
2015-09-18,43512
2015-09-19,43512
2015-09-20,44036
2015-09-21,44036
2015-09-22,44670
2015-09-23,44670
2015-09-24,44940
2015-09-25,44940
2015-09-27,44827
2015-09-28,45333
2015-09-29,45333
2015-09-30,46033
2015-10-05,46661
2015-10-06,46928
2015-10-07,46928
2015-10-08,45962
2015-10-09,45962
2015-10-10,45758
2015-10-11,45758
2015-10-12,46535
2015-10-13,46535
2015-10-14,46535
2015-10-15,46854
2015-10-16,46854
2015-10-17,45655
2015-10-18,45655
2015-10-19,45039
2015-10-20,45039
2015-10-22,44492
2015-10-23,44662
2015-10-24,44662
2015-10-25,44011
2015-10-26,44011
2015-10-27,44009
2015-10-29,44333
2015-10-30,44333
2015-10-31,44030
2015-11-01,44030
2015-11-02,43903
2015-11-03,43903
2015-11-04,43903
2015-11-05,43537
2015-11-06,43537
2015-11-07,43423
2015-11-08,43423
2015-11-09,43423
2015-11-10,44115
2015-11-11,44115
2015-11-12,44730
2015-11-13,44730
2015-11-14,44730
2015-11-15,45404
2015-11-16,45404
2015-11-17,45404
2015-11-18,45781
2015-11-19,45781
2015-11-20,46039
2015-11-21,46039
2015-11-22,45955
2015-11-23,45955
2015-11-24,45955
2015-11-25,46291
2015-11-26,46291
2015-11-27,46291
2015-11-28,45871
2015-11-29,45871
2015-11-30,45616
2015-12-01,45616
2015-12-02,45372
2015-12-03,45372
2015-12-04,45641
2015-12-05,45641
2015-12-06,45178
2015-12-07,45178
2015-12-08,45178
2015-12-09,45331
2015-12-10,45331
2015-12-11,45491
2015-12-12,45491
2015-12-13,45325
2015-12-14,45325
2015-12-15,43997
2015-12-16,43997
2015-12-17,43608
2015-12-18,43608
2015-12-19,43691
2015-12-20,43691
2015-12-21,44494
2015-12-22,44494
2015-12-23,44674
2015-12-24,44674
2015-12-25,45504
2015-12-26,45504
2015-12-27,45206
2015-12-28,45206
2015-12-29,44894
2015-12-30,44894
2015-12-31,44952
2016-01-01,44952
2016-01-02,45667
2016-01-03,45667
2016-01-04,44795
2016-01-05,44795
2016-01-06,44592
2016-01-07,44592
2016-01-08,44942
2016-01-09,44942
2016-01-10,45644
2016-01-11,45644
2016-01-12,45374
2016-01-13,45374
2016-01-14,44736
2016-01-15,44736
2016-01-16,45096
2016-01-17,45096
2016-01-18,45988
2016-01-19,45988
2016-01-20,46004
2016-01-21,46004
2016-01-22,46259
2016-01-23,46259
2016-01-24,45128
2016-01-25,45128
2016-01-26,44223
2016-01-27,44223
2016-01-28,44125
2016-01-29,43266
2016-01-30,43266
2016-01-31,42885
2016-02-01,42885
2016-02-02,42636
2016-02-03,42636
2016-02-04,43427
2016-02-05,43427
2016-02-06,43679
2016-02-07,43679
2016-02-08,44364
2016-02-09,44364
2016-02-10,44911
2016-02-11,44911
2016-02-12,45361
2016-02-13,45941
2016-02-14,45941
2016-02-15,45915
2016-02-16,45915
2016-02-17,44832
2016-02-18,44832
2016-02-19,44600
2016-02-20,44600
2016-02-21,43811
2016-02-22,43811
2016-02-23,43740
2016-02-24,43740
2016-02-25,43948
2016-02-26,43948
2016-02-27,44068
2016-02-28,44068
2016-02-29,43118
2016-03-01,43118
2016-03-02,42896
2016-03-03,42896
2016-03-04,43491
2016-03-05,43491
2016-03-06,43494
2016-03-07,43494
2016-03-08,43117
2016-03-09,43117
2016-03-10,42647
2016-03-11,42647
2016-03-12,42304
2016-03-13,42304
2016-03-14,42484
2016-03-15,42484
2016-03-16,42713
2016-03-17,42713
2016-03-18,42382
2016-03-19,42382
2016-03-20,42874
2016-03-21,42874
2016-03-22,43106
2016-03-23,43106
2016-03-24,43959
2016-03-25,43959
2016-03-26,43126
2016-03-27,43126
2016-03-28,42143
2016-03-29,42143
2016-03-30,42087
2016-03-31,42087
2016-04-01,42670
2016-04-02,42670
2016-04-03,42116
2016-04-04,42116
2016-04-05,41483
2016-04-06,41483
2016-04-07,41217
2016-04-08,41217
2016-04-09,40848
2016-04-10,40700
2016-04-11,40700
2016-04-12,40722
2016-04-13,40722
2016-04-14,40733
2016-04-15,40733
2016-04-16,40434
2016-04-17,40434
2016-04-18,40001
2016-04-19,40001
2016-04-20,40221
2016-04-21,40221
2016-04-22,40064
2016-04-23,40064
2016-04-24,39814
2016-04-25,39821
2016-04-26,39821
2016-04-27,39469
2016-04-28,39469
2016-04-29,39647
2016-04-30,39647
2016-05-01,40742
2016-05-02,40742
2016-05-03,41571
2016-05-04,41571
2016-05-05,42299
2016-05-06,42299
2016-05-07,42523
2016-05-08,42523
2016-05-09,42321
2016-05-10,42321
2016-05-11,42100
2016-05-12,42100
2016-05-13,41027
2016-05-14,41027
2016-05-15,39965
2016-05-16,39965
2016-05-17,40255
2016-05-18,40255
2016-05-19,40826
2016-05-22,41365
2016-05-23,41282
2016-05-24,41282
2016-05-25,42068
2016-05-26,42068
2016-05-27,41363
2016-05-28,41363
2016-05-29,40699
2016-05-30,40699
2016-05-31,40863
2016-06-01,41667
2016-06-02,41667
2016-06-03,41678
2016-06-04,42594
2016-06-05,42594
2016-06-06,43039
2016-06-07,43039
2016-06-08,42893
2016-06-09,43042
2016-06-10,43042
2016-06-11,42491
2016-06-12,42278
2016-06-13,42278
2016-06-14,42450
2016-06-15,42450
2016-06-16,41931
2016-06-17,42047
2016-06-18,42047
2016-06-19,42133
2016-06-20,42133
2016-06-21,41461
2016-06-22,41461
2016-06-23,41619
2016-06-24,41619
2016-06-25,42028
2016-06-26,42028
2016-06-27,42239
2016-06-28,42239
2016-06-30,42268
2016-07-01,41817
2016-07-02,41817
