date_obj,Tuna%20and%20corn price
2015-03-26,660
2015-03-27,660
2015-03-28,660
2015-03-29,660
2015-03-30,660
2015-03-31,660
2015-04-01,660
2015-04-02,675
2015-04-03,675
2015-04-04,675
2015-04-05,675
2015-04-06,675
2015-04-07,675
2015-04-08,675
2015-04-09,675
2015-04-10,675
2015-04-11,675
2015-04-12,675
2015-04-13,675
2015-04-14,675
2015-04-15,675
2015-04-16,675
2015-04-17,675
2015-04-18,675
2015-04-19,675
2015-04-20,675
2015-04-21,675
2015-04-22,675
2015-04-23,675
2015-04-24,675
2015-04-25,675
2015-04-26,675
2015-04-27,675
2015-04-28,675
2015-04-29,675
2015-04-30,675
2015-05-01,694
2015-05-02,694
2015-05-03,694
2015-05-04,694
2015-05-05,694
2015-05-06,694
2015-05-07,694
2015-05-08,694
2015-05-09,694
2015-05-10,694
2015-05-11,694
2015-05-12,694
2015-05-13,694
2015-05-14,694
2015-05-15,694
2015-05-16,694
2015-05-17,694
2015-05-18,694
2015-05-19,694
2015-05-20,694
2015-05-21,694
2015-05-22,694
2015-05-23,694
2015-05-24,694
2015-05-25,694
2015-05-26,694
2015-05-27,694
2015-05-28,709
2015-05-29,709
2015-05-30,709
2015-05-31,709
2015-06-01,709
2015-06-02,709
2015-06-03,709
2015-06-04,709
2015-06-05,709
2015-06-06,709
2015-06-07,709
2015-06-08,709
2015-06-09,709
2015-06-10,709
2015-06-11,709
2015-06-12,709
2015-06-13,709
2015-06-14,709
2015-06-15,709
2015-06-16,709
2015-06-17,709
2015-06-18,709
2015-06-19,709
2015-06-20,739
2015-06-21,739
2015-06-22,739
2015-06-23,739
2015-06-24,739
2015-06-25,739
2015-06-26,739
2015-06-27,739
2015-06-28,739
2015-06-29,739
2015-06-30,739
2015-07-01,739
2015-07-02,739
2015-07-03,739
2015-07-04,739
2015-07-05,739
2015-07-06,739
2015-07-07,739
2015-07-08,739
2015-07-09,739
2015-07-10,739
2015-07-11,739
2015-07-12,739
2015-07-13,770
2015-07-14,770
2015-07-15,770
2015-07-16,770
2015-07-17,770
2015-07-18,770
2015-07-19,770
2015-07-20,770
2015-07-21,770
2015-07-22,770
2015-07-23,770
2015-07-24,770
2015-07-25,770
2015-07-26,770
2015-07-27,770
2015-07-28,770
2015-07-29,770
2015-07-30,770
2015-07-31,770
2015-08-01,770
2015-08-02,770
2015-08-03,770
2015-08-04,770
2015-08-05,770
2015-08-06,770
2015-08-07,770
2015-08-08,770
2015-08-09,770
2015-08-10,770
2015-08-11,770
2015-08-12,770
2015-08-13,802
2015-08-14,802
2015-08-15,802
2015-08-16,802
2015-08-17,802
2015-08-18,802
2015-08-19,802
2015-08-20,802
2015-08-21,802
2015-08-22,802
2015-08-23,802
2015-08-24,802
2015-08-25,802
2015-08-26,802
2015-08-27,802
2015-08-28,802
2015-08-29,802
2015-08-30,802
2015-08-31,802
2015-09-01,802
2015-09-02,802
2015-09-03,802
2015-09-04,802
2015-09-05,802
2015-09-06,802
2015-09-07,802
2015-09-08,802
2015-09-09,802
2015-09-10,802
2015-09-11,802
2015-09-12,802
2015-09-13,802
2015-09-14,821
2015-09-15,821
2015-09-16,821
2015-09-17,821
2015-09-18,821
2015-09-19,821
2015-09-20,821
2015-09-21,821
2015-09-22,821
2015-09-23,821
2015-09-24,821
2015-09-25,821
2015-09-27,821
2015-09-28,821
2015-09-29,821
2015-09-30,821
2015-10-05,821
2015-10-06,821
2015-10-07,821
2015-10-08,821
2015-10-09,821
2015-10-10,821
2015-10-11,821
2015-10-12,821
2015-10-13,821
2015-10-14,821
2015-10-15,821
2015-10-16,821
2015-10-17,821
2015-10-18,821
2015-10-19,821
2015-10-20,849
2015-10-22,849
2015-10-23,849
2015-10-24,849
2015-10-25,849
2015-10-26,849
2015-10-27,849
2015-10-29,849
2015-10-30,849
2015-10-31,849
2015-11-01,849
2015-11-02,849
2015-11-03,849
2015-11-04,849
2015-11-05,849
2015-11-06,849
2015-11-07,849
2015-11-08,849
2015-11-09,849
2015-11-10,849
2015-11-11,849
2015-11-12,849
2015-11-13,849
2015-11-14,849
2015-11-15,849
2015-11-16,849
2015-11-17,849
2015-11-18,849
2015-11-19,849
2015-11-20,849
2015-11-21,849
2015-11-22,849
2015-11-23,849
2015-11-24,849
2015-11-25,849
2015-11-26,849
2015-11-27,849
2015-11-28,849
2015-11-29,849
2015-11-30,849
2015-12-01,849
2015-12-02,874
2015-12-03,874
2015-12-04,874
2015-12-05,874
