date_obj,Iron%20halberd price
2015-03-26,250
2015-03-27,250
2015-03-28,250
2015-03-29,250
2015-03-30,250
2015-03-31,250
2015-04-01,250
2015-04-02,250
2015-04-03,250
2015-04-04,250
2015-04-05,250
2015-04-06,250
2015-04-07,250
2015-04-08,250
2015-04-09,250
2015-04-10,250
2015-04-11,250
2015-04-12,250
2015-04-13,250
2015-04-14,250
2015-04-15,250
2015-04-16,250
2015-04-17,258
2015-04-18,258
2015-04-19,258
2015-04-20,258
2015-04-21,258
2015-04-22,258
2015-04-23,258
2015-04-24,258
2015-04-25,258
2015-04-26,258
2015-04-27,258
2015-04-28,258
2015-04-29,258
2015-04-30,258
2015-05-01,258
2015-05-02,258
2015-05-03,258
2015-05-04,258
2015-05-05,258
2015-05-06,258
2015-05-07,258
2015-05-08,258
2015-05-09,258
2015-05-10,258
2015-05-11,258
2015-05-12,258
2015-05-13,258
2015-05-14,258
2015-05-15,258
2015-05-16,258
2015-05-17,258
2015-05-18,258
2015-05-19,258
2015-05-20,258
2015-05-21,258
2015-05-22,258
2015-05-23,258
2015-05-24,258
2015-05-25,258
2015-05-26,258
2015-05-27,258
2015-05-28,266
2015-05-29,266
2015-05-30,266
2015-05-31,266
2015-06-01,266
2015-06-02,266
2015-06-03,266
2015-06-04,266
2015-06-05,266
2015-06-06,266
2015-06-07,266
2015-06-08,266
2015-06-09,266
2015-06-10,266
2015-06-11,266
2015-06-12,266
2015-06-13,266
2015-06-14,266
2015-06-15,266
2015-06-16,266
2015-06-17,266
2015-06-18,266
2015-06-19,266
2015-06-20,266
2015-06-21,266
2015-06-22,266
2015-06-23,266
2015-06-24,266
2015-06-25,266
2015-06-26,266
2015-06-27,266
2015-06-28,266
2015-06-29,266
2015-06-30,266
2015-07-01,266
2015-07-02,266
2015-07-03,266
2015-07-04,266
2015-07-05,266
2015-07-06,266
2015-07-07,266
2015-07-08,266
2015-07-09,266
2015-07-10,266
2015-07-11,275
2015-07-12,275
2015-07-13,275
2015-07-14,275
2015-07-15,275
2015-07-16,275
2015-07-17,275
2015-07-18,275
2015-07-19,275
2015-07-20,275
2015-07-21,275
2015-07-22,275
2015-07-23,275
2015-07-24,275
2015-07-25,275
2015-07-26,275
2015-07-27,275
2015-07-28,275
2015-07-29,275
2015-07-30,275
2015-07-31,275
2015-08-01,275
2015-08-02,275
2015-08-03,275
2015-08-04,275
2015-08-05,275
2015-08-06,275
2015-08-07,275
2015-08-08,275
