date_obj,Vampyre%20dust price
2015-03-26,639
2015-03-27,639
2015-03-28,609
2015-03-29,609
2015-03-30,579
2015-03-31,579
2015-04-01,551
2015-04-02,551
2015-04-03,525
2015-04-04,525
2015-04-05,499
2015-04-06,499
2015-04-07,476
2015-04-08,476
2015-04-09,476
2015-04-10,453
2015-04-11,453
2015-04-12,431
2015-04-13,431
2015-04-14,410
2015-04-15,410
2015-04-16,390
2015-04-17,390
2015-04-18,371
2015-04-19,371
2015-04-20,354
2015-04-21,354
2015-04-22,338
2015-04-23,338
2015-04-24,322
2015-04-25,322
2015-04-26,306
2015-04-27,306
2015-04-28,291
2015-04-29,291
2015-04-30,291
2015-05-01,277
2015-05-02,277
2015-05-03,277
2015-05-04,263
2015-05-05,263
2015-05-06,263
2015-05-07,249
2015-05-08,249
2015-05-09,249
2015-05-10,237
2015-05-11,237
2015-05-12,237
2015-05-13,225
2015-05-14,225
2015-05-15,225
2015-05-16,213
2015-05-17,213
2015-05-18,203
2015-05-19,203
2015-05-20,203
2015-05-21,203
2015-05-22,193
2015-05-23,193
2015-05-24,193
2015-05-25,184
2015-05-26,184
2015-05-27,184
2015-05-28,175
2015-05-29,175
2015-05-30,167
2015-05-31,167
2015-06-01,159
2015-06-02,159
2015-06-03,156
2015-06-04,156
2015-06-05,148
2015-06-06,148
2015-06-07,141
2015-06-08,141
2015-06-09,133
2015-06-10,133
2015-06-11,133
2015-06-12,127
2015-06-13,127
2015-06-14,121
2015-06-15,121
2015-06-16,115
2015-06-17,115
2015-06-18,110
2015-06-19,110
2015-06-20,106
2015-06-21,106
2015-06-22,106
2015-06-23,101
2015-06-24,101
2015-06-25,101
2015-06-26,96
2015-06-27,96
2015-06-28,96
2015-06-29,91
2015-06-30,91
2015-07-01,89
2015-07-02,89
2015-07-03,89
2015-07-04,89
2015-07-05,85
2015-07-06,85
2015-07-07,85
2015-07-08,81
2015-07-09,81
2015-07-10,81
2015-07-11,77
2015-07-12,77
2015-07-13,77
2015-07-14,74
2015-07-15,74
2015-07-16,73
2015-07-17,73
2015-07-18,73
2015-07-19,73
2015-07-20,73
2015-07-21,70
2015-07-22,70
2015-07-23,70
2015-07-24,67
2015-07-25,67
2015-07-26,67
2015-07-27,67
2015-07-28,63
2015-07-29,63
2015-07-30,63
2015-07-31,63
2015-08-01,59
2015-08-02,59
2015-08-03,59
2015-08-04,56
2015-08-05,56
2015-08-06,56
2015-08-07,53
2015-08-08,53
2015-08-09,53
2015-08-10,50
2015-08-11,50
2015-08-12,50
2015-08-13,50
2015-08-14,47
2015-08-15,47
2015-08-16,47
2015-08-17,47
2015-08-18,47
2015-08-19,45
2015-08-20,45
2015-08-21,45
2015-08-22,45
2015-08-23,45
2015-08-24,43
2015-08-25,43
2015-08-26,43
2015-08-27,43
2015-08-28,43
2015-08-29,41
2015-08-30,41
2015-08-31,41
2015-09-01,41
2015-09-02,41
2015-09-03,38
2015-09-04,38
2015-09-05,38
2015-09-06,38
2015-09-07,38
2015-09-08,36
2015-09-09,36
