date_obj,Blue%20robe%20bottoms price
2015-03-04,3500
2015-03-05,3500
2015-03-06,3414
2015-03-07,3414
2015-03-08,3414
2015-03-09,3414
2015-03-10,3414
2015-03-11,3414
2015-03-12,3414
2015-03-13,3414
2015-03-14,3420
2015-03-15,3420
2015-03-16,3420
2015-03-17,3420
2015-03-18,3420
2015-03-19,3420
2015-03-20,3420
2015-03-21,3420
2015-03-22,3420
2015-03-23,3420
2015-03-24,3273
2015-03-25,3273
2015-03-26,3273
2015-03-27,3273
2015-03-28,3273
2015-03-29,3273
2015-03-30,3273
2015-03-31,3273
2015-04-01,3188
2015-04-02,3188
2015-04-03,3188
2015-04-04,3188
2015-04-05,3188
2015-04-06,3188
2015-04-07,3188
2015-04-08,3188
2015-04-09,3030
2015-04-10,3030
2015-04-11,3030
2015-04-12,3030
2015-04-13,3030
2015-04-14,3030
2015-04-15,3030
2015-04-16,3030
2015-04-17,3030
2015-04-18,3009
2015-04-19,3009
2015-04-20,3009
2015-04-21,3009
2015-04-22,3009
2015-04-23,3009
2015-04-24,3009
2015-04-25,3009
2015-04-26,3009
2015-04-27,3009
2015-04-28,2991
2015-04-29,2991
2015-04-30,2991
2015-05-01,2991
2015-05-02,2991
2015-05-03,2991
2015-05-04,2991
2015-05-05,2991
2015-05-06,2991
2015-05-07,2999
2015-05-08,2999
2015-05-09,2999
2015-05-10,2999
2015-05-11,2999
2015-05-12,2999
2015-05-13,2999
2015-05-14,2999
2015-05-15,2999
2015-05-16,2999
2015-05-17,2897
2015-05-18,2897
2015-05-19,2897
2015-05-20,2897
2015-05-21,2897
2015-05-22,2897
2015-05-23,2897
2015-05-24,2897
2015-05-25,2897
2015-05-26,2897
2015-05-27,2897
2015-05-28,2907
2015-05-29,2907
2015-05-30,2907
2015-05-31,2907
2015-06-01,2907
2015-06-02,2907
2015-06-03,2907
2015-06-04,2907
2015-06-05,2912
2015-06-06,2912
2015-06-07,2912
2015-06-08,2912
2015-06-09,2912
2015-06-10,2912
2015-06-11,2912
2015-06-12,2912
2015-06-13,2886
2015-06-14,2886
2015-06-15,2886
2015-06-16,2886
2015-06-17,2886
2015-06-18,2886
2015-06-19,2886
2015-06-20,2886
2015-06-21,2849
2015-06-22,2849
2015-06-23,2849
2015-06-24,2849
2015-06-25,2849
2015-06-26,2849
2015-06-27,2849
2015-06-28,2849
2015-06-29,2849
2015-06-30,2826
2015-07-01,2826
2015-07-02,2826
2015-07-03,2826
2015-07-04,2826
2015-07-05,2826
2015-07-06,2826
2015-07-07,2826
2015-07-08,2808
2015-07-09,2808
2015-07-10,2808
2015-07-11,2808
2015-07-12,2808
2015-07-13,2808
2015-07-14,2808
2015-07-15,2808
2015-07-16,2808
2015-07-17,2775
2015-07-18,2775
2015-07-19,2775
2015-07-20,2775
2015-07-21,2775
2015-07-22,2775
2015-07-23,2775
2015-07-24,2775
2015-07-25,2775
2015-07-26,2810
2015-07-27,2810
2015-07-28,2810
2015-07-29,2810
2015-07-30,2810
2015-07-31,2810
2015-08-01,2810
2015-08-02,2810
2015-08-03,2765
2015-08-04,2765
2015-08-05,2765
2015-08-06,2765
2015-08-07,2765
2015-08-08,2765
2015-08-09,2765
2015-08-10,2765
2015-08-11,2689
2015-08-12,2689
2015-08-13,2689
2015-08-14,2689
2015-08-15,2689
2015-08-16,2689
2015-08-17,2689
2015-08-18,2689
2015-08-19,2689
2015-08-20,2715
2015-08-21,2715
2015-08-22,2715
2015-08-23,2715
2015-08-24,2715
2015-08-25,2715
2015-08-26,2715
2015-08-27,2715
2015-08-28,2728
2015-08-29,2728
2015-08-30,2728
2015-08-31,2728
