date_obj,Water%20talisman price
2015-03-26,1351
2015-03-27,1351
2015-03-28,1283
2015-03-29,1219
2015-03-30,1159
2015-03-31,1104
2015-04-01,1049
2015-04-02,998
2015-04-03,949
2015-04-04,901
2015-04-05,901
2015-04-06,855
2015-04-07,813
2015-04-08,813
2015-04-09,772
2015-04-10,734
2015-04-11,698
2015-04-12,664
2015-04-13,631
2015-04-14,631
2015-04-15,599
2015-04-16,599
2015-04-17,569
2015-04-18,540
2015-04-19,515
2015-04-20,515
2015-04-21,489
2015-04-22,489
2015-04-23,464
2015-04-24,464
2015-04-25,440
2015-04-26,440
2015-04-27,418
2015-04-28,399
2015-04-29,399
2015-04-30,379
2015-05-01,360
2015-05-02,360
2015-05-03,351
2015-05-04,351
2015-05-05,333
2015-05-06,333
2015-05-07,316
2015-05-08,316
2015-05-09,300
2015-05-10,300
2015-05-11,286
2015-05-12,272
2015-05-13,272
2015-05-14,261
2015-05-15,261
2015-05-16,252
2015-05-17,246
2015-05-18,246
2015-05-19,254
2015-05-20,254
2015-05-21,254
2015-05-22,258
2015-05-23,258
2015-05-24,260
2015-05-25,260
2015-05-26,266
2015-05-27,266
2015-05-28,262
2015-05-29,262
2015-05-30,265
2015-05-31,265
2015-06-01,270
2015-06-02,270
2015-06-03,272
2015-06-04,272
2015-06-05,266
2015-06-06,253
2015-06-07,253
2015-06-08,247
2015-06-09,234
2015-06-10,223
2015-06-11,223
2015-06-12,217
2015-06-13,210
2015-06-14,210
2015-06-15,201
2015-06-16,191
2015-06-17,191
2015-06-18,181
2015-06-19,181
2015-06-20,174
2015-06-21,174
2015-06-22,180
2015-06-23,180
2015-06-24,173
2015-06-25,173
2015-06-26,173
2015-06-27,173
2015-06-28,175
2015-06-29,175
2015-06-30,178
2015-07-01,169
2015-07-02,169
2015-07-03,161
2015-07-04,161
2015-07-05,155
2015-07-06,155
2015-07-07,151
2015-07-08,152
2015-07-09,152
2015-07-10,150
2015-07-11,150
2015-07-12,151
2015-07-13,151
2015-07-14,151
2015-07-15,151
2015-07-16,159
2015-07-17,162
2015-07-18,162
2015-07-19,167
2015-07-20,167
2015-07-21,172
2015-07-22,181
2015-07-23,181
2015-07-24,191
2015-07-25,191
2015-07-26,201
2015-07-27,201
2015-07-28,212
2015-07-29,223
2015-07-30,223
2015-07-31,235
2015-08-01,235
2015-08-02,243
2015-08-03,243
2015-08-04,246
2015-08-05,251
2015-08-06,251
2015-08-07,257
2015-08-08,249
2015-08-09,239
2015-08-10,232
2015-08-11,224
2015-08-12,224
2015-08-13,218
2015-08-14,217
2015-08-15,217
2015-08-16,218
2015-08-17,224
2015-08-18,224
2015-08-19,224
2015-08-20,224
2015-08-21,225
2015-08-22,225
2015-08-23,220
2015-08-24,211
2015-08-25,211
2015-08-26,201
2015-08-27,200
2015-08-28,200
