date_obj,Karil's%20leatherskirt price
2015-03-26,256911
2015-03-27,256911
2015-03-28,244065
2015-03-29,231861
2015-03-30,220267
2015-03-31,209253
2015-04-01,198790
2015-04-02,188916
2015-04-03,179527
2015-04-04,170550
2015-04-05,163347
2015-04-06,158111
2015-04-07,153676
2015-04-08,151492
2015-04-09,152463
2015-04-10,156011
2015-04-11,160087
2015-04-12,162952
2015-04-13,170587
2015-04-14,178909
2015-04-15,185551
2015-04-16,182907
2015-04-17,179371
2015-04-18,171393
2015-04-19,163549
2015-04-20,155631
2015-04-21,148432
2015-04-22,145064
2015-04-23,140424
2015-04-24,141301
2015-04-25,148095
2015-04-26,154838
2015-04-27,161431
2015-04-28,167054
2015-04-29,167054
2015-04-30,171387
2015-05-01,163966
2015-05-02,157333
2015-05-03,151713
2015-05-04,145466
2015-05-05,139416
2015-05-06,138615
2015-05-07,140280
2015-05-08,140253
2015-05-09,139943
2015-05-10,144845
2015-05-11,147479
2015-05-12,152853
2015-05-13,153340
2015-05-14,148005
2015-05-15,145286
2015-05-16,143308
2015-05-17,144351
2015-05-18,144271
2015-05-19,145560
2015-05-20,145560
2015-05-21,141093
2015-05-22,141431
2015-05-23,147028
2015-05-24,152405
2015-05-25,157029
2015-05-26,162355
2015-05-27,158262
2015-05-28,156593
2015-05-29,150271
2015-05-30,145349
2015-05-31,138932
2015-06-01,138057
2015-06-02,142185
2015-06-03,147003
2015-06-04,149550
2015-06-05,151958
2015-06-06,154343
2015-06-07,153870
2015-06-08,154274
2015-06-09,149785
2015-06-10,144272
2015-06-11,141695
2015-06-12,139015
2015-06-13,137247
2015-06-14,136304
2015-06-15,136907
2015-06-16,135214
2015-06-17,141038
2015-06-18,144600
2015-06-19,142062
2015-06-20,139645
2015-06-21,135882
2015-06-22,133530
2015-06-23,134869
2015-06-24,137908
2015-06-25,136202
2015-06-26,135418
2015-06-27,136703
2015-06-28,136703
2015-06-29,134420
2015-06-30,134366
2015-07-01,134328
2015-07-02,132121
2015-07-03,128210
2015-07-04,122891
2015-07-05,118236
2015-07-06,113076
2015-07-07,107501
2015-07-08,103685
2015-07-09,99960
2015-07-10,96064
2015-07-11,94964
2015-07-12,97273
2015-07-13,98863
2015-07-14,102996
2015-07-15,106706
2015-07-16,109904
2015-07-17,113220
2015-07-18,116565
2015-07-19,119559
2015-07-20,123225
2015-07-21,123783
2015-07-22,126379
2015-07-23,127949
2015-07-24,130733
2015-07-25,127331
2015-07-26,123654
2015-07-27,121071
2015-07-28,120406
2015-07-29,117968
2015-07-30,116045
2015-07-31,120151
2015-08-01,124031
2015-08-02,126544
2015-08-03,124459
2015-08-04,129874
2015-08-05,135974
2015-08-06,141328
2015-08-07,143706
2015-08-08,142132
2015-08-09,142656
2015-08-10,139586
2015-08-11,140899
2015-08-12,140814
2015-08-13,138583
2015-08-14,140253
2015-08-15,138428
2015-08-16,138771
2015-08-17,134744
2015-08-18,129806
2015-08-19,127719
2015-08-20,127311
2015-08-21,126084
2015-08-22,124964
2015-08-23,125616
2015-08-24,121803
2015-08-25,118623
