date_obj,White%20platelegs price
2015-03-26,19960
2015-03-27,19960
2015-03-28,19960
2015-03-29,19960
2015-03-30,19960
2015-03-31,19960
2015-04-01,19960
2015-04-02,19960
2015-04-03,19960
2015-04-04,19960
2015-04-05,18984
2015-04-06,18984
2015-04-07,18984
2015-04-08,18984
2015-04-09,18984
2015-04-10,18984
2015-04-11,18984
2015-04-12,18984
2015-04-13,18984
2015-04-14,18984
2015-04-15,18984
2015-04-16,18984
2015-04-17,18984
2015-04-18,18069
2015-04-19,18069
2015-04-20,18069
2015-04-21,18069
2015-04-22,18069
2015-04-23,18069
2015-04-24,18069
2015-04-25,18069
2015-04-26,18069
2015-04-27,18069
2015-04-28,18069
2015-04-29,18069
2015-04-30,18069
2015-05-01,18069
2015-05-02,18069
2015-05-03,17192
2015-05-04,17192
2015-05-05,17192
2015-05-06,17192
2015-05-07,17192
2015-05-08,17192
2015-05-09,17192
2015-05-10,17192
2015-05-11,17192
2015-05-12,17192
2015-05-13,17192
2015-05-14,17192
2015-05-15,17192
2015-05-16,17192
2015-05-17,16372
2015-05-18,16372
2015-05-19,16372
2015-05-20,16372
2015-05-21,16372
2015-05-22,16372
2015-05-23,16372
2015-05-24,16372
2015-05-25,16372
2015-05-26,16372
2015-05-27,16372
2015-05-28,15615
2015-05-29,15615
2015-05-30,15615
2015-05-31,15615
2015-06-01,15615
2015-06-02,15615
2015-06-03,15615
2015-06-04,15615
2015-06-05,15615
2015-06-06,15615
2015-06-07,14952
2015-06-08,14952
2015-06-09,14952
2015-06-10,14952
2015-06-11,14952
2015-06-12,14952
2015-06-13,14952
2015-06-14,14952
2015-06-15,14952
2015-06-16,14952
2015-06-17,14952
2015-06-18,14952
2015-06-19,14218
2015-06-20,14218
2015-06-21,14218
2015-06-22,14218
2015-06-23,14218
2015-06-24,14218
2015-06-25,14218
2015-06-26,14218
2015-06-27,14218
2015-06-28,14218
2015-06-29,14218
2015-06-30,13548
2015-07-01,13548
2015-07-02,13548
2015-07-03,13548
2015-07-04,13548
2015-07-05,13548
2015-07-06,13548
2015-07-07,13548
2015-07-08,13548
2015-07-09,13548
2015-07-10,12886
2015-07-11,12886
2015-07-12,12886
2015-07-13,12886
2015-07-14,12886
2015-07-15,12886
2015-07-16,12886
2015-07-17,12886
2015-07-18,12886
2015-07-19,12886
2015-07-20,12886
2015-07-21,12264
2015-07-22,12264
2015-07-23,12264
2015-07-24,12264
2015-07-25,12264
2015-07-26,12264
